,r1,r85,r36,r89,r27,r81,r78,r72,r63,r75,r68,r100,r82,r93,r97,r31,r83,r66,r29,r24,r52,r61,r43,r71,r12,r7,r77,r64,r18,r11,r54,r13,r40,r88,r16,r57,r3,r59,r55,r8,r19,r46,r42,r2,r76,r67,r21,r32,r73,r10,r86,r74,r49,r48,r47,r17,r35,r87,r41,r28,r33,r65,r96,r30,r70,r94,r25,r58,r37,r50,r60,r6,r44,r20,r51,r92,r4,r62,r95,r23,r90,r84,r56,r34,r9,r80,r15,r79,r26,r22,r99,r53,r98,r39,r91,r5,r38,r69,r45,r14
d87,32,82,67,18,41,29,15,77,2,21,92,81,53,60,37,91,65,9,76,50,36,30,52,20,74,17,88,56,7,99,27,86,72,80,96,22,55,47,10,4,38,78,68,89,1,62,26,48,28,42,16,97,87,5,45,44,12,40,51,84,63,57,34,64,93,75,19,6,46,14,0,98,73,8,24,94,25,70,35,90,11,31,71,95,54,66,79,83,43,85,23,33,59,58,13,3,39,49,61,69
d23,66,2,79,44,93,15,28,43,29,97,25,32,20,77,75,65,8,22,60,40,3,30,5,92,14,50,7,36,0,58,48,67,94,9,59,38,6,19,89,39,84,37,16,27,17,69,55,34,74,61,81,45,23,72,41,46,88,87,52,63,31,71,98,1,96,21,62,99,11,86,35,57,78,10,76,64,82,73,18,26,70,12,47,85,33,51,95,91,24,49,56,53,13,68,4,83,42,54,80,90
d15,88,67,99,9,74,33,27,3,55,10,56,61,98,12,83,8,43,84,69,91,42,37,78,13,25,36,38,31,34,77,18,45,94,21,11,85,49,71,24,15,95,92,65,41,52,7,82,58,86,30,29,4,28,89,62,96,17,75,40,87,93,57,44,1,90,16,73,14,80,32,53,35,50,54,47,48,97,59,51,81,2,19,64,72,76,26,22,70,60,66,23,39,5,0,79,6,63,46,68,20
d60,90,37,72,89,58,93,46,78,11,9,52,21,45,13,67,99,31,5,94,81,57,75,79,25,77,40,30,95,43,8,19,12,18,28,82,15,17,56,35,33,29,83,61,65,16,36,10,85,47,76,71,6,69,44,51,54,24,97,7,22,49,60,23,84,0,48,88,14,87,92,55,1,3,39,41,98,62,91,53,64,34,26,70,32,20,73,38,86,80,74,27,96,50,59,4,66,68,2,42,63
d25,74,11,46,15,90,24,78,70,6,72,85,1,37,51,66,95,88,38,16,76,93,40,8,62,84,77,4,75,0,22,3,35,9,83,36,20,19,61,96,57,13,49,68,60,10,54,31,39,59,48,94,81,29,32,53,99,27,73,47,58,71,67,91,41,7,42,28,98,50,44,52,63,2,79,97,25,69,14,89,56,30,80,12,34,65,17,82,64,18,21,55,23,26,86,33,45,92,43,5,87
d99,83,36,67,87,55,45,7,52,68,82,33,99,49,42,50,76,11,69,34,12,31,41,89,96,97,84,38,88,10,1,44,54,18,46,98,13,47,2,43,62,71,91,21,8,17,28,29,95,3,22,86,48,14,24,27,72,74,20,75,39,73,64,92,0,77,94,93,63,60,6,5,37,23,80,66,79,59,16,90,57,58,30,35,9,15,85,40,53,51,56,19,78,25,61,70,26,4,32,81,65
d8,56,99,76,68,62,93,5,14,46,3,7,0,77,57,51,89,58,17,81,94,84,38,74,37,45,72,12,13,4,27,42,79,32,70,16,66,64,73,82,30,36,52,65,91,10,85,31,33,20,75,8,11,23,21,6,80,69,43,63,44,2,1,54,87,41,83,88,59,55,95,22,18,97,98,60,53,25,61,50,29,96,34,39,92,19,28,35,78,71,40,48,49,47,24,67,86,90,26,15,9
d3,87,27,23,73,72,2,32,20,69,10,26,57,48,92,47,40,35,13,49,50,11,16,14,71,84,77,90,89,74,67,51,37,81,55,25,43,24,85,54,97,63,7,36,66,45,56,68,70,38,12,93,94,88,17,60,1,83,76,41,91,80,0,42,44,29,3,86,15,61,28,8,79,82,5,96,52,95,62,34,65,19,6,22,30,21,33,98,64,18,75,4,53,78,31,46,9,58,59,99,39
d33,62,1,57,44,54,21,81,88,43,72,66,38,99,9,35,17,16,75,49,28,5,32,40,13,91,92,18,98,34,60,12,42,70,56,58,19,51,86,23,74,22,48,67,3,20,11,7,31,69,77,78,87,53,95,25,64,33,73,10,41,24,26,45,85,59,15,96,84,37,39,0,4,14,8,6,27,80,46,36,55,93,76,79,2,63,47,89,65,83,97,52,50,29,90,71,68,61,82,94,30
d11,67,72,6,17,78,43,0,29,14,76,85,56,80,33,86,2,49,24,35,89,84,42,98,48,64,65,73,25,4,16,62,71,81,54,46,87,23,44,74,94,57,90,11,63,79,9,18,96,97,52,3,51,31,1,75,59,13,66,95,93,69,28,58,83,7,20,50,45,12,21,47,55,60,26,38,37,82,22,5,10,8,53,34,68,15,70,99,19,41,27,91,39,30,61,88,36,92,40,32,77
