,r18,r2,r10,r15,r5,r17,r7,r13,r1,r6,r3,r8,r4,r11,r20,r16,r19,r14,r9,r12
d20,18,14,2,4,10,7,9,12,11,19,13,8,17,5,0,16,15,1,6,3
d7,12,1,19,4,0,18,14,3,15,2,5,6,8,9,11,16,17,13,10,7
d2,13,10,9,1,8,6,12,16,3,15,0,4,14,5,11,7,19,2,18,17
d11,19,2,17,13,15,12,3,4,9,16,1,18,8,5,10,6,7,11,0,14
d3,10,4,8,2,9,11,18,19,7,0,14,3,5,6,1,15,12,16,13,17
d19,6,15,14,7,4,16,1,13,12,8,0,2,10,9,5,17,3,18,11,19
d16,8,12,15,9,16,17,0,18,5,19,7,6,10,14,11,1,2,4,3,13
d12,12,4,14,8,5,17,18,0,16,10,9,6,1,3,11,13,15,7,2,19
d6,13,14,19,0,15,7,17,12,10,1,4,8,11,3,18,6,9,16,5,2
d10,11,5,8,6,4,19,16,3,13,7,10,14,12,1,0,18,9,15,17,2
d5,14,13,16,15,10,3,1,6,5,0,8,9,18,19,17,2,12,4,7,11
d8,8,7,15,6,17,18,9,12,0,10,14,1,16,5,2,13,19,4,3,11
d1,3,9,0,15,1,13,7,16,6,2,12,5,11,10,4,18,14,8,19,17
d9,16,12,17,3,13,1,18,4,0,10,11,8,2,15,9,7,19,5,14,6
d18,2,7,6,11,12,13,15,9,19,3,16,1,14,0,17,5,10,18,8,4
d15,2,7,16,19,15,10,12,3,14,8,9,11,0,17,18,5,13,1,4,6
d13,18,0,15,16,3,17,8,10,5,2,13,14,9,12,1,4,19,7,11,6
d4,4,19,2,12,9,0,8,13,11,15,10,6,16,3,1,17,5,7,18,14
d14,2,18,14,11,17,9,3,15,7,6,8,0,19,16,10,4,13,12,1,5
d17,15,10,17,18,7,12,2,13,1,14,3,0,16,8,19,11,4,6,5,9
