,d70,d54,d26,d18,d13,d65,d42,d50,d69,d1,d72,d6,d24,d86,d25,d39,d79,d48,d100,d34,d58,d45,d87,d62,d32,d73,d4,d36,d3,d88,d28,d76,d82,d91,d75,d85,d78,d43,d17,d80,d51,d56,d77,d11,d49,d66,d61,d30,d63,d31,d67,d19,d60,d8,d57,d37,d15,d98,d83,d92,d90,d55,d27,d93,d46,d14,d44,d64,d20,d23,d99,d12,d71,d47,d52,d97,d74,d2,d33,d21,d9,d89,d53,d7,d35,d38,d81,d5,d16,d40,d68,d29,d95,d10,d41,d94,d84,d22,d96,d59
r1,56,69,34,5,52,22,48,49,84,46,2,30,23,95,42,62,68,17,44,37,67,60,90,64,4,19,80,35,73,77,15,87,66,41,14,75,91,0,29,89,1,76,92,53,3,82,18,94,38,9,72,27,12,16,31,32,36,59,25,99,57,8,93,83,70,86,10,55,45,97,28,40,58,81,85,51,96,47,65,71,74,79,54,26,63,24,61,7,33,88,20,39,43,98,78,11,50,6,13,21
r66,46,29,72,0,53,93,41,34,9,88,42,91,97,16,31,62,80,69,90,48,92,40,89,95,86,63,35,4,79,81,94,99,51,58,11,24,23,25,37,13,87,18,73,32,66,17,59,68,15,75,83,96,43,1,57,19,98,47,56,44,8,76,5,54,12,33,49,71,10,55,2,30,27,85,20,78,65,26,77,39,36,45,82,7,22,60,14,6,74,38,52,67,3,50,21,70,84,61,28,64
r41,4,62,41,87,99,74,80,84,57,70,14,54,43,7,17,59,29,23,73,22,0,95,53,86,25,69,44,93,64,27,21,67,51,63,65,72,12,61,19,98,28,31,50,85,79,24,26,42,32,20,1,91,52,6,77,71,35,66,97,83,82,18,68,39,8,10,76,90,5,94,92,56,33,36,34,81,47,60,38,89,9,96,49,78,2,11,75,58,15,37,45,3,13,55,30,16,48,46,40,88
r77,6,23,58,20,1,80,4,67,92,5,99,64,10,86,41,14,45,97,93,52,62,34,8,96,2,24,75,27,88,53,73,79,25,90,84,56,83,15,36,70,26,71,38,28,17,65,72,60,78,48,46,44,69,77,37,11,50,9,59,16,35,66,21,33,19,51,18,43,40,87,22,29,12,57,42,68,3,47,54,81,95,55,82,85,94,49,7,63,98,74,76,39,0,91,13,31,30,32,61,89
r88,89,37,59,10,64,1,73,97,69,23,42,60,39,63,7,83,80,91,98,53,57,50,40,13,49,74,68,41,44,61,32,87,70,93,96,22,9,34,67,28,5,17,65,77,90,58,99,16,18,45,95,51,84,86,6,79,30,76,55,20,14,43,33,72,66,36,15,94,38,2,48,21,0,82,24,3,75,25,56,29,31,26,8,54,46,19,85,11,12,71,52,78,88,35,81,47,92,27,4,62
r54,79,98,63,37,44,28,62,42,43,51,89,66,73,35,22,92,57,88,47,60,97,13,74,34,90,6,23,33,8,85,75,70,58,65,87,71,0,81,39,29,3,31,32,77,80,49,17,59,68,78,2,76,45,10,86,54,46,67,61,9,82,18,14,30,53,25,72,20,24,7,1,5,94,48,56,96,4,11,15,95,26,64,52,16,12,84,50,93,69,38,21,41,99,83,19,40,27,55,91,36
r32,36,74,33,23,97,86,56,77,45,91,66,69,6,37,17,19,93,13,82,41,98,3,63,4,52,44,94,31,79,29,43,39,68,7,21,99,8,64,55,90,76,83,95,65,22,62,51,58,28,84,38,80,67,42,71,53,25,85,11,27,10,73,1,46,48,75,20,35,34,88,47,78,24,57,87,81,16,92,5,96,54,72,40,49,0,60,12,59,30,32,50,89,14,61,18,9,26,2,15,70
r90,77,59,96,38,52,14,92,91,54,33,75,60,64,19,46,94,42,6,99,10,69,50,0,78,47,21,41,27,98,24,70,58,4,36,22,29,65,23,12,7,85,2,95,16,80,68,44,83,81,11,20,74,63,35,72,48,32,26,57,45,37,30,18,56,39,86,53,49,90,76,15,13,28,43,31,61,67,3,1,93,79,82,8,73,71,17,34,89,25,51,84,66,40,62,55,87,97,9,88,5
r100,18,19,62,36,82,68,5,7,37,66,63,69,13,78,74,93,72,81,22,12,71,98,96,64,27,1,25,32,75,57,49,83,0,88,26,86,11,29,90,39,30,33,97,47,55,53,94,42,89,85,15,73,48,45,59,24,23,99,3,16,41,44,31,84,4,35,14,58,60,52,2,28,87,65,9,54,38,40,95,50,8,91,21,80,6,61,10,17,46,51,92,79,20,70,56,76,77,43,67,34
r86,49,18,44,99,53,83,10,67,40,32,77,55,54,84,98,0,85,66,7,22,73,71,5,58,6,19,25,1,38,50,12,75,23,86,56,76,14,36,21,17,57,34,13,78,52,37,42,26,29,43,8,33,91,80,87,97,81,2,69,60,45,15,27,3,48,61,74,31,11,68,79,4,95,72,16,89,90,88,63,24,39,94,65,28,51,35,64,30,96,70,46,41,92,47,9,59,20,62,93,82
