,r91,r2,r30,r59,r35,r58,r17,r97,r81,r90,r65,r100,r36,r41,r99,r73,r75,r94,r13,r42,r54,r25,r61,r88,r69,r78,r57,r8,r11,r21,r44,r63,r87,r66,r64,r70,r10,r28,r4,r55,r9,r68,r12,r19,r40,r83,r16,r96,r38,r51,r74,r31,r98,r82,r79,r86,r84,r1,r23,r71,r34,r49,r46,r85,r15,r43,r80,r76,r27,r37,r3,r62,r20,r95,r32,r45,r39,r6,r56,r52,r92,r14,r5,r24,r72,r48,r53,r33,r93,r22,r7,r60,r89,r18,r47,r50,r29,r26,r67,r77
d22,15,47,70,49,56,51,81,7,66,77,99,63,85,80,83,44,98,10,52,42,11,96,4,1,18,71,25,53,69,14,65,6,30,21,57,58,54,82,60,12,17,2,74,38,5,68,39,91,9,87,28,13,64,95,37,43,92,23,31,93,73,50,59,75,3,97,0,41,36,35,61,55,24,72,88,8,40,34,67,84,45,27,79,48,78,16,76,94,46,62,32,90,86,20,29,22,19,26,33,89
d28,18,82,8,31,5,27,22,73,51,6,37,23,1,40,42,33,44,43,52,0,59,86,11,72,56,17,25,3,54,70,68,81,28,2,63,88,46,50,38,12,83,30,87,96,49,91,21,57,39,94,65,24,62,79,48,13,80,53,98,67,10,78,7,89,99,93,47,76,84,55,9,36,32,20,45,58,19,74,4,69,90,16,35,29,95,85,34,92,14,77,66,75,71,41,26,15,61,64,60,97
d76,68,41,7,31,28,33,71,53,79,14,69,73,51,87,58,21,85,96,22,89,6,36,38,15,17,80,35,91,81,30,43,34,97,72,29,40,74,84,93,0,75,13,24,37,98,18,4,52,66,55,2,8,23,62,64,16,3,86,78,94,76,48,99,77,70,39,83,88,27,10,25,45,44,47,46,19,9,54,11,59,61,95,92,50,90,12,5,26,56,65,1,67,42,49,57,82,60,20,32,63
d90,69,44,59,84,52,23,30,93,10,98,40,1,96,27,20,85,55,76,8,79,72,12,74,70,66,13,31,92,3,7,94,9,50,11,95,75,82,37,17,58,87,68,80,81,62,32,36,4,21,26,39,64,77,42,43,5,48,47,83,99,35,71,33,73,16,51,15,25,14,89,56,54,88,60,19,65,57,24,0,86,97,29,22,28,91,46,49,63,2,18,53,61,41,34,6,67,45,90,38,78
d73,49,66,25,98,56,76,28,85,59,64,45,57,63,4,55,3,67,23,88,71,91,36,84,24,0,65,95,39,2,13,69,60,17,26,78,6,80,11,73,58,10,37,32,46,62,89,21,51,34,8,92,22,44,81,97,79,77,75,70,96,50,72,82,61,54,87,16,14,93,29,7,94,5,52,74,35,1,18,38,43,83,15,42,99,47,20,40,90,86,41,48,12,9,30,27,53,33,19,68,31
d92,87,44,49,70,37,68,46,30,21,10,85,84,24,63,18,20,25,77,41,97,82,26,66,9,95,99,64,7,15,4,78,76,59,0,56,80,55,14,93,73,58,35,86,89,11,83,53,16,54,5,36,60,67,74,98,32,23,19,90,34,94,62,91,92,88,2,33,71,40,42,61,47,69,31,96,27,52,1,48,3,50,8,43,79,29,57,6,81,75,28,39,51,65,22,13,17,12,38,72,45
d69,45,64,79,70,66,4,34,90,47,91,17,7,35,56,97,88,31,36,50,11,19,55,10,71,82,95,22,94,98,80,25,68,96,89,24,53,54,92,12,93,33,2,46,8,52,60,32,37,15,44,69,63,16,27,58,51,49,67,1,87,72,23,40,3,74,83,42,81,39,77,5,18,28,30,21,57,13,86,61,29,76,41,65,0,38,48,20,9,59,75,62,43,6,73,26,99,14,78,84,85
d70,94,1,54,36,8,7,99,66,53,10,78,97,22,86,80,14,30,88,75,68,35,18,42,20,95,70,4,48,27,69,60,12,21,26,24,67,84,25,2,81,49,28,9,73,90,23,91,43,50,87,98,72,96,33,74,59,32,63,79,37,89,77,56,76,46,92,16,13,44,71,55,57,6,39,45,51,11,17,47,0,83,40,19,93,31,65,52,5,41,85,82,58,38,34,15,3,62,61,29,64
d60,82,8,46,58,73,21,35,99,37,29,87,93,33,97,53,2,0,23,6,30,79,24,94,13,11,77,49,70,85,89,44,91,84,67,90,18,20,69,1,76,57,86,71,75,78,43,25,61,3,74,14,10,15,66,96,68,4,98,72,16,88,22,64,54,45,32,81,47,19,51,34,5,92,50,59,31,36,39,27,62,7,9,83,56,38,52,65,60,95,12,48,63,42,28,40,26,41,17,55,80
d63,86,90,76,45,74,54,9,61,91,66,70,80,67,62,81,79,32,5,50,73,42,88,23,18,27,52,58,72,55,16,29,8,59,15,94,44,25,22,7,47,57,17,1,77,75,63,85,28,41,36,71,10,14,46,68,19,37,48,95,4,84,38,51,49,26,39,99,33,6,31,98,2,30,20,13,69,93,65,89,3,34,40,78,60,96,24,43,83,92,0,56,97,64,87,35,21,53,82,12,11
