,r1,r66,r41,r77,r88,r54,r32,r90,r100,r86,r79,r46,r37,r61,r76,r78,r49,r45,r38,r53,r55,r5,r47,r39,r18,r97,r19,r24,r75,r12,r59,r92,r13,r10,r14,r57,r85,r72,r89,r94,r7,r15,r40,r27,r74,r6,r33,r2,r29,r58,r64,r56,r81,r70,r98,r43,r82,r31,r8,r22,r44,r30,r42,r84,r99,r21,r28,r35,r96,r65,r87,r17,r20,r80,r93,r23,r60,r52,r36,r62,r73,r4,r51,r71,r50,r91,r95,r67,r34,r11,r25,r68,r16,r3,r83,r9,r63,r48,r26,r69
d70,90,35,33,87,79,28,63,22,69,46,85,89,67,95,59,8,42,66,53,64,48,94,27,84,38,54,23,98,56,96,71,68,31,18,50,82,6,14,47,11,3,80,75,21,43,16,81,0,1,88,91,52,19,37,44,39,86,36,49,10,5,29,25,92,78,61,4,77,40,24,62,76,20,57,99,12,97,60,55,2,73,58,93,26,32,9,70,72,30,65,7,74,51,15,45,17,13,83,34,41
d54,61,68,62,49,57,45,95,7,30,96,52,24,36,56,35,90,89,98,75,84,23,27,21,48,97,20,43,26,40,1,51,63,77,9,16,93,12,39,53,88,38,37,78,79,17,74,34,92,55,3,42,64,6,59,60,19,5,41,80,25,46,99,54,29,58,22,86,11,72,14,87,2,18,71,0,33,65,4,67,70,81,69,15,73,83,66,91,8,50,47,32,28,94,31,85,13,10,44,76,82
d26,11,4,21,31,0,5,51,36,75,35,33,7,23,93,60,2,94,95,30,61,83,3,79,28,25,8,54,81,55,67,24,76,29,90,70,77,98,74,59,1,10,44,56,45,78,64,43,46,48,96,62,73,14,71,84,97,69,63,22,57,52,92,18,87,91,27,72,80,39,6,47,38,50,13,66,53,34,12,65,86,19,9,49,15,82,32,42,37,89,58,99,41,40,16,20,17,26,88,85,68
d18,7,28,93,84,85,24,48,86,13,2,90,21,1,35,11,16,41,76,71,34,95,23,47,26,96,94,69,32,83,8,42,54,22,25,9,27,18,44,29,63,91,74,14,99,53,78,92,67,59,98,82,31,3,15,79,38,75,52,40,70,0,77,39,89,66,10,46,58,50,45,60,17,62,72,55,20,97,33,6,73,65,12,36,51,61,68,30,87,5,37,80,57,49,81,64,88,43,4,19,56
d13,11,6,88,56,80,17,30,12,85,52,55,47,87,27,20,63,16,98,42,5,43,49,62,48,44,21,59,9,7,97,99,38,35,58,2,96,86,34,94,82,13,65,89,76,4,53,14,24,36,74,61,15,91,67,72,33,40,51,3,79,8,60,0,84,22,41,71,57,93,37,1,39,31,81,50,46,75,90,25,19,18,92,64,68,66,70,54,29,77,32,10,69,45,23,73,78,26,95,83,28
d65,98,30,38,40,13,83,81,0,88,29,57,93,84,33,70,58,56,42,69,66,63,68,21,5,65,76,28,99,39,8,11,36,82,12,90,14,44,67,15,20,34,4,72,25,47,6,51,92,80,79,86,77,26,96,32,35,9,27,53,54,19,73,41,59,45,87,48,94,55,37,17,75,50,52,10,18,3,91,62,89,60,16,2,49,7,78,97,1,23,74,22,71,61,43,46,95,31,24,64,85
d42,59,24,19,80,28,20,92,7,3,40,90,54,98,65,11,96,70,63,76,66,55,58,45,60,32,38,87,29,64,89,50,37,73,48,2,6,57,86,1,85,68,14,30,25,13,75,46,33,84,21,9,16,71,42,77,49,26,23,81,5,95,43,51,36,31,94,69,8,35,22,47,10,4,93,15,82,0,88,12,83,56,91,44,52,99,27,97,61,62,79,72,74,67,18,78,41,39,53,17,34
d50,20,65,54,73,4,44,5,77,71,7,75,88,1,6,89,90,66,29,60,59,83,34,24,2,49,99,87,31,67,39,97,33,95,36,17,16,19,35,80,15,55,28,58,25,70,61,51,50,68,41,84,10,93,85,14,79,96,43,91,13,21,23,3,11,40,48,37,74,0,63,94,52,45,53,32,38,42,86,62,26,78,56,69,72,47,9,18,12,98,76,92,64,27,22,30,46,8,82,57,81
d69,34,6,14,62,63,74,27,30,15,96,12,86,31,38,21,29,41,84,16,99,47,43,60,2,94,13,69,28,22,55,4,61,45,46,93,83,1,92,75,18,66,49,78,44,57,87,33,17,73,50,23,42,65,91,90,71,35,20,72,76,85,26,88,32,3,24,64,11,9,48,53,5,25,97,37,54,79,70,39,68,56,0,8,67,19,51,82,95,36,77,40,10,89,81,7,98,52,80,59,58
d1,56,88,1,20,53,18,77,58,96,79,43,26,99,94,84,64,0,50,67,49,65,36,98,66,45,12,60,73,81,62,82,41,63,52,90,11,61,54,40,33,29,51,80,93,14,47,48,42,8,13,68,4,91,70,2,92,5,76,89,74,55,3,59,35,6,17,69,75,7,85,24,72,10,83,71,21,39,86,30,19,25,87,38,37,16,22,9,34,15,23,32,97,57,31,78,28,95,44,27,46
