,d1,d6,d18,d12,d16,d7,d10,d14,d13,d20,d2,d19,d3,d17,d9,d15,d5,d4,d11,d8
r5,18,4,1,16,12,17,7,6,10,11,8,2,3,15,0,19,14,13,5,9
r6,13,8,1,2,11,16,15,3,12,14,17,9,0,7,6,4,18,19,5,10
r19,17,8,13,6,5,14,1,2,16,11,15,4,12,3,19,9,10,0,18,7
r7,16,1,7,4,9,12,10,11,17,13,19,5,2,0,6,18,14,8,15,3
r15,12,18,7,19,4,16,0,6,2,1,8,5,15,3,10,17,14,13,9,11
r2,14,9,19,2,1,6,12,15,11,5,3,18,13,10,17,7,16,8,0,4
r8,6,9,16,3,12,8,2,15,11,13,5,1,7,10,18,19,14,17,0,4
r13,4,7,19,13,18,14,10,2,11,8,0,15,9,1,12,5,16,3,17,6
r12,8,7,6,17,14,16,18,0,2,1,13,12,4,9,15,5,19,3,10,11
r10,9,0,10,2,8,15,5,6,16,3,7,18,17,12,1,13,19,14,11,4
r11,13,18,15,3,11,1,0,2,19,12,7,10,9,17,4,14,16,5,6,8
r20,12,0,3,2,13,1,7,18,5,15,8,19,11,16,6,9,17,10,4,14
r17,8,14,0,1,3,15,9,19,16,18,10,6,4,13,12,7,5,2,11,17
r3,19,13,10,17,6,3,18,11,8,9,4,14,1,16,15,0,2,5,7,12
r16,3,6,4,19,12,0,18,5,2,14,1,9,17,13,10,11,8,15,16,7
r9,0,2,4,7,17,16,6,3,15,10,19,9,1,14,18,8,13,11,12,5
r1,4,0,14,2,16,9,19,15,1,7,17,5,18,10,3,12,11,6,8,13
r14,4,11,0,2,13,16,18,10,17,5,7,12,9,14,19,8,3,1,6,15
r4,1,3,14,16,7,5,8,18,9,19,12,15,6,2,10,0,4,17,11,13
r18,13,14,1,10,18,12,3,4,5,9,19,0,6,17,11,7,2,16,15,8
