,r18,r15,r3,r19,r6,r8,r1,r20,r4,r13,r14,r10,r2,r7,r11,r9,r12,r16,r5,r17
d8,3,16,5,7,4,1,17,10,11,6,15,13,0,8,14,18,2,9,19,12
d4,9,15,1,14,16,8,5,12,10,11,0,19,6,3,13,7,18,2,4,17
d9,9,0,5,12,17,2,4,10,15,18,16,8,3,13,19,1,7,14,6,11
d18,2,14,7,19,12,17,3,15,18,11,8,4,1,5,6,0,13,9,10,16
d6,9,11,2,7,0,14,16,4,6,13,5,8,17,18,15,19,12,3,1,10
d20,5,7,12,8,15,6,19,0,1,14,13,16,10,2,11,17,3,4,18,9
d19,14,11,4,19,18,13,17,5,2,8,3,12,6,15,10,7,9,1,16,0
d10,5,11,0,1,10,2,6,16,17,13,12,19,14,15,4,7,3,18,8,9
d15,15,7,4,12,1,8,14,0,11,2,3,6,13,5,18,9,10,16,19,17
d17,11,6,5,13,14,15,4,2,7,8,19,3,9,12,0,1,17,10,18,16
d3,17,0,2,5,15,4,14,7,3,12,18,10,13,11,16,6,8,19,1,9
d12,1,13,4,16,12,11,2,9,17,8,3,7,15,10,18,0,6,14,19,5
d1,19,8,2,3,17,12,13,6,18,7,4,9,15,14,10,0,5,1,16,11
d13,16,17,0,18,15,10,9,2,3,12,6,14,13,11,7,1,19,5,8,4
d14,3,6,15,13,9,11,7,12,10,2,14,16,18,0,19,8,1,4,17,5
d2,10,12,19,14,16,6,0,2,15,8,18,5,1,17,7,13,11,9,4,3
d7,18,12,7,2,6,11,10,13,4,5,3,9,8,19,14,1,16,15,17,0
d11,19,12,0,2,15,7,4,3,9,13,5,10,18,8,17,16,11,14,1,6
d16,12,1,8,17,5,19,14,0,10,4,7,13,3,6,15,18,16,2,11,9
d5,9,2,3,15,5,1,12,13,10,11,14,4,17,16,18,19,8,7,6,0
