,r10,r12,r7,r16,r9,r18,r2,r20,r3,r6,r15,r4,r14,r17,r11,r5,r8,r19,r13,r1
d5,7,17,16,12,10,6,13,18,15,2,9,5,1,19,11,0,14,8,3,4
d1,8,16,10,17,19,9,11,13,6,3,14,2,4,1,12,15,5,7,18,0
d2,11,5,7,18,2,0,9,16,14,1,4,8,3,15,17,19,6,13,10,12
d3,9,3,18,0,14,5,15,6,16,10,2,7,4,8,19,11,1,17,13,12
d15,10,7,4,0,17,19,5,11,2,6,13,1,18,14,8,9,12,15,3,16
d11,8,6,1,16,18,12,15,19,0,10,5,14,7,13,9,11,2,3,4,17
d19,2,18,9,7,1,0,17,19,5,8,12,3,11,14,15,6,16,13,10,4
d17,14,8,4,10,17,11,6,1,12,13,16,19,2,9,15,3,5,7,0,18
d8,9,6,8,2,7,14,19,11,16,10,18,15,13,5,17,12,1,0,3,4
d7,18,1,12,14,5,6,19,11,2,15,7,4,13,9,16,10,17,3,8,0
d18,0,11,14,18,19,4,5,12,1,15,9,10,6,17,8,2,7,13,3,16
d6,10,16,13,5,1,0,14,8,4,12,6,15,11,18,7,9,17,3,19,2
d16,14,15,0,16,3,19,1,6,4,10,5,9,11,8,7,13,12,18,2,17
d9,11,18,17,4,19,5,12,0,10,14,16,6,2,8,9,7,15,3,13,1
d4,9,8,14,5,6,3,11,15,7,2,17,16,4,12,10,19,13,18,1,0
d13,10,4,11,0,16,3,6,12,17,7,14,15,13,1,8,9,19,18,5,2
d20,10,9,6,15,16,13,8,19,4,17,1,2,0,5,3,11,14,18,12,7
d14,5,2,9,1,7,19,14,17,10,18,16,11,12,4,8,3,6,0,15,13
d12,7,1,2,8,11,14,5,9,16,12,0,3,17,6,13,19,10,15,4,18
d10,16,4,8,12,15,18,2,13,9,17,10,14,3,7,0,1,19,11,6,5
