,d14,d19,d17,d9,d10,d7,d2,d3,d6,d16,d12,d15,d8,d20,d18,d1,d13,d5,d4,d11
r12,0,19,12,11,13,3,15,1,4,9,18,2,6,17,8,10,5,16,7,14
r11,2,19,7,8,18,10,3,13,6,15,4,14,9,11,16,5,1,17,0,12
r20,9,19,14,6,17,2,11,5,1,3,16,8,18,12,4,13,10,15,0,7
r3,2,8,13,17,3,14,15,9,11,7,5,10,12,0,18,19,4,16,6,1
r8,17,15,10,14,1,2,7,16,8,11,4,18,13,19,3,9,5,12,6,0
r5,17,1,13,12,4,8,18,16,2,15,9,6,0,10,5,19,7,14,11,3
r19,2,18,5,4,9,19,12,17,3,11,14,10,7,16,15,1,13,6,8,0
r9,8,18,9,15,19,4,14,6,13,16,3,12,5,17,7,1,10,2,0,11
r1,14,0,8,11,1,7,5,10,17,6,13,2,15,9,4,16,3,19,18,12
r17,14,7,19,4,11,16,15,12,2,1,13,9,10,8,18,3,5,17,6,0
r2,1,10,16,12,4,19,18,2,13,11,6,9,7,17,15,5,14,3,8,0
r18,3,2,5,6,13,11,8,7,4,1,17,18,0,9,16,12,15,10,19,14
r13,6,16,0,2,8,5,10,12,4,14,3,19,9,18,13,1,17,15,11,7
r4,16,15,8,5,17,19,1,13,4,6,14,7,12,11,2,10,3,18,0,9
r16,14,12,16,19,8,4,17,11,10,3,15,18,9,6,0,2,13,1,5,7
r14,5,3,4,13,14,19,8,0,12,11,9,7,15,18,2,6,16,17,1,10
r15,16,18,6,7,2,14,5,8,12,1,19,11,0,15,9,3,13,17,10,4
r6,15,4,14,1,6,0,3,12,11,17,8,16,5,7,13,18,19,10,2,9
r7,6,5,2,16,0,18,13,19,4,14,9,10,12,8,7,1,17,11,15,3
r10,19,18,16,0,10,5,6,7,11,3,14,13,1,4,15,9,2,8,12,17
