,d77,d4,d90,d79,d54,d5,d31,d12,d24,d73,d15,d49,d29,d2,d42,d46,d1,d83,d23,d100,d45,d60,d87,d20,d18,d48,d22,d34,d89,d57,d76,d40,d44,d32,d96,d69,d3,d61,d92,d28,d71,d21,d56,d50,d63,d9,d38,d43,d84,d80,d36,d91,d94,d26,d10,d30,d47,d70,d95,d17,d67,d55,d99,d78,d33,d25,d8,d85,d88,d97,d27,d13,d58,d82,d14,d39,d68,d98,d59,d53,d7,d19,d65,d41,d35,d64,d74,d93,d81,d72,d62,d11,d86,d52,d66,d37,d51,d75,d16,d6
r89,93,5,94,25,47,15,8,46,90,22,49,77,19,20,75,97,53,99,6,82,16,81,26,73,61,98,87,35,79,11,29,34,17,64,37,4,2,95,55,13,36,52,92,60,54,12,3,74,38,32,9,42,63,76,43,21,71,40,27,78,91,14,33,44,84,88,56,58,65,1,89,0,41,96,23,69,24,57,68,18,30,59,62,67,72,66,86,70,39,80,48,51,83,7,85,45,28,31,10,50
r94,39,24,46,62,28,10,89,85,78,16,76,64,38,74,40,48,26,31,53,4,91,43,22,68,51,96,29,77,57,13,88,84,12,5,30,6,55,15,42,66,94,17,67,33,72,47,99,82,37,2,65,45,98,21,32,1,81,35,20,71,50,8,58,80,44,59,75,34,60,83,56,97,23,70,3,27,87,49,14,25,73,9,0,19,86,69,11,36,63,7,52,54,79,18,95,41,61,90,93,92
r3,1,54,82,46,93,19,0,42,7,76,83,73,16,75,3,71,21,80,77,8,10,90,38,13,66,81,68,98,79,51,74,59,60,67,50,18,41,47,94,72,32,84,23,78,57,6,22,52,24,14,55,11,25,89,2,17,58,30,87,31,36,48,97,95,26,70,88,12,29,43,62,45,86,28,33,35,34,69,15,27,56,40,4,91,9,92,53,37,61,44,63,96,85,39,64,65,49,99,20,5
r52,99,7,6,87,86,5,3,22,2,24,71,67,37,50,11,78,15,43,13,85,38,62,8,59,98,72,49,45,55,79,90,35,53,56,0,44,16,21,30,29,34,26,36,76,81,63,70,68,82,10,97,20,75,41,92,94,80,27,18,42,25,93,58,39,95,4,61,48,96,83,64,28,32,89,31,33,14,74,88,84,47,19,1,65,9,60,91,54,77,73,51,69,17,52,40,46,57,66,12,23
r42,82,20,79,76,41,21,61,27,87,88,3,50,66,91,80,64,31,26,15,98,6,48,67,92,13,71,51,35,23,60,73,96,63,5,83,53,14,24,55,70,7,90,17,28,97,57,75,1,81,0,46,11,74,58,19,4,22,36,93,78,42,38,85,52,29,9,77,59,32,8,43,72,33,54,62,18,2,34,89,12,44,84,99,47,68,86,16,40,10,69,94,37,25,65,56,95,39,49,45,30
r86,47,10,78,57,73,23,30,93,71,80,63,26,98,32,11,7,87,5,65,46,31,72,64,88,27,1,24,66,77,16,2,92,13,49,22,8,54,48,86,90,75,60,29,96,68,89,20,14,81,21,69,97,41,53,99,85,91,37,45,79,18,52,34,56,25,36,84,76,67,4,19,83,0,82,28,42,33,95,15,70,9,43,62,44,55,12,3,38,17,40,58,61,39,51,35,59,74,6,94,50
r83,10,47,76,68,63,11,85,14,61,30,86,25,91,28,44,94,43,42,95,53,3,92,77,27,59,2,35,39,8,81,80,21,36,52,74,48,0,69,40,60,67,7,79,75,57,96,18,72,31,50,98,49,1,22,32,41,4,23,89,9,19,24,62,20,71,66,58,33,55,34,97,51,90,54,84,13,46,45,93,29,56,70,16,37,83,12,6,82,99,5,26,73,17,88,65,38,64,15,87,78
r8,50,19,33,18,25,81,21,63,66,87,79,17,39,97,62,46,96,67,89,51,78,8,77,35,27,29,83,2,69,56,48,23,68,54,42,24,75,49,31,41,47,93,88,40,91,7,30,4,64,20,16,55,0,92,1,26,34,86,10,52,11,85,43,59,45,32,28,3,44,5,70,12,98,9,72,60,15,58,65,76,6,37,71,57,13,14,94,61,82,99,84,53,90,74,95,73,22,80,36,38
r49,95,62,23,19,54,66,5,98,69,87,93,48,57,94,21,46,64,99,0,14,12,53,9,27,55,76,65,47,91,79,45,37,26,42,7,41,74,84,33,16,13,8,36,31,17,52,32,22,96,11,35,71,58,86,63,28,97,1,80,68,56,30,4,88,43,3,81,60,39,10,92,72,15,20,51,73,83,25,89,40,29,49,2,38,77,24,82,85,18,59,75,34,90,44,50,61,70,6,78,67
r13,45,0,98,38,97,30,37,9,88,25,2,71,3,13,61,34,84,55,99,40,32,92,7,78,11,79,70,64,6,93,56,57,90,42,74,89,41,33,15,94,17,20,95,1,68,66,23,87,60,91,81,26,59,77,69,82,44,29,83,16,36,5,49,27,50,18,75,48,65,31,39,22,24,10,14,8,73,47,63,28,86,12,58,21,46,72,62,85,53,52,76,80,35,51,54,96,4,19,43,67
