,r25,r14,r80,r56,r70,r6,r20,r81,r97,r58,r68,r87,r47,r88,r65,r7,r30,r55,r13,r89,r5,r27,r98,r36,r50,r11,r69,r29,r93,r24,r59,r53,r1,r45,r35,r61,r34,r63,r44,r54,r57,r66,r15,r95,r40,r83,r48,r31,r4,r74,r90,r46,r8,r32,r2,r73,r91,r16,r49,r72,r76,r62,r21,r100,r38,r41,r23,r77,r67,r28,r94,r9,r52,r17,r75,r12,r3,r43,r86,r10,r60,r39,r96,r19,r26,r64,r78,r42,r37,r33,r99,r51,r18,r79,r82,r92,r85,r22,r71,r84
d67,62,51,65,74,29,76,20,69,86,45,61,9,84,56,26,77,57,39,92,98,47,32,93,25,7,11,67,90,3,96,30,89,35,12,68,40,59,70,23,85,15,1,83,72,44,91,19,2,79,49,50,36,95,75,17,87,13,71,34,22,38,52,18,31,53,0,48,94,37,63,21,78,41,66,33,43,73,28,55,97,14,5,46,6,58,81,54,82,88,60,80,99,4,24,64,8,42,16,10,27
d25,21,44,3,88,73,5,62,69,15,43,39,94,91,76,8,83,66,81,40,14,95,7,45,17,90,1,82,32,55,64,13,97,72,50,31,54,38,49,71,10,77,86,27,52,22,89,70,80,68,28,2,26,16,78,23,75,47,84,35,57,61,19,65,11,37,9,33,0,18,34,12,58,79,92,51,56,46,4,96,63,93,74,25,41,20,99,59,53,87,60,98,67,30,24,29,36,48,42,85,6
d18,76,89,91,0,25,20,88,92,77,73,4,57,71,47,10,52,60,50,17,74,9,30,48,87,67,99,61,97,70,51,40,58,12,27,59,64,56,31,90,2,43,7,63,22,33,55,85,21,39,41,44,54,13,65,72,95,23,75,28,81,98,26,93,35,84,11,78,82,14,42,66,62,18,96,80,94,34,15,83,5,1,29,86,19,69,79,6,49,16,38,53,46,8,45,37,36,3,24,68,32
d30,76,81,95,68,58,82,85,63,17,65,83,70,59,75,66,34,44,87,54,37,78,29,93,51,23,25,28,18,46,74,72,36,38,15,96,64,97,92,71,47,6,49,56,90,14,99,0,33,67,42,8,12,22,48,50,7,77,21,41,73,4,60,19,27,32,61,94,40,52,55,69,9,86,39,5,80,30,3,1,24,79,57,31,91,2,35,16,43,10,62,11,45,53,89,13,88,84,20,26,98
d17,90,92,22,18,27,37,72,80,1,35,46,42,6,74,49,31,30,41,98,17,40,55,29,38,61,20,58,95,79,82,11,71,48,15,77,85,70,33,50,68,25,64,91,65,93,54,67,36,34,69,14,43,8,23,52,16,96,12,9,99,73,66,51,28,2,3,88,44,56,87,53,62,32,57,4,89,47,45,83,21,13,7,84,97,94,19,75,24,60,10,78,5,63,59,86,76,81,39,26,0
d93,38,93,5,79,8,89,52,13,0,55,25,35,18,54,96,32,70,95,29,78,1,60,3,88,82,23,65,24,94,36,42,41,11,10,44,73,85,34,51,26,47,92,50,33,7,84,53,80,81,71,91,66,76,58,46,31,17,74,43,67,30,21,62,61,16,87,77,90,98,19,59,63,97,64,15,4,9,49,14,86,56,37,6,57,48,28,45,20,75,22,99,2,40,68,72,69,12,39,83,27
d2,93,12,97,30,24,45,60,20,13,47,83,28,3,10,86,61,16,65,18,8,43,48,32,73,46,0,44,80,38,25,19,79,90,76,15,57,27,87,72,35,82,21,77,9,58,74,66,98,68,31,36,29,70,6,23,81,37,50,41,96,54,11,4,92,33,26,53,78,52,67,22,17,94,56,63,85,64,91,88,39,51,71,34,99,69,89,14,2,1,59,84,7,42,55,5,40,95,62,75,49
d62,25,54,26,80,40,12,89,17,91,67,73,88,65,37,8,93,85,92,69,39,87,7,4,77,63,68,70,78,90,36,50,44,21,11,79,95,49,6,75,48,99,56,82,59,96,31,98,18,41,19,58,5,45,2,66,71,52,83,9,51,60,72,30,28,35,0,13,74,34,86,61,23,33,10,29,53,84,57,43,38,94,46,47,32,55,14,1,42,20,15,22,3,24,27,81,62,76,16,64,97
d41,71,76,5,12,38,89,57,98,43,28,62,51,44,34,41,19,91,68,61,25,73,72,74,90,55,78,17,92,21,18,7,2,59,81,53,86,63,87,97,37,33,77,29,31,24,26,13,3,83,35,14,56,39,10,16,1,80,54,52,30,22,96,49,69,93,4,46,15,36,8,40,32,70,50,88,45,48,84,9,60,67,11,27,94,65,6,99,75,95,64,85,23,66,0,20,58,79,42,47,82
d20,87,98,33,96,0,75,32,5,29,12,94,79,40,45,77,65,14,93,81,19,78,83,69,76,80,38,41,51,7,43,34,23,10,58,64,99,17,88,59,24,61,1,26,86,25,97,22,15,52,2,20,68,74,54,85,84,53,39,72,35,62,4,90,8,6,44,91,42,82,55,28,89,46,67,47,36,37,73,18,9,71,57,95,66,21,3,60,63,16,49,92,48,56,31,50,11,27,13,30,70
