,r45,r3,r22,r79,r86,r75,r14,r13,r29,r48,r37,r61,r25,r49,r74,r85,r76,r4,r27,r78,r10,r24,r68,r55,r94,r64,r42,r90,r91,r8,r38,r88,r50,r26,r99,r15,r7,r73,r9,r71,r43,r60,r83,r16,r33,r6,r65,r82,r5,r31,r69,r36,r40,r20,r80,r54,r46,r44,r84,r98,r77,r93,r81,r2,r57,r51,r30,r21,r18,r70,r11,r41,r1,r52,r67,r89,r47,r12,r92,r17,r62,r19,r97,r35,r28,r58,r59,r56,r39,r96,r23,r53,r63,r32,r72,r66,r100,r34,r87,r95
d36,38,90,35,58,78,91,34,19,23,10,66,63,30,55,82,98,41,9,0,45,53,46,83,85,70,59,65,28,69,54,33,92,22,62,39,1,14,72,48,25,37,99,27,13,81,6,32,67,3,16,64,31,56,97,43,2,44,88,40,84,77,12,24,7,95,79,17,68,4,21,93,89,52,74,15,50,47,60,87,57,49,36,75,18,26,96,94,73,51,71,76,61,5,29,80,86,42,20,11,8
d67,6,85,34,48,21,41,40,30,4,15,77,76,94,38,2,32,19,96,27,84,11,57,46,69,35,39,51,59,26,33,67,36,70,37,7,75,78,28,23,20,13,52,50,92,83,62,16,90,66,89,3,87,74,9,12,53,73,63,0,10,80,24,8,65,97,54,45,29,95,91,43,99,56,72,86,14,44,88,22,5,60,25,82,42,49,68,64,93,17,55,58,71,47,81,18,1,61,79,31,98
d70,5,65,98,88,11,50,51,56,58,23,85,67,35,28,49,99,37,82,83,60,30,8,36,72,24,19,59,74,80,46,26,87,92,15,13,66,54,32,62,94,93,71,81,42,61,55,10,18,52,76,43,2,1,63,86,44,91,22,96,41,4,78,39,47,77,70,73,89,6,90,79,31,21,84,34,29,69,16,64,95,0,14,53,97,9,7,68,57,3,75,33,38,48,20,12,40,27,17,45,25
d5,31,86,61,1,47,84,67,45,53,80,57,44,54,49,52,66,70,64,82,72,51,55,15,26,33,48,79,93,41,6,10,74,85,77,9,40,95,19,56,25,91,63,16,32,29,73,12,94,11,42,4,87,75,83,38,96,5,68,37,7,14,30,58,20,8,22,60,76,18,13,89,88,21,50,65,27,62,92,23,99,71,35,36,24,2,17,69,43,0,39,98,97,59,90,28,3,34,78,46,81
d19,49,17,83,84,19,31,57,69,24,92,71,13,23,55,56,40,47,79,34,82,75,18,80,61,7,90,68,97,1,5,2,52,14,51,36,76,46,9,44,66,93,70,96,27,25,81,42,88,45,38,59,73,98,85,77,37,78,3,30,67,20,74,0,6,10,60,39,64,58,72,48,54,62,91,95,11,65,4,50,8,22,94,26,15,99,28,63,12,33,87,89,35,32,21,29,86,41,16,43,53
d10,14,82,16,52,65,15,63,73,42,27,71,31,13,8,23,40,59,22,79,24,19,18,77,39,92,68,2,30,87,72,74,26,58,43,94,34,56,60,37,45,75,49,38,81,69,0,51,46,28,61,96,95,5,53,86,67,21,6,91,90,84,76,25,88,3,4,1,48,44,7,20,83,41,80,97,70,64,85,98,89,99,57,9,11,36,50,62,17,33,55,78,12,32,54,93,35,10,47,66,29
d54,34,16,98,62,87,80,5,18,46,40,66,91,83,22,1,0,72,38,70,85,99,8,63,71,50,92,65,64,20,96,93,77,42,94,79,23,78,17,24,52,59,10,84,25,67,74,37,2,39,61,4,28,7,11,49,26,97,51,43,36,89,75,21,73,58,29,56,19,55,76,47,82,95,14,32,33,86,27,13,44,12,69,6,53,57,41,35,30,81,68,54,88,48,3,90,60,9,31,45,15
d4,60,11,8,97,33,61,66,59,77,20,94,37,70,90,73,28,48,0,75,3,63,99,58,29,53,89,55,50,6,68,84,98,56,16,82,24,25,7,15,52,41,71,38,51,78,49,13,36,54,35,1,57,12,91,10,30,4,62,42,95,79,81,85,5,76,80,65,27,64,34,43,21,2,39,87,14,44,83,74,23,67,92,22,86,17,18,32,47,31,69,45,72,88,40,96,19,93,26,9,46
d52,41,40,47,92,31,46,49,17,90,50,82,63,26,27,39,83,55,4,68,58,7,5,67,88,43,80,6,98,77,13,38,86,91,73,71,37,34,33,24,42,66,97,72,48,93,89,30,2,14,52,10,20,51,60,12,56,87,62,54,1,19,53,32,81,15,25,11,59,35,76,78,95,18,96,44,84,99,57,45,69,29,36,74,8,75,3,94,22,64,9,16,21,70,65,28,85,0,79,23,61
d26,85,47,96,75,37,51,84,15,97,93,76,67,41,5,79,99,26,88,14,50,52,17,45,9,36,32,1,46,95,64,86,77,71,69,58,40,55,8,53,6,59,35,19,30,73,82,12,20,3,63,70,48,33,2,87,21,11,56,57,38,25,42,62,27,90,68,89,22,24,0,16,74,18,81,10,54,31,43,78,34,39,23,49,13,94,66,92,4,28,65,44,98,61,80,29,91,72,7,60,83
