,r58,r4,r45,r70,r85,r15,r11,r90,r54,r16,r17,r75,r7,r63,r96,r50,r66,r5,r20,r60,r29,r12,r83,r1,r49,r22,r39,r38,r32,r82,r86,r99,r97,r57,r95,r30,r47,r33,r98,r6,r69,r71,r92,r52,r21,r23,r62,r43,r65,r88,r48,r78,r2,r13,r44,r77,r34,r35,r56,r68,r41,r91,r40,r18,r94,r19,r42,r93,r14,r87,r61,r80,r76,r79,r74,r59,r100,r28,r55,r81,r36,r37,r46,r67,r84,r64,r73,r10,r24,r31,r27,r25,r53,r89,r9,r3,r72,r51,r26,r8
d2,57,95,50,45,86,70,43,6,11,63,80,9,61,66,73,71,90,16,36,83,56,13,5,7,40,59,77,10,12,28,62,18,67,82,88,25,2,30,37,79,89,32,15,58,22,55,91,60,78,74,17,64,19,42,35,0,20,81,98,87,31,8,14,39,33,48,93,52,65,94,68,54,47,38,34,29,97,44,3,96,27,1,99,49,53,92,46,21,26,69,72,84,76,24,23,51,75,85,41,4
d5,7,88,17,26,67,77,19,12,2,13,97,72,69,70,30,66,71,63,51,37,98,85,80,41,94,68,25,28,24,56,11,74,9,22,91,75,73,87,93,8,61,0,99,52,33,23,60,40,95,21,53,64,16,45,46,58,15,79,29,48,20,57,35,76,34,38,86,44,55,92,4,5,59,96,39,36,43,81,54,90,6,1,49,65,50,84,10,89,62,14,83,82,47,27,31,3,78,32,18,42
d4,70,92,34,89,23,68,56,57,61,1,25,65,53,59,51,35,52,16,12,87,88,50,77,39,3,90,85,97,79,9,17,37,7,42,44,83,60,73,36,6,86,32,84,38,55,78,46,13,93,45,64,8,69,49,15,72,99,29,80,14,74,62,71,48,18,95,5,54,0,11,98,41,81,40,10,19,26,27,22,75,67,33,30,91,76,2,20,82,24,4,31,43,21,63,96,58,47,94,66,28
d61,1,96,90,57,79,67,38,70,92,95,37,34,75,5,15,86,14,83,50,21,71,45,85,60,89,32,22,7,26,74,28,68,33,84,0,8,76,48,51,94,43,87,31,4,49,2,56,27,58,6,42,64,98,12,55,29,19,78,44,3,30,77,81,35,99,80,25,72,9,16,59,52,93,66,18,11,73,24,61,62,20,17,63,69,13,91,82,46,54,65,88,39,40,47,97,41,10,53,23,36
d90,2,89,36,56,60,42,5,90,82,40,58,32,33,69,55,94,97,71,70,72,86,66,0,91,1,50,77,31,51,26,96,12,64,18,63,48,3,9,7,17,81,61,30,35,25,68,45,95,67,22,37,53,6,93,23,59,92,8,27,99,34,83,43,57,4,20,54,65,85,62,75,15,52,73,88,28,98,24,39,21,10,78,80,41,46,16,19,79,74,76,13,49,11,38,14,47,84,44,29,87
d1,97,99,95,10,5,88,78,16,14,64,60,49,79,93,69,24,77,58,34,96,52,4,56,9,47,27,84,61,89,23,94,40,3,43,63,74,50,76,75,11,12,73,70,71,6,66,20,15,90,18,25,68,86,98,80,57,82,28,0,13,87,67,17,48,31,51,81,55,30,2,65,62,22,39,54,92,32,29,85,91,45,26,19,38,42,36,33,83,41,7,1,35,44,59,21,72,46,37,53,8
d39,85,13,21,51,82,54,37,46,70,63,97,68,17,16,38,5,96,91,87,29,40,42,33,93,6,62,67,7,9,30,14,57,45,23,78,80,64,26,3,60,31,18,56,59,66,89,43,27,95,41,8,72,49,48,50,90,44,69,2,28,53,32,84,55,0,92,25,11,35,58,99,75,73,36,88,15,86,71,12,47,20,24,10,65,61,98,52,4,19,1,76,77,74,22,79,83,34,94,39,81
d60,97,98,95,86,26,22,41,88,9,23,6,50,60,33,24,80,72,42,61,67,46,3,53,83,29,59,35,68,7,45,38,4,96,90,85,81,12,64,18,10,58,40,52,70,1,57,44,30,13,5,32,84,71,69,89,55,75,63,19,43,0,87,76,47,91,15,49,77,2,37,17,56,54,65,62,21,16,8,25,20,99,51,14,31,34,28,79,39,92,93,78,73,66,48,94,11,82,74,36,27
d14,75,62,11,98,25,69,90,78,71,20,31,14,34,83,63,6,15,40,35,77,30,2,97,88,45,58,56,47,99,95,29,21,49,93,52,27,65,24,60,96,67,7,53,42,4,84,28,12,57,66,17,23,46,37,76,3,9,59,44,70,36,1,72,79,19,10,89,32,92,61,82,85,26,74,50,38,13,41,0,39,33,64,94,73,5,91,51,48,80,22,54,81,87,68,86,18,16,43,55,8
d11,26,79,89,21,67,33,31,52,85,71,69,34,0,63,23,66,9,78,95,56,2,87,43,99,14,81,73,84,18,83,8,60,51,27,55,77,44,38,17,90,11,61,59,86,57,42,46,5,62,92,4,41,64,48,35,22,70,96,93,72,19,13,47,30,80,36,12,91,74,45,32,75,76,37,53,58,24,6,94,7,28,15,49,40,10,20,98,25,1,54,65,39,82,97,3,68,88,29,50,16
d62,69,37,52,49,33,24,82,4,13,43,28,57,46,72,65,14,84,92,95,6,64,26,88,21,25,56,45,79,9,0,19,89,1,70,61,48,59,10,77,44,80,32,94,93,53,17,51,90,62,39,36,58,29,20,22,66,86,63,73,18,55,12,81,67,15,16,87,75,8,74,47,78,34,91,83,96,40,35,38,23,60,27,76,42,41,98,54,11,31,7,30,5,97,2,99,85,71,3,68,50
d31,97,24,60,56,35,67,1,49,5,30,6,16,89,94,43,44,42,70,75,69,10,93,86,11,23,61,46,33,91,76,66,50,78,71,12,73,31,79,80,77,9,39,48,13,53,17,25,15,2,34,22,20,58,95,0,52,3,99,74,55,41,26,82,85,88,57,36,68,47,14,65,40,62,98,4,90,32,59,84,38,83,54,18,19,45,81,51,87,96,27,92,28,72,63,29,21,8,64,37,7
d68,99,38,8,42,96,13,50,35,11,93,25,18,51,26,90,2,6,60,53,61,12,70,64,24,75,28,87,3,79,44,81,16,48,40,22,55,97,78,73,74,37,7,65,63,85,41,69,4,68,71,43,36,39,1,46,84,89,10,56,58,34,83,91,57,72,67,29,82,76,14,45,95,54,15,92,52,32,59,98,66,49,27,9,19,30,20,80,0,33,94,77,47,17,5,86,62,21,31,88,23
d71,97,10,8,63,37,31,18,41,81,46,96,95,98,14,90,77,22,32,15,24,87,33,13,3,79,5,45,66,99,19,61,84,71,30,35,7,1,20,68,50,64,40,58,49,86,4,52,21,44,67,28,0,72,34,92,38,42,54,25,80,55,53,2,12,26,60,29,82,89,70,39,78,73,23,11,65,17,62,76,75,56,43,94,59,74,6,83,48,85,16,69,51,91,9,36,27,57,93,47,88
d13,22,24,35,54,53,69,45,2,38,89,30,41,52,55,75,65,66,1,12,27,29,80,40,7,71,33,39,13,25,99,43,67,85,90,59,74,14,63,91,96,98,4,20,49,50,92,28,17,86,68,78,21,19,42,76,37,61,88,48,77,58,87,18,5,82,70,36,94,56,8,97,84,51,32,44,79,34,62,95,60,26,47,73,31,72,81,64,46,10,16,0,23,3,93,9,15,57,6,11,83
d95,28,80,11,87,24,31,52,1,36,48,30,35,59,22,53,7,89,49,33,76,26,86,67,99,25,17,79,12,60,43,63,64,97,9,55,93,45,62,20,85,98,4,18,81,44,94,69,13,96,10,54,39,50,15,29,74,40,84,0,88,82,51,42,72,34,21,75,57,83,66,70,61,90,73,37,32,95,38,47,6,8,71,91,41,3,56,92,23,5,14,19,77,58,2,27,78,16,65,46,68
