,d67,d68,d27,d98,d97,d90,d13,d71,d48,d34,d60,d2,d19,d82,d52,d96,d10,d85,d28,d24,d56,d80,d44,d37,d35,d66,d86,d45,d50,d46,d7,d57,d38,d47,d15,d43,d95,d18,d31,d49,d42,d79,d72,d17,d8,d5,d29,d36,d54,d61,d88,d65,d75,d100,d89,d77,d91,d4,d23,d63,d25,d53,d21,d94,d58,d51,d59,d40,d83,d33,d12,d16,d20,d26,d55,d39,d6,d99,d41,d81,d32,d22,d14,d9,d3,d11,d78,d92,d64,d87,d73,d76,d62,d1,d74,d93,d84,d30,d70,d69
r71,80,86,27,23,84,62,13,29,70,95,87,16,97,5,30,28,39,48,14,52,68,63,15,82,60,22,54,64,51,11,12,35,75,94,90,32,96,77,67,58,53,46,1,61,34,69,66,38,41,20,8,50,17,49,7,36,43,45,9,6,21,24,93,3,79,10,55,56,99,40,89,88,98,2,65,91,76,0,83,59,44,71,42,37,92,18,31,25,57,4,74,33,19,78,72,73,85,81,26,47
r87,82,10,95,26,44,67,23,64,1,99,47,74,0,66,68,32,84,12,13,27,5,53,14,94,16,78,28,3,93,56,81,69,6,7,34,91,51,77,17,73,19,2,20,55,96,89,62,65,71,9,98,72,36,60,29,15,35,87,63,31,24,11,48,40,61,80,38,45,88,46,59,18,4,57,85,43,22,54,39,30,79,37,21,25,92,8,97,52,49,33,50,41,76,75,90,86,42,83,58,70
r67,4,20,75,88,56,66,76,17,42,43,8,54,86,16,62,94,51,45,73,46,30,9,24,12,83,79,0,48,92,6,31,93,61,15,21,69,49,19,41,58,2,52,7,23,40,34,53,78,80,10,27,3,39,91,50,97,65,89,25,22,28,47,96,72,32,55,36,87,84,70,90,29,67,11,26,57,37,33,77,81,60,13,98,74,99,85,44,59,68,82,63,95,1,5,14,18,38,71,64,35
r69,19,71,13,56,45,88,34,54,23,58,27,28,89,5,16,95,55,24,48,93,8,85,86,74,80,51,46,60,98,99,37,92,43,14,53,83,87,9,17,67,20,59,62,81,76,52,41,65,2,6,29,91,10,79,72,26,42,25,44,31,32,78,15,61,21,50,18,33,82,39,12,36,11,63,30,84,0,7,96,70,64,22,3,57,1,77,49,73,4,94,97,90,66,75,47,40,38,35,68,69
r25,12,30,99,77,74,79,41,82,22,45,56,78,60,59,15,83,32,7,54,31,16,87,34,51,8,57,58,0,18,85,24,10,65,49,37,25,48,98,44,67,39,84,3,63,23,55,47,69,95,46,35,9,26,62,17,14,50,68,43,5,64,72,70,75,81,36,96,52,33,93,71,27,6,91,61,90,28,66,21,42,38,29,80,11,94,1,89,20,40,73,13,19,76,88,53,92,2,97,86,4
r31,96,12,31,8,58,14,26,4,95,59,41,79,16,70,80,61,13,72,88,97,98,85,83,71,51,39,25,5,63,24,60,42,57,78,94,18,46,11,30,32,74,44,54,82,93,99,69,9,66,40,45,27,73,1,10,20,89,2,55,15,36,6,22,7,92,47,65,23,86,67,77,29,56,81,33,91,87,68,76,17,28,62,38,35,84,52,64,90,0,3,75,53,43,48,34,49,19,50,37,21
r48,81,72,21,34,0,39,73,56,6,46,36,16,83,57,53,10,98,13,69,4,12,85,74,44,35,19,20,48,2,55,70,49,65,40,77,94,82,91,25,99,63,59,60,67,80,8,28,26,79,23,22,24,9,78,1,58,71,3,96,31,37,47,45,54,11,88,84,7,95,17,93,92,43,18,32,29,89,41,90,86,64,42,62,76,14,30,50,61,5,68,51,52,75,38,27,97,87,66,33,15
r72,56,50,80,38,19,6,68,63,85,45,24,66,64,13,62,48,59,88,93,78,72,18,54,94,47,52,53,77,12,40,81,89,44,51,1,5,26,55,58,91,43,23,11,60,57,30,10,67,17,65,42,61,20,8,75,92,82,90,69,83,71,96,0,33,15,37,3,95,87,9,28,84,34,22,46,29,14,39,31,86,21,76,49,41,32,35,74,79,7,70,25,97,4,36,98,99,2,16,27,73
r61,93,94,21,62,57,96,9,8,77,88,1,75,90,76,61,19,55,67,91,7,29,12,72,89,95,37,34,42,25,59,0,66,52,15,35,84,27,20,22,87,46,13,48,70,97,11,64,69,36,2,63,60,17,40,23,41,51,5,45,71,80,54,49,3,14,79,32,38,6,26,99,18,56,53,31,92,78,44,58,85,30,83,98,24,33,68,10,86,47,81,65,43,16,39,74,73,82,4,28,50
r20,60,23,31,77,96,58,70,69,92,1,64,17,85,54,80,10,27,20,24,72,88,90,35,87,55,22,98,42,83,66,82,86,53,15,61,50,43,44,93,36,11,0,32,9,28,7,33,30,79,6,56,21,75,13,8,84,40,94,39,65,14,26,52,62,48,99,47,63,18,97,59,74,41,19,67,25,37,5,89,4,49,91,38,71,81,45,78,12,29,34,16,46,51,76,57,73,3,95,2,68
r35,95,10,34,8,90,1,97,81,38,84,37,67,61,21,22,71,82,14,13,73,26,85,53,11,52,83,79,46,92,47,28,3,72,7,64,43,86,78,9,2,75,15,16,55,89,19,45,70,94,35,87,41,58,30,24,68,31,77,25,88,33,6,60,69,98,76,57,49,62,23,93,0,91,99,39,56,51,18,20,29,32,4,66,48,50,44,40,17,63,65,54,36,5,12,74,42,96,59,80,27
r99,41,45,58,57,7,97,47,86,96,46,66,75,35,2,82,38,33,89,54,94,14,34,77,25,65,83,44,55,72,27,24,93,87,56,48,74,23,84,61,3,13,98,19,28,18,76,22,15,37,9,67,95,12,29,69,11,8,52,43,99,1,73,30,91,68,71,85,20,59,40,49,78,51,50,88,21,64,53,0,92,4,32,39,36,5,6,10,70,79,81,17,31,62,16,80,26,60,42,63,90
