,d67,d25,d18,d30,d17,d93,d2,d62,d41,d20,d82,d40,d76,d77,d43,d32,d11,d19,d10,d53,d92,d47,d34,d68,d71,d42,d81,d51,d36,d29,d73,d98,d13,d97,d37,d65,d7,d95,d49,d86,d96,d23,d59,d26,d55,d60,d8,d79,d75,d64,d90,d50,d24,d3,d4,d22,d6,d56,d35,d5,d39,d91,d85,d94,d1,d14,d88,d100,d78,d57,d74,d80,d61,d83,d46,d69,d48,d15,d21,d72,d27,d66,d52,d16,d12,d89,d87,d99,d9,d31,d58,d28,d45,d70,d84,d38,d33,d63,d44,d54
r25,58,33,73,29,39,23,61,69,62,64,24,18,30,89,93,7,36,48,76,47,78,85,90,10,74,94,6,3,86,97,14,60,70,51,5,26,2,17,34,87,43,25,54,99,12,37,55,8,71,46,16,15,68,41,22,28,56,65,63,57,49,1,52,67,50,40,20,92,79,91,42,77,88,4,84,96,13,9,0,11,82,21,45,66,80,31,75,38,19,53,59,35,32,27,98,95,44,81,72,83
r14,82,88,2,52,20,30,6,85,23,33,72,60,73,65,26,12,4,24,79,74,99,56,77,47,0,98,71,18,21,96,43,38,63,45,36,13,16,89,46,25,5,1,15,14,57,80,9,29,91,19,75,69,41,10,78,93,17,66,7,81,87,54,48,97,86,50,62,37,32,42,64,94,68,53,90,31,27,70,67,92,3,49,95,76,44,55,34,28,84,61,59,8,11,35,83,39,40,22,58,51
r80,80,95,88,19,75,56,89,30,26,32,67,54,41,9,69,6,53,85,99,71,65,44,45,10,24,76,37,60,52,81,97,48,59,73,3,70,38,4,63,33,68,12,11,27,86,87,42,49,15,64,34,55,25,47,0,20,2,84,5,14,18,90,82,78,57,29,39,96,62,51,46,94,36,28,40,35,92,77,83,74,31,91,22,50,13,8,93,16,17,58,1,43,7,61,21,23,72,98,66,79
r56,28,71,4,95,8,85,3,53,72,13,18,76,54,35,42,23,49,32,81,39,1,45,26,94,93,38,9,37,21,2,33,56,88,65,73,83,91,17,27,60,51,79,96,7,46,69,84,86,48,30,11,64,44,92,15,57,82,87,41,68,34,40,43,78,62,24,6,97,0,25,63,90,74,14,50,36,55,52,10,75,59,70,61,5,99,12,98,80,66,47,16,67,29,58,22,20,89,19,31,77
r70,3,27,29,77,71,89,72,12,80,86,67,61,53,56,31,83,43,40,60,20,49,18,15,74,16,99,39,51,68,35,85,76,50,75,66,65,57,84,94,11,58,87,24,93,69,70,44,38,95,91,63,98,92,52,81,48,46,55,14,37,41,25,90,96,88,79,4,32,23,45,19,7,8,26,59,64,5,10,17,82,62,22,0,36,21,47,13,42,1,2,54,78,33,28,6,34,73,30,9,97
r6,61,38,79,49,39,28,93,41,56,23,17,52,78,96,73,11,92,9,6,8,42,33,90,44,50,12,15,65,60,16,27,55,13,74,40,24,7,1,10,34,80,18,30,37,46,76,72,70,32,62,81,14,31,88,5,89,64,94,69,36,26,68,99,48,98,35,2,84,58,86,66,4,21,82,63,97,25,95,53,57,83,75,0,59,54,45,22,91,67,19,87,85,43,20,29,77,51,71,3,47
r20,2,78,56,66,31,58,75,14,22,26,19,38,92,91,88,51,27,43,53,95,21,70,41,46,3,68,29,60,65,30,37,55,57,83,73,1,71,49,81,35,69,13,10,4,79,50,45,87,90,39,23,86,61,52,6,67,63,40,80,62,0,32,34,64,76,28,11,85,7,15,44,16,18,47,36,59,97,48,5,84,24,42,33,25,94,89,82,93,12,74,9,20,77,98,72,99,8,54,96,17
r81,99,36,57,16,97,5,63,48,59,46,78,52,3,20,25,6,70,41,71,86,34,88,33,9,0,12,72,17,15,73,32,42,1,50,24,2,93,26,43,80,66,56,54,69,35,38,8,67,14,39,64,65,49,96,40,90,85,60,11,28,84,4,58,37,76,61,7,22,68,18,74,98,55,44,21,29,30,82,79,94,87,81,91,53,89,45,27,77,13,95,75,51,92,83,47,31,23,19,10,62
r97,24,60,47,43,30,28,93,52,73,63,90,97,96,95,34,33,51,41,80,22,4,74,8,16,53,6,54,9,65,50,61,98,88,10,39,83,0,55,78,35,13,87,2,79,70,15,31,62,76,66,19,67,64,85,69,42,57,59,86,58,44,29,46,3,23,5,84,82,26,7,99,81,94,32,14,12,56,27,71,48,37,20,17,89,21,1,36,75,38,68,18,49,91,11,45,72,92,40,25,77
r58,22,51,19,17,94,97,89,48,67,13,28,75,84,3,20,45,88,16,11,35,92,8,1,30,33,7,2,76,73,23,6,14,62,61,32,81,39,80,87,49,9,98,31,79,36,25,44,69,60,37,42,52,82,47,0,27,26,77,34,93,72,91,59,78,64,74,85,10,68,58,53,96,95,12,57,46,54,66,40,63,21,5,90,15,18,55,56,29,83,71,43,86,65,99,24,41,50,4,70,38
