,r34,r53,r42,r95,r30,r20,r10,r68,r64,r43,r77,r38,r21,r33,r97,r2,r93,r5,r66,r79,r46,r54,r6,r32,r83,r63,r86,r85,r98,r37,r94,r7,r100,r74,r1,r88,r70,r8,r47,r17,r14,r25,r75,r59,r67,r91,r31,r9,r52,r60,r40,r96,r61,r19,r50,r28,r65,r12,r16,r22,r44,r87,r89,r48,r4,r55,r35,r45,r24,r92,r71,r27,r90,r15,r78,r82,r51,r80,r3,r84,r49,r36,r39,r99,r69,r29,r76,r81,r26,r58,r73,r13,r62,r57,r11,r56,r23,r72,r18,r41
d45,78,0,38,67,46,51,14,65,25,69,73,48,10,31,80,60,26,83,9,87,56,12,24,72,15,98,19,43,97,68,82,17,39,81,85,32,23,88,96,66,4,8,27,21,62,52,71,50,7,93,57,20,16,6,40,58,55,2,75,36,54,49,22,47,53,41,5,45,33,70,95,76,64,3,42,35,59,94,37,44,13,61,11,90,92,28,86,79,29,89,34,1,63,91,30,99,77,74,18,84
d68,9,56,37,24,89,16,95,50,21,60,88,69,99,82,0,14,55,62,51,38,4,20,70,91,18,48,78,39,71,92,53,31,26,46,72,17,27,30,29,15,64,77,67,23,85,96,98,7,35,25,28,45,59,3,79,33,11,90,66,43,41,63,12,68,42,5,54,80,13,76,75,44,61,83,52,86,22,74,94,6,10,57,32,36,87,34,8,65,73,1,47,93,58,2,81,19,40,49,84,97
d18,67,92,74,8,62,13,18,17,98,53,81,35,4,86,94,83,7,72,2,84,24,39,25,66,16,0,79,37,45,32,97,57,48,52,63,31,93,41,38,20,30,96,87,46,36,1,78,28,44,21,40,99,50,5,47,85,88,55,26,43,58,27,54,80,89,15,76,64,33,91,70,6,51,90,29,22,61,34,49,19,56,10,69,60,9,68,71,73,42,75,12,23,95,77,65,11,14,3,82,59
d89,20,78,40,46,80,52,31,62,71,53,25,83,19,56,10,69,97,63,92,72,13,68,88,35,11,49,17,21,22,12,5,58,91,7,0,65,85,42,44,93,39,1,75,59,66,54,96,6,61,29,84,51,30,64,37,57,47,86,43,60,26,4,70,94,76,89,27,74,38,32,8,34,16,81,45,3,9,55,98,2,48,14,77,73,15,41,24,23,79,18,36,67,82,28,95,33,50,99,90,87
d84,5,21,77,27,7,29,0,11,52,72,36,95,48,43,44,4,63,94,18,3,66,49,99,83,55,78,93,10,67,20,28,17,50,42,92,14,73,9,82,86,61,80,58,31,35,79,8,90,13,54,81,68,88,87,89,69,98,26,64,75,47,70,60,12,76,85,24,16,32,97,22,19,51,56,53,30,91,25,33,57,41,6,84,2,39,59,15,45,96,71,1,46,38,40,34,23,62,65,74,37
d37,35,1,8,88,92,36,39,55,69,93,11,21,67,33,56,86,72,51,49,53,89,85,59,6,87,50,32,15,43,3,64,60,58,25,13,83,4,65,99,97,27,5,61,37,7,52,2,20,34,96,9,95,40,22,31,44,74,38,91,45,18,81,48,12,76,66,23,94,29,47,42,77,79,80,24,54,75,30,19,63,78,73,62,41,57,46,71,84,26,90,68,17,70,82,0,14,28,98,16,10
d54,88,29,97,43,86,34,61,6,62,71,3,57,28,27,0,37,46,79,25,73,17,51,76,32,1,83,99,53,45,48,49,44,47,4,95,40,63,16,90,20,18,13,19,22,30,9,56,68,65,98,81,50,33,42,84,38,10,85,94,64,39,7,89,21,31,87,75,91,23,41,52,96,5,15,59,80,74,60,54,67,70,14,72,2,8,77,36,69,82,24,55,58,26,92,66,11,78,12,35,93
d75,16,10,6,98,90,62,63,70,92,89,71,72,55,2,42,46,84,64,99,32,74,78,21,87,51,15,88,61,22,0,4,7,11,49,29,43,39,93,14,53,27,17,67,34,19,77,48,69,20,52,38,68,25,44,66,18,9,30,96,40,47,79,50,31,76,81,23,95,58,73,37,26,94,45,82,97,3,36,24,13,8,86,65,33,35,75,91,41,5,85,80,1,54,12,60,56,59,83,57,28
d19,81,51,26,74,97,66,58,23,38,41,44,42,76,22,7,96,50,15,71,57,72,99,93,1,70,73,85,80,34,69,68,55,13,29,92,17,20,83,3,45,32,27,67,63,10,16,0,30,89,49,37,28,35,61,90,65,47,54,78,14,95,59,19,12,53,6,60,11,39,4,62,18,75,43,56,86,33,94,48,36,52,2,21,88,40,82,84,87,77,98,46,24,79,25,64,8,5,9,91,31
d100,96,74,55,29,54,80,70,49,14,24,94,89,22,83,43,81,39,71,20,57,5,65,40,85,91,47,45,72,63,87,99,1,50,23,42,79,88,36,95,78,52,53,35,11,6,27,41,8,48,7,17,19,56,2,51,46,73,75,16,4,60,28,62,76,44,86,58,34,30,12,26,21,32,84,0,68,31,64,92,66,98,10,90,37,97,33,61,59,38,15,93,77,82,69,3,25,67,18,13,9
d42,65,37,80,28,52,88,87,74,84,55,61,35,32,51,27,89,3,59,30,54,12,92,82,13,71,39,83,81,91,31,1,21,10,29,2,5,53,8,67,47,49,46,86,22,97,73,58,17,66,36,23,24,78,45,69,56,18,94,93,33,20,85,14,60,50,98,42,76,75,43,26,11,68,44,64,7,63,38,15,9,0,41,99,19,16,72,90,34,62,96,48,6,40,77,95,4,25,70,57,79
d90,85,82,19,66,38,16,18,48,68,31,41,99,21,69,77,67,96,75,23,30,54,51,84,24,32,72,90,91,29,87,45,10,80,89,27,60,57,37,17,61,53,1,63,92,20,88,50,4,98,95,71,94,28,70,47,5,3,43,22,46,2,0,6,35,93,39,14,12,86,25,73,40,76,58,44,34,74,49,83,33,15,64,26,56,78,9,62,52,36,42,59,7,8,65,79,11,81,55,97,13
d43,47,83,53,58,92,54,68,57,26,12,13,62,38,14,74,27,20,70,65,4,72,97,98,16,63,91,42,18,86,5,35,46,49,29,90,44,37,60,3,22,21,76,79,67,31,40,0,93,48,36,50,77,39,85,51,66,34,64,8,96,69,30,19,15,45,33,32,17,56,88,23,99,80,25,84,6,78,24,43,41,87,59,71,95,61,10,7,73,28,89,94,52,9,1,11,81,2,75,82,55
d34,37,20,48,9,28,32,5,77,72,89,52,96,15,67,98,71,76,33,85,83,75,68,84,47,79,26,27,7,0,80,59,24,64,56,51,31,94,82,93,22,81,70,11,57,63,87,99,41,97,38,23,18,62,91,30,8,13,25,16,86,78,60,12,2,29,69,50,73,92,74,65,55,17,34,1,4,90,44,66,3,43,88,21,49,19,45,10,35,61,14,42,36,6,39,53,58,54,40,46,95
d51,58,21,71,89,90,19,93,10,80,17,97,84,50,29,60,48,55,31,4,68,15,34,11,65,85,87,40,44,41,22,94,96,56,14,32,45,57,99,49,38,61,82,62,70,30,42,88,37,92,24,18,43,33,72,59,27,83,2,39,53,64,47,86,13,20,74,78,1,75,5,67,35,0,91,63,25,95,26,98,16,77,52,36,81,6,73,54,8,46,76,69,3,23,51,79,12,7,28,9,66
d2,88,61,32,69,87,90,10,56,53,5,24,47,18,71,14,93,52,35,94,51,6,48,74,67,16,75,28,55,97,99,78,64,54,72,86,27,59,17,9,1,82,49,84,45,46,34,92,22,4,23,3,44,57,95,42,96,58,81,50,26,76,68,11,38,13,80,85,91,20,40,36,60,62,21,25,70,73,12,0,33,8,30,19,31,41,66,2,79,89,43,29,77,63,83,37,98,7,65,15,39
d28,80,66,29,10,20,95,82,50,73,21,81,14,48,57,65,72,90,61,12,67,19,76,97,30,60,35,38,69,3,64,1,74,45,5,42,77,85,13,18,36,89,53,34,99,71,44,70,28,94,54,8,63,43,22,9,17,6,88,87,4,75,52,25,39,84,2,26,0,24,98,33,79,93,59,11,62,83,78,58,86,41,56,40,55,37,32,51,15,31,91,7,49,16,27,23,68,96,47,92,46
d12,58,44,36,25,4,33,48,75,38,22,29,78,76,67,39,64,6,87,63,50,71,80,26,13,77,60,18,53,45,16,97,52,17,7,8,54,21,99,94,35,2,42,86,51,62,40,10,74,98,90,72,82,73,15,84,9,89,41,79,30,61,70,37,49,92,3,88,23,69,14,47,57,85,66,34,19,43,59,28,65,32,11,81,95,93,55,56,24,91,5,1,46,96,31,83,20,0,12,68,27
d25,2,75,65,83,32,61,25,40,9,1,86,13,27,85,94,53,64,81,3,74,92,10,36,11,6,57,84,49,52,63,56,29,38,34,78,97,19,0,58,24,91,77,18,16,51,33,41,17,14,87,15,43,48,12,22,20,50,55,76,71,21,39,31,42,54,37,47,90,7,26,88,46,73,99,72,80,96,59,45,66,67,30,8,4,98,5,95,69,28,70,82,79,93,35,60,23,68,44,89,62
d92,59,56,50,58,34,68,24,14,86,85,71,10,66,47,87,83,69,96,79,61,37,65,7,36,19,2,81,3,20,4,84,62,25,40,32,22,15,38,76,73,1,63,51,27,92,67,39,29,77,11,26,88,5,30,72,23,90,9,82,18,41,98,0,45,70,44,43,31,91,48,35,54,8,94,52,95,53,93,80,33,78,75,97,17,21,46,42,89,16,99,57,55,60,13,74,28,6,49,12,64
