,r5,r6,r19,r7,r15,r2,r8,r13,r12,r10,r11,r20,r17,r3,r16,r9,r1,r14,r4,r18
d1,10,16,2,14,19,13,4,1,18,6,17,3,8,12,5,11,15,9,0,7
d6,4,8,5,13,12,14,3,0,2,7,11,18,16,10,1,17,15,6,9,19
d18,0,8,4,18,19,1,6,13,7,15,5,14,9,12,11,3,17,2,16,10
d12,10,15,6,0,14,11,7,8,9,4,18,16,13,5,17,19,2,12,3,1
d16,10,6,11,18,4,17,12,9,15,3,8,14,5,2,13,1,0,16,7,19
d7,18,11,0,10,6,8,7,15,13,12,1,19,17,9,14,2,4,5,16,3
d10,1,8,17,14,2,12,19,10,15,13,3,6,0,16,4,5,9,18,7,11
d14,9,18,10,16,14,4,6,3,0,1,11,7,5,17,13,15,19,12,8,2
d13,0,14,16,8,4,7,18,11,10,6,17,15,12,9,1,3,5,2,13,19
d20,7,14,16,0,17,5,3,2,12,18,1,11,19,10,9,8,6,15,13,4
d2,13,10,0,1,11,15,17,16,9,7,12,2,4,14,19,5,6,3,18,8
d19,4,9,16,19,18,15,3,17,0,13,2,8,10,5,11,6,1,14,7,12
d3,11,3,5,8,12,4,14,9,17,0,13,2,18,16,10,1,6,19,7,15
d17,18,8,14,13,17,9,12,16,2,6,0,5,7,15,19,11,3,10,4,1
d9,8,18,0,3,1,14,17,5,10,9,4,7,13,6,12,11,16,2,15,19
d15,17,5,15,11,3,6,19,1,2,9,0,8,14,4,12,10,16,7,18,13
d5,18,0,5,11,16,17,4,1,12,6,19,3,14,8,10,7,9,15,2,13
d4,5,2,16,14,17,13,9,15,0,18,12,3,10,19,6,4,1,8,11,7
d11,6,12,3,14,1,17,9,10,15,5,4,11,16,7,18,19,0,13,8,2
d8,11,12,18,9,4,8,5,16,13,2,1,10,7,0,6,15,19,3,14,17
