,d16,d10,d9,d13,d7,d8,d20,d11,d4,d1,d6,d5,d19,d15,d3,d12,d18,d2,d17,d14
r18,15,0,1,4,16,5,9,19,11,14,17,12,3,10,7,2,13,6,8,18
r4,15,19,11,7,12,17,5,8,2,6,1,4,9,18,10,0,14,13,3,16
r6,0,17,15,14,3,2,12,9,1,8,10,16,11,5,18,19,4,6,13,7
r5,14,18,17,4,1,12,7,9,0,13,2,19,15,6,11,3,8,5,10,16
r17,10,14,3,11,18,2,12,7,4,8,9,15,13,17,5,6,1,16,0,19
r8,8,7,17,6,13,2,0,3,11,1,12,5,15,18,10,9,4,14,16,19
r3,0,16,19,13,15,17,14,4,1,3,10,12,8,6,9,18,5,2,7,11
r14,15,12,0,1,3,6,10,17,9,18,14,4,5,8,2,16,7,13,19,11
r13,1,14,2,10,12,8,13,4,7,17,11,5,19,15,0,3,18,9,16,6
r19,9,11,12,1,8,10,19,7,18,5,0,4,2,15,17,16,14,13,6,3
r2,11,2,17,0,4,16,5,10,7,1,6,18,15,13,8,12,14,3,19,9
r20,3,18,13,5,14,8,9,0,11,12,6,16,17,10,7,1,4,19,2,15
r9,12,4,16,13,7,3,19,5,17,8,15,11,0,6,18,14,9,1,2,10
r12,16,13,4,3,5,6,15,8,12,19,9,1,11,18,10,7,0,17,14,2
r10,10,14,13,18,16,1,12,4,11,17,5,7,0,2,9,15,19,6,8,3
r7,4,1,18,6,8,10,0,19,12,17,13,14,3,5,2,9,11,15,16,7
r15,7,0,2,17,12,13,9,19,15,6,18,8,4,10,3,16,14,5,1,11
r11,13,4,10,12,16,14,5,3,8,9,11,15,1,17,18,2,7,19,6,0
r16,19,18,9,12,0,3,13,15,11,16,10,17,8,4,1,5,14,2,7,6
r1,14,8,16,9,3,10,1,17,15,18,2,7,4,11,6,5,13,19,12,0
