,d1,d12,d2,d9,d17,d16,d14,d6,d11,d18,d8,d19,d5,d3,d15,d13,d10,d20,d7,d4
r8,4,18,0,3,13,12,16,5,2,19,6,17,11,9,10,15,14,1,7,8
r13,12,3,13,0,16,2,10,14,5,8,18,17,19,6,15,11,1,9,7,4
r14,9,3,10,0,13,4,2,19,14,7,16,18,5,12,1,8,17,15,11,6
r6,7,8,10,14,4,18,6,15,17,0,19,12,13,1,5,2,9,3,16,11
r3,16,12,18,10,19,9,7,4,8,1,0,14,5,2,15,17,3,6,13,11
r5,8,5,4,6,16,15,3,14,7,11,1,13,9,2,0,17,19,10,12,18
r19,2,1,10,19,4,5,15,11,17,8,6,13,9,7,12,14,16,18,0,3
r9,16,10,4,0,9,17,12,6,15,2,5,1,7,3,14,11,19,13,18,8
r17,14,12,17,9,4,10,13,2,8,5,16,18,15,19,11,6,7,1,0,3
r4,18,8,19,17,1,3,2,7,16,13,0,12,9,4,6,10,15,14,5,11
r20,9,15,10,19,4,6,11,3,2,7,1,18,13,8,17,12,0,5,16,14
r18,6,19,3,11,17,13,14,1,12,0,10,16,9,18,2,15,7,5,8,4
r2,12,0,15,16,3,18,2,19,6,8,1,5,14,9,11,17,10,7,13,4
r12,17,11,1,13,15,4,9,7,5,6,0,14,12,8,3,16,18,19,2,10
r1,6,7,15,12,17,11,1,0,13,3,18,9,5,2,10,4,8,16,19,14
r7,18,14,0,10,12,6,5,8,1,2,17,16,19,13,7,15,11,4,3,9
r16,0,4,18,13,7,8,6,14,11,12,1,17,2,10,3,9,15,5,19,16
r15,0,18,2,12,6,16,8,4,9,14,10,17,11,7,3,13,5,19,15,1
r10,6,2,19,5,18,9,1,7,16,8,10,15,14,13,12,4,0,17,3,11
r11,18,17,11,6,14,9,2,8,3,12,19,10,5,15,4,7,16,0,1,13
