,d12,d15,d7,d14,d13,d3,d5,d11,d18,d10,d1,d9,d4,d20,d16,d6,d8,d2,d19,d17
r10,7,10,5,14,9,18,13,8,0,1,19,2,15,12,11,17,6,3,4,16
r8,5,0,6,14,13,18,2,3,17,8,12,9,1,11,10,16,19,15,4,7
r4,18,5,6,8,3,17,4,1,11,19,13,9,10,12,7,16,0,14,15,2
r3,15,6,9,17,18,16,1,0,5,12,11,7,13,14,4,3,19,10,2,8
r1,0,17,7,10,4,2,15,16,9,5,13,1,12,8,3,6,19,18,14,11
r11,8,11,19,5,6,18,10,16,2,4,0,13,9,3,7,12,17,14,15,1
r19,1,19,11,4,18,12,6,8,13,15,3,7,17,16,5,9,10,2,14,0
r5,10,15,19,7,4,6,0,13,14,16,3,11,9,1,8,17,12,2,5,18
r2,0,16,5,6,3,12,18,14,7,17,13,10,15,11,2,8,19,4,9,1
r12,16,5,15,13,18,12,9,1,8,6,7,4,10,0,2,3,14,17,19,11
r20,0,17,8,14,16,15,19,7,18,1,2,4,10,11,3,12,13,5,9,6
r6,3,14,6,15,0,13,4,5,16,10,2,7,12,19,1,18,11,8,17,9
r14,19,2,4,12,11,6,5,8,15,7,16,14,13,18,0,9,17,3,10,1
r16,19,2,4,7,6,16,5,8,11,13,9,3,14,17,0,1,15,12,18,10
r9,1,3,15,16,2,6,14,11,8,12,5,10,17,19,9,4,13,18,7,0
r7,13,10,9,5,7,14,6,15,18,16,3,2,12,8,11,17,19,0,4,1
r18,8,12,4,0,14,5,9,13,3,11,19,10,18,15,1,17,7,2,6,16
r13,17,15,16,8,12,6,14,18,4,11,5,13,19,7,3,9,1,2,0,10
r17,4,12,3,8,6,0,17,15,1,10,9,18,16,14,5,2,19,7,13,11
r15,6,12,15,8,10,19,1,2,3,13,0,11,7,5,9,17,16,18,4,14
