,d22,d28,d76,d90,d73,d92,d69,d70,d60,d63,d11,d9,d21,d10,d72,d82,d64,d95,d25,d52,d55,d96,d53,d59,d40,d100,d13,d4,d93,d67,d91,d39,d99,d47,d18,d31,d51,d37,d44,d48,d84,d7,d88,d30,d41,d2,d61,d27,d98,d86,d29,d75,d89,d20,d77,d36,d83,d17,d24,d33,d78,d14,d16,d46,d5,d6,d56,d66,d58,d68,d49,d74,d23,d43,d87,d26,d62,d85,d38,d79,d97,d19,d50,d94,d3,d71,d8,d80,d81,d35,d57,d45,d34,d54,d15,d65,d1,d12,d42,d32
r91,33,32,63,3,38,89,37,46,24,16,45,50,76,19,98,2,49,20,18,69,27,91,10,9,54,82,94,52,77,0,14,40,60,41,42,28,61,87,92,30,56,68,5,65,90,47,35,13,74,26,78,71,99,84,7,8,81,11,75,55,97,4,21,15,12,64,59,58,80,1,83,93,79,43,66,48,70,29,88,23,17,96,73,44,53,86,85,67,22,25,62,51,36,6,39,57,34,72,95,31
r2,18,0,70,60,37,69,99,9,46,77,47,32,43,48,45,25,17,65,85,92,56,30,20,19,82,51,93,24,74,13,58,44,27,31,2,81,1,40,57,95,67,61,76,21,42,29,73,90,72,80,41,36,96,28,64,62,35,86,23,10,78,12,59,22,34,33,55,98,39,5,75,52,97,8,87,53,15,38,14,88,16,84,49,3,68,7,91,26,94,6,83,54,50,4,71,63,79,89,66,11
r30,12,81,44,71,97,60,39,35,63,93,90,15,46,10,14,2,42,88,19,18,55,41,59,86,37,8,76,69,28,21,7,96,33,77,99,5,87,52,51,31,38,26,47,64,27,49,1,82,75,53,80,70,57,29,85,11,91,72,73,74,65,58,9,4,6,3,43,50,45,36,94,78,17,92,0,83,48,79,62,98,24,68,54,23,95,25,40,22,13,30,67,56,20,89,61,66,32,84,34,16
r59,29,13,3,90,77,0,33,82,25,35,36,80,87,99,92,28,16,26,73,31,42,70,71,39,62,24,37,54,98,68,72,34,55,50,47,15,8,22,9,56,40,95,64,63,20,11,93,21,1,10,67,84,38,52,46,86,45,43,41,32,23,69,2,12,18,27,60,59,44,79,57,81,14,6,48,91,17,30,53,4,97,7,19,88,66,76,65,89,74,61,75,51,5,85,58,78,83,96,49,94
r35,70,37,80,97,74,18,24,92,1,29,71,84,25,14,53,35,81,4,33,48,90,41,72,38,75,30,94,52,17,56,99,31,96,42,39,57,27,69,0,19,67,8,28,6,46,21,82,16,79,12,63,68,91,93,55,32,98,43,76,13,50,7,61,2,44,58,47,3,59,88,5,51,15,64,78,34,83,65,20,85,86,66,89,60,45,11,10,62,49,40,26,77,36,95,54,73,87,23,9,22
r58,70,92,40,44,35,45,93,68,50,57,61,5,88,16,30,32,81,99,53,96,29,31,69,23,59,18,75,91,78,8,74,83,77,19,9,58,84,63,42,80,10,62,20,2,60,97,0,27,43,28,3,21,37,34,36,95,17,86,13,15,98,87,11,89,6,56,47,94,51,1,52,82,25,14,85,24,67,41,79,38,33,73,65,39,46,64,66,76,7,71,4,48,54,12,22,26,90,55,72,49
r17,19,37,93,70,29,3,92,91,60,99,54,89,90,66,1,52,21,22,58,86,95,75,27,12,8,59,50,51,18,67,44,7,47,61,68,78,46,30,74,84,36,71,82,55,63,16,64,39,76,28,17,72,87,42,96,38,73,2,45,49,32,13,57,79,31,81,48,33,26,9,65,34,24,94,41,88,10,11,43,15,69,83,97,62,53,56,23,35,6,80,4,77,85,0,20,98,5,40,25,14
r97,48,88,76,35,38,7,13,50,62,79,91,41,9,12,46,33,81,17,43,29,63,84,55,53,64,14,25,66,67,98,75,32,37,73,60,93,72,99,16,34,80,95,87,61,65,83,69,24,39,54,85,18,2,4,30,59,8,49,47,71,15,1,28,23,94,0,57,70,89,78,56,26,86,68,31,52,82,51,10,44,27,3,6,92,77,19,97,11,36,5,20,74,45,22,21,90,42,96,40,58
r81,51,90,50,15,34,31,47,60,69,80,97,7,2,88,25,68,19,95,4,98,84,56,76,13,74,29,73,59,53,40,14,6,11,21,35,8,32,48,93,86,85,92,65,1,66,61,94,23,16,54,75,33,36,77,78,45,44,57,55,24,43,10,71,3,20,41,17,58,72,79,46,81,0,39,70,9,83,5,87,30,99,38,67,91,89,42,96,27,26,37,62,52,18,64,28,63,12,22,49,82
r90,87,63,95,20,41,46,51,54,93,10,18,28,62,67,74,22,6,26,36,32,82,94,78,17,60,34,9,59,84,8,77,13,89,76,99,24,81,44,72,11,37,61,19,75,96,33,39,73,52,70,16,21,98,3,65,90,0,30,97,80,88,5,31,25,85,15,79,47,57,66,40,50,42,14,71,27,58,86,12,48,69,56,83,49,4,43,92,55,29,64,35,2,23,1,38,91,7,68,53,45
r65,13,68,81,19,84,98,15,97,90,85,72,91,25,92,54,94,17,14,87,16,30,99,2,34,22,93,33,8,82,0,51,20,67,41,27,46,23,80,10,59,64,74,70,48,24,69,35,21,56,55,3,11,5,18,49,66,57,62,44,28,89,73,50,4,83,38,29,36,47,61,58,96,45,7,86,52,53,79,9,1,88,42,31,39,60,6,40,78,95,76,37,77,26,63,65,32,12,43,75,71
r100,9,51,89,41,40,13,2,29,36,59,91,34,10,6,12,8,5,94,85,39,97,4,57,87,25,88,11,32,31,71,33,17,43,15,77,16,55,64,72,80,76,38,60,99,0,47,44,23,92,42,81,24,95,86,68,93,82,14,53,22,3,52,63,75,83,27,30,61,73,50,65,78,45,26,67,62,37,58,7,18,54,46,21,70,79,48,35,66,20,69,49,96,1,74,19,84,90,56,98,28
r36,18,48,84,31,54,32,26,37,99,12,55,24,80,58,44,49,7,76,1,2,40,23,43,9,75,85,27,56,19,52,47,10,5,89,36,29,50,51,68,66,42,46,97,25,21,69,73,20,28,60,4,61,45,35,86,96,59,6,64,39,63,81,74,8,71,13,78,93,67,62,16,65,94,57,17,72,11,15,22,38,41,30,95,79,82,87,83,33,53,92,3,90,77,98,0,34,70,91,88,14
r41,96,90,27,69,87,29,24,74,1,42,11,32,26,89,6,4,47,8,60,44,65,59,31,95,21,0,77,25,48,71,55,5,28,34,53,88,7,33,58,78,40,13,20,97,22,61,50,46,62,76,73,18,83,51,3,68,92,86,30,41,52,16,66,94,36,35,93,43,80,99,39,81,70,85,56,82,84,15,72,64,91,14,79,49,17,57,12,23,98,75,63,45,2,9,67,10,37,38,19,54
r99,3,87,8,27,21,81,19,34,63,96,84,62,39,11,83,94,91,48,5,45,82,74,79,76,22,50,31,14,55,24,33,88,99,70,13,29,93,68,85,18,44,98,32,17,16,73,6,30,52,59,61,89,2,10,66,41,23,65,42,7,67,92,72,20,1,35,25,28,90,97,47,58,53,75,46,80,60,86,51,12,26,0,56,43,69,49,78,54,40,38,15,64,57,77,9,4,71,36,95,37
r73,12,92,94,24,79,14,75,9,5,37,1,97,21,15,66,10,54,63,76,62,11,17,46,13,65,90,20,26,44,72,81,3,6,27,42,43,4,30,96,31,61,7,73,71,19,85,0,89,48,8,41,82,34,55,49,83,25,39,38,59,74,57,67,51,56,78,77,88,36,29,2,60,50,58,64,32,95,87,23,47,35,18,45,80,16,28,68,70,98,22,91,84,93,69,33,40,86,99,53,52
r75,67,83,6,74,51,42,94,37,88,65,53,75,99,64,30,17,18,24,70,78,29,50,20,27,48,40,61,82,52,62,7,19,95,81,92,69,46,98,58,23,44,77,47,38,90,16,68,5,28,32,91,76,26,10,80,97,89,73,93,84,1,14,86,3,0,25,71,31,60,36,12,57,41,39,34,85,79,22,45,55,4,87,72,13,21,8,49,54,59,56,2,9,33,66,35,11,63,43,15,96
r94,39,69,37,19,73,58,96,6,56,51,36,1,79,15,13,76,82,26,16,10,67,14,64,23,71,24,44,2,86,85,62,7,32,53,9,17,28,66,97,4,91,43,99,75,61,78,8,27,11,30,77,74,33,12,31,45,80,89,60,68,35,81,88,21,87,65,29,41,18,84,59,25,95,57,83,55,92,94,20,52,3,46,50,22,98,0,49,72,5,34,38,40,90,54,93,70,48,63,47,42
r13,56,54,46,27,45,67,82,33,20,7,64,55,17,71,37,77,90,8,81,23,26,91,14,28,1,6,4,76,57,36,52,86,13,96,75,87,80,94,85,0,21,93,15,61,88,29,16,34,68,12,53,98,58,95,39,41,3,70,92,78,43,60,74,65,40,66,49,84,83,89,32,25,18,42,69,35,44,38,72,97,48,99,79,51,2,30,31,5,50,24,22,62,11,59,73,9,47,19,10,63
