,r55,r35,r20,r60,r66,r63,r27,r83,r57,r25,r98,r58,r81,r43,r62,r76,r16,r3,r65,r87,r47,r92,r7,r73,r72,r99,r88,r34,r53,r1,r50,r28,r21,r96,r36,r93,r45,r19,r9,r38,r56,r8,r64,r85,r23,r74,r91,r29,r46,r68,r30,r94,r37,r39,r4,r17,r52,r59,r78,r10,r51,r6,r40,r75,r97,r79,r89,r69,r2,r70,r80,r77,r67,r32,r86,r13,r48,r71,r5,r31,r49,r12,r61,r11,r54,r90,r100,r44,r33,r15,r95,r22,r84,r14,r41,r26,r18,r24,r42,r82
d7,2,16,25,18,40,80,78,47,0,61,62,66,32,92,34,21,20,63,42,9,57,31,44,52,7,64,8,27,38,6,72,15,23,37,79,22,71,29,65,46,53,97,82,68,90,33,4,28,48,56,51,26,13,39,58,85,87,55,98,96,50,49,36,95,30,5,43,60,73,24,45,86,70,35,11,74,91,93,69,41,88,83,94,81,84,10,14,99,17,12,3,75,77,54,89,67,76,59,1,19
d34,10,21,46,55,72,98,87,68,12,61,15,83,53,13,92,84,58,40,91,82,76,37,33,66,1,50,11,30,39,99,44,95,96,65,24,97,3,20,8,19,32,22,62,41,60,31,64,23,2,74,57,25,49,56,52,54,45,0,90,67,26,85,27,69,29,48,78,36,42,17,75,34,89,47,14,16,9,79,35,51,77,86,4,38,94,81,28,88,70,80,71,6,18,5,93,63,7,73,43,59
d18,94,83,67,15,99,3,74,21,79,2,16,38,55,13,87,10,76,6,8,63,22,61,92,45,77,31,44,20,93,0,49,35,40,7,88,36,57,97,48,27,73,56,82,26,78,62,28,5,30,39,32,68,17,69,72,86,50,98,52,81,43,51,64,25,37,80,91,60,33,70,41,19,84,65,18,95,58,24,46,14,90,53,11,34,23,96,85,54,12,1,75,47,59,71,42,66,29,4,89,9
d3,51,56,36,52,61,62,14,22,6,99,17,67,53,88,54,87,26,25,39,18,71,46,40,8,44,16,19,91,31,30,29,20,98,15,86,35,95,96,21,72,55,84,42,77,41,90,28,65,89,57,0,80,92,76,34,75,93,5,50,48,2,3,81,66,10,37,83,1,74,38,63,24,47,45,68,7,70,9,11,4,13,79,94,78,58,64,69,43,33,49,23,60,27,59,97,82,32,73,85,12
d100,99,52,51,77,85,21,34,41,49,15,3,38,25,68,66,86,58,97,39,12,43,70,56,50,60,89,20,18,10,48,65,14,30,27,71,82,79,94,80,16,64,61,33,0,46,24,6,62,92,67,19,32,73,2,9,98,17,78,53,88,8,72,26,74,84,63,31,95,23,1,83,96,36,75,13,59,11,5,76,87,40,90,22,4,37,93,57,47,69,55,28,44,45,81,35,91,54,7,29,42
d27,80,2,0,74,41,23,51,38,71,25,68,26,32,43,53,8,89,24,34,46,62,66,88,61,9,90,75,60,56,97,93,19,84,15,54,82,40,63,5,78,57,96,85,76,3,35,94,50,95,77,70,10,58,31,6,16,14,99,91,49,81,64,37,47,21,28,27,30,69,52,12,79,4,92,87,45,73,7,44,83,13,59,42,22,98,18,48,11,20,67,29,72,1,65,55,33,17,86,39,36
d76,4,13,30,87,41,52,86,92,49,98,11,85,33,63,60,56,14,45,96,40,0,90,76,88,73,97,54,9,62,79,17,70,31,18,65,10,69,53,51,2,28,34,47,59,44,1,74,27,24,20,66,77,42,46,29,32,99,6,93,19,43,61,83,3,57,68,81,48,21,23,84,75,5,39,89,37,64,35,22,95,16,55,72,58,12,94,82,91,25,26,7,36,80,50,71,67,38,15,78,8
d28,85,88,31,92,54,43,90,93,34,55,59,70,71,72,23,53,5,13,37,8,33,56,1,4,22,25,50,41,58,83,73,14,46,94,63,11,20,82,38,32,26,44,87,40,80,30,89,47,49,99,35,29,84,45,79,52,3,0,86,9,68,67,61,48,65,42,77,74,15,91,21,62,28,69,95,78,10,57,97,66,51,7,18,64,96,19,76,98,24,27,17,60,12,39,36,2,75,6,81,16
d69,61,86,15,66,85,75,84,89,81,53,58,17,71,77,21,91,5,38,97,13,72,48,78,69,59,39,4,27,56,0,11,6,65,68,24,64,63,35,46,93,29,26,20,54,18,82,19,74,79,44,2,57,94,36,70,3,62,55,88,14,98,42,92,76,1,99,12,83,9,28,31,45,87,73,90,47,60,52,96,25,50,49,10,23,8,22,30,7,67,51,40,41,43,16,95,33,37,34,32,80
d1,3,11,89,93,61,70,77,99,90,60,46,34,85,84,32,6,53,72,57,66,91,9,37,76,96,4,81,36,1,54,51,78,75,98,21,48,16,56,8,29,59,97,55,44,30,92,50,18,15,20,2,82,28,64,26,86,24,74,52,23,17,88,73,68,65,69,22,40,41,14,45,19,67,87,95,27,33,43,38,47,94,13,62,58,25,80,12,31,0,10,7,49,5,63,39,83,71,42,79,35
d25,47,8,35,74,78,28,25,49,77,42,16,30,58,61,65,46,43,22,6,84,34,55,70,59,81,60,91,66,89,97,95,48,24,75,56,73,1,40,3,51,76,38,88,83,62,21,53,69,2,7,94,5,29,64,82,54,52,63,20,23,27,33,31,79,13,93,72,32,36,9,92,17,96,14,45,0,44,50,57,80,71,4,98,37,39,68,90,15,86,19,26,41,99,87,18,12,85,10,67,11
d94,17,55,57,26,4,47,46,24,54,61,51,91,43,15,44,28,41,38,97,49,27,85,74,82,14,22,36,20,63,39,18,7,35,40,37,81,5,75,98,56,66,6,89,50,29,76,68,33,1,72,45,3,92,25,11,59,30,42,16,13,48,96,73,10,93,21,52,67,71,60,77,64,84,65,2,90,86,8,12,19,87,23,95,69,62,34,99,31,53,0,58,70,94,32,83,80,79,78,88,9
d42,21,64,54,20,4,91,87,27,78,26,82,14,36,9,8,75,89,95,30,99,33,38,74,66,69,24,12,11,45,1,55,81,94,7,32,17,49,23,0,41,18,67,97,59,83,25,77,39,5,92,50,57,85,79,73,60,28,42,96,15,3,51,56,16,70,68,88,48,10,86,2,47,76,35,62,93,44,98,72,6,22,31,61,84,37,63,53,40,65,34,58,71,80,52,90,43,29,46,19,13
d93,74,36,1,22,27,30,63,25,98,9,88,28,95,55,99,34,48,4,26,65,2,86,83,8,39,33,72,12,0,45,80,75,56,7,71,85,67,81,76,73,14,92,32,79,11,97,62,61,16,93,49,58,6,78,31,44,87,46,38,43,89,23,64,41,57,50,54,29,52,77,59,69,70,90,66,94,35,51,13,68,37,10,82,17,53,40,5,47,96,15,42,19,18,60,3,20,24,84,91,21
