,d8,d4,d9,d18,d6,d20,d19,d10,d15,d17,d3,d12,d1,d13,d14,d2,d7,d11,d16,d5
r18,17,14,0,15,8,9,6,13,4,1,19,18,2,16,7,10,3,11,12,5
r15,6,8,13,4,7,12,2,17,11,9,16,0,14,5,19,1,15,10,18,3
r3,6,17,14,16,8,12,10,7,18,5,1,13,0,4,9,11,3,19,15,2
r19,13,16,1,15,5,17,10,2,18,0,12,14,7,11,19,4,8,3,6,9
r6,6,0,8,3,9,2,12,13,5,10,18,4,19,16,11,1,14,15,7,17
r8,1,5,7,8,6,0,3,13,15,12,17,19,4,18,9,2,16,10,14,11
r1,9,1,10,13,8,4,5,6,7,11,3,12,16,18,14,15,17,2,19,0
r20,16,10,14,11,0,5,9,4,1,18,2,17,8,13,19,3,12,7,6,15
r4,1,7,4,12,15,5,6,16,14,19,2,9,11,8,18,0,17,13,10,3
r13,16,11,13,9,1,4,17,15,3,14,18,6,7,2,0,5,8,12,19,10
r14,5,17,9,2,18,7,10,11,8,6,14,15,3,19,16,0,12,13,1,4
r10,18,1,6,19,17,16,11,0,7,9,4,15,12,8,13,3,10,14,2,5
r2,6,15,3,11,2,8,19,10,5,16,9,0,17,1,4,7,14,18,13,12
r7,4,1,3,17,7,18,19,9,0,5,14,16,2,11,12,10,8,6,15,13
r11,3,4,14,13,5,9,15,1,7,17,11,0,12,2,8,6,18,19,16,10
r9,12,15,14,4,19,0,17,9,5,13,8,2,3,18,16,1,6,10,11,7
r12,2,11,5,14,18,15,17,9,4,1,13,3,0,7,12,6,19,10,8,16
r16,17,5,10,16,0,9,11,12,6,15,13,4,19,8,1,2,7,14,3,18
r5,11,7,4,8,10,18,0,9,16,5,12,17,15,19,14,13,3,6,1,2
r17,9,8,4,17,15,13,18,11,1,10,14,6,12,0,7,16,2,19,3,5
