,r67,r37,r99,r2,r62,r4,r18,r65,r33,r11,r30,r21,r76,r55,r97,r29,r35,r8,r92,r31,r70,r25,r41,r66,r96,r36,r90,r48,r100,r95,r32,r75,r45,r14,r84,r34,r42,r58,r88,r9,r89,r6,r53,r47,r64,r86,r69,r77,r80,r39,r1,r78,r83,r57,r44,r59,r24,r81,r60,r68,r20,r71,r94,r38,r13,r82,r3,r7,r72,r79,r87,r61,r49,r5,r98,r46,r28,r51,r54,r22,r50,r12,r17,r56,r73,r52,r10,r85,r91,r19,r26,r93,r15,r16,r27,r63,r74,r43,r23,r40
d91,96,13,68,81,45,22,70,31,73,83,25,56,53,44,91,92,14,88,8,89,21,17,98,60,33,55,24,87,79,41,57,61,7,26,28,90,5,47,64,18,34,23,40,69,97,6,52,50,4,51,65,20,43,9,37,12,62,74,94,75,30,16,84,36,76,38,1,85,63,59,42,49,10,29,77,48,99,39,27,72,46,82,0,78,93,67,95,2,58,32,80,11,71,86,19,35,15,3,66,54
d11,61,32,3,36,39,29,12,37,8,73,63,35,57,95,45,51,84,65,33,34,97,90,96,48,17,94,20,72,13,79,82,42,91,62,14,93,4,6,86,41,59,52,43,58,71,49,22,92,21,1,54,5,88,15,85,55,11,19,40,53,74,9,98,27,24,23,64,99,31,75,87,16,77,70,83,76,30,89,50,78,60,81,44,2,56,68,26,47,46,28,69,0,10,67,38,66,80,18,25,7
d14,94,87,77,83,73,95,99,5,60,43,74,63,64,52,80,53,11,27,22,68,25,70,79,36,48,55,1,7,32,82,72,89,78,8,66,39,23,98,92,34,29,61,93,19,47,58,13,76,3,24,49,4,67,45,56,35,41,65,86,51,59,69,28,90,84,50,9,6,15,96,42,30,16,88,10,85,20,14,12,31,54,40,75,57,97,0,46,38,81,44,37,91,71,21,26,33,62,17,2,18
d25,11,84,51,78,1,66,89,43,5,20,99,15,82,33,67,81,97,27,56,70,90,13,74,75,88,85,44,45,36,54,47,31,77,28,93,17,80,63,59,10,6,76,24,21,68,40,34,18,7,38,42,46,92,64,61,19,72,69,87,71,52,0,60,23,65,79,12,50,62,91,14,73,48,30,4,58,57,83,2,26,96,55,29,16,98,53,86,35,37,9,32,3,8,39,41,95,22,49,94,25
d56,35,15,83,67,25,99,11,8,61,81,68,7,17,85,78,59,48,12,16,43,5,37,26,28,42,23,69,94,38,89,98,96,71,95,10,4,30,6,58,56,77,22,32,66,87,2,63,75,33,14,74,24,34,13,47,50,73,29,72,9,93,3,27,88,76,1,39,91,49,51,19,45,46,64,86,70,90,18,92,44,40,20,36,52,65,53,84,80,54,62,57,41,79,21,97,82,55,31,60,0
d5,63,12,15,7,3,77,42,81,62,91,38,49,41,58,13,99,74,20,30,68,51,80,47,25,71,35,87,45,89,57,48,92,32,76,34,53,29,8,4,75,14,73,98,22,55,9,95,85,28,33,54,40,27,66,72,83,64,90,65,60,82,5,23,67,21,96,43,1,56,86,31,88,19,17,37,94,46,79,52,61,11,39,84,78,2,26,59,18,36,16,0,6,69,10,70,44,97,93,50,24
d50,14,3,48,28,44,49,8,37,41,81,60,21,99,40,35,63,52,18,24,65,98,75,86,80,72,76,38,59,4,31,45,10,15,78,66,57,20,50,27,17,42,62,93,32,92,83,7,71,96,87,97,79,23,39,12,61,58,73,2,25,69,67,53,84,46,68,1,13,82,0,88,85,43,51,95,5,54,19,6,26,47,33,91,16,64,9,56,34,55,36,22,77,94,30,70,74,29,11,90,89
d73,21,32,95,47,72,58,67,34,66,44,7,57,71,16,84,9,49,90,55,12,45,96,14,28,5,3,50,73,70,37,42,69,92,11,35,82,26,61,60,77,33,2,20,98,1,52,15,88,56,54,27,22,89,85,25,48,10,78,65,75,53,36,97,91,62,74,29,94,86,99,64,8,93,80,83,4,81,68,63,76,51,0,79,17,24,43,87,41,19,6,40,46,13,31,39,18,30,23,59,38
d24,14,46,19,74,25,22,80,61,47,86,40,91,6,11,59,54,20,73,42,18,85,36,29,81,13,0,16,98,65,37,63,17,48,55,12,41,87,31,69,38,71,99,83,4,66,82,9,84,1,52,57,79,93,2,96,27,95,78,75,51,35,89,58,94,90,30,88,3,32,43,28,45,5,44,70,72,7,53,39,34,76,50,67,33,26,21,92,77,62,64,97,56,10,8,60,24,15,68,49,23
d80,66,69,10,68,23,44,18,36,65,41,59,20,28,99,60,55,4,25,84,37,47,6,27,91,90,32,86,12,24,57,35,71,54,42,29,0,49,75,62,78,85,2,72,93,30,58,87,1,77,94,22,14,98,92,95,74,50,82,16,31,38,63,70,8,53,51,64,43,39,83,19,21,56,67,73,15,48,89,40,79,11,7,9,88,17,45,46,96,76,5,13,26,81,97,34,33,80,61,52,3
d95,55,32,39,62,57,79,22,98,49,51,5,29,18,33,99,10,63,3,48,15,14,31,4,66,59,85,47,58,82,13,36,80,23,21,73,9,69,89,96,86,40,0,95,90,71,6,44,53,92,50,2,97,11,27,43,12,61,54,7,87,91,74,1,19,26,64,37,77,17,94,42,16,30,35,25,83,34,28,41,68,76,38,52,8,72,60,20,24,81,75,65,84,78,46,56,70,93,67,45,88
d44,29,94,31,50,55,27,71,48,93,74,78,5,99,84,49,32,14,61,45,90,28,34,58,86,79,2,67,0,4,97,8,15,47,25,75,88,96,22,85,6,44,41,20,7,83,39,56,62,59,66,52,35,64,98,1,89,82,80,70,9,51,42,63,10,19,3,91,87,26,40,69,76,60,18,16,65,43,13,21,73,23,17,77,33,81,53,95,57,12,11,72,37,30,54,38,68,46,24,36,92
d57,36,67,7,1,62,48,45,74,31,4,66,76,65,79,42,78,33,60,13,50,12,40,95,86,58,28,80,68,2,46,87,55,25,59,10,61,69,96,70,18,11,57,90,52,89,56,23,24,43,91,97,88,83,15,32,20,63,3,64,21,85,41,9,34,14,29,35,30,47,82,19,93,0,27,44,6,94,49,75,37,22,38,84,99,71,39,77,54,26,51,16,98,92,5,17,72,81,73,8,53
d86,57,79,9,52,92,82,1,24,20,64,85,25,37,17,97,80,66,54,8,69,46,58,86,75,98,12,19,81,87,35,3,7,50,22,40,21,38,60,33,78,91,77,49,73,28,15,26,14,74,56,11,96,27,71,6,44,16,45,4,62,83,84,5,41,42,63,94,95,0,30,34,72,68,93,89,32,51,36,88,53,13,39,67,70,90,76,10,55,61,23,47,43,59,48,31,2,99,18,29,65
