,r10,r8,r4,r3,r1,r11,r19,r5,r2,r12,r20,r6,r14,r16,r9,r7,r18,r13,r17,r15
d12,8,4,10,1,18,19,15,11,16,14,5,7,0,12,6,13,9,17,2,3
d15,9,16,17,1,6,3,15,8,7,18,2,12,19,0,11,14,5,10,4,13
d7,9,6,1,5,18,7,15,19,10,4,3,11,2,16,12,14,17,13,8,0
d14,16,18,17,15,1,11,5,8,12,14,0,7,6,2,9,10,3,19,13,4
d13,13,15,7,2,17,5,3,8,18,19,10,1,11,16,0,6,12,9,4,14
d3,10,5,14,0,12,4,1,2,17,7,19,16,18,6,15,13,9,3,11,8
d5,7,15,5,17,19,3,4,13,12,11,9,6,16,1,10,0,14,2,18,8
d11,7,10,4,5,3,2,0,11,12,8,18,19,16,14,17,15,13,9,1,6
d18,10,12,2,3,13,8,14,5,7,19,16,6,11,9,4,15,1,18,0,17
d10,11,14,4,3,19,8,5,18,2,0,1,7,12,15,10,16,13,9,6,17
d1,12,8,14,1,9,2,11,7,3,19,16,5,6,18,0,13,15,4,17,10
d9,18,9,11,17,0,15,2,12,8,3,6,19,1,16,5,7,10,4,14,13
d4,13,0,12,16,3,6,17,7,4,10,19,18,1,9,14,11,15,5,8,2
d20,12,16,17,4,1,3,6,19,11,13,18,2,8,5,14,7,15,0,10,9
d16,10,16,8,7,12,1,15,9,2,17,3,11,18,19,4,6,0,13,14,5
d6,0,11,15,6,5,10,14,19,12,18,13,2,8,1,3,9,17,4,16,7
d8,5,4,16,8,7,9,14,0,2,17,12,11,6,1,3,18,15,10,19,13
d2,2,11,7,15,14,17,6,0,1,12,4,16,18,19,8,5,10,3,13,9
d19,15,5,10,14,9,19,0,13,3,12,8,4,18,16,2,7,11,6,17,1
d17,8,6,9,4,3,13,12,5,19,18,17,1,7,16,2,10,15,14,0,11
