,r20,r8,r6,r17,r2,r12,r1,r10,r5,r11,r18,r9,r15,r7,r19,r4,r13,r16,r14,r3
d10,0,9,19,6,11,12,14,16,17,7,15,13,2,3,10,4,18,8,5,1
d13,7,8,0,15,6,5,2,4,13,19,14,18,1,10,17,11,12,16,9,3
d2,17,13,10,1,8,16,0,7,4,2,3,5,12,14,11,19,9,6,15,18
d1,16,12,2,6,4,19,8,3,15,5,0,13,18,10,14,7,17,11,9,1
d15,2,5,12,7,0,19,15,14,10,6,11,16,9,4,13,1,17,3,8,18
d7,11,14,18,19,4,16,12,13,5,1,9,6,2,8,3,15,17,10,7,0
d14,10,17,7,12,15,6,5,8,1,3,11,19,0,16,4,18,13,14,2,9
d19,13,0,18,7,2,8,11,9,5,10,3,17,14,4,19,6,15,16,12,1
d16,6,5,13,17,16,12,3,9,7,11,15,0,10,2,14,1,19,4,8,18
d11,4,2,10,9,17,8,0,1,19,11,5,7,13,6,15,16,3,12,14,18
d9,1,13,5,16,8,14,3,15,7,2,17,4,9,10,11,6,19,0,18,12
d18,7,13,10,9,14,2,8,17,19,6,12,11,16,4,18,1,15,3,5,0
d8,6,18,10,14,12,7,3,8,2,1,17,19,16,13,4,15,5,0,11,9
d6,12,0,17,8,19,18,9,15,2,7,11,3,13,5,16,1,10,6,14,4
d20,2,19,1,17,8,3,0,11,4,18,7,14,15,16,5,13,6,9,12,10
d12,17,16,11,6,4,10,1,5,13,9,12,0,19,3,15,14,18,2,7,8
d5,1,3,6,17,15,9,11,5,8,4,10,0,2,18,12,13,7,14,16,19
d3,16,18,5,6,19,10,3,13,15,0,12,7,14,8,17,9,4,1,2,11
d4,11,0,14,10,6,19,2,13,12,18,4,17,7,5,1,9,3,15,8,16
d17,12,16,10,15,1,14,9,8,2,19,11,6,3,7,4,18,17,13,5,0
