,d89,d81,d60,d18,d3,d25,d24,d7,d65,d41,d43,d17,d12,d94,d58,d51,d10,d77,d84,d1,d30,d20,d49,d88,d57,d68,d70,d40,d85,d72,d100,d99,d95,d28,d36,d34,d15,d46,d13,d80,d74,d4,d71,d29,d19,d83,d21,d45,d69,d50,d66,d56,d42,d87,d90,d33,d79,d59,d32,d97,d78,d52,d37,d35,d38,d48,d98,d2,d27,d64,d73,d67,d23,d16,d86,d8,d82,d61,d63,d55,d31,d22,d62,d47,d76,d44,d9,d5,d91,d6,d93,d96,d11,d53,d39,d92,d75,d14,d26,d54
r40,57,86,3,24,56,40,81,75,88,91,22,13,20,62,5,17,71,64,98,95,6,11,47,82,0,63,68,38,67,7,8,34,52,79,61,53,4,12,37,46,55,97,39,84,35,54,89,42,41,45,69,80,93,25,28,23,73,16,30,21,96,72,15,18,65,74,31,27,32,87,77,1,26,78,92,59,50,49,43,44,2,90,36,14,94,19,51,76,99,66,60,10,58,9,70,29,33,85,83,48
r12,63,85,24,17,29,51,45,38,77,88,19,74,92,80,96,20,93,50,75,25,89,46,58,65,0,39,54,83,94,4,32,71,5,13,47,56,81,10,37,21,11,41,1,78,99,68,95,18,31,14,22,2,35,55,42,62,67,57,36,76,34,73,48,23,44,64,3,60,97,91,7,86,8,84,69,15,79,9,98,6,53,28,16,40,30,87,90,72,33,12,70,27,66,52,61,49,82,26,43,59
r56,74,82,80,33,55,62,31,91,6,58,51,96,43,26,75,48,50,37,29,20,95,71,47,35,76,36,98,16,92,10,3,13,45,32,9,77,89,12,23,17,84,94,18,11,78,1,19,81,42,99,61,41,65,0,49,27,57,46,52,38,8,67,30,56,69,21,64,4,83,79,60,54,24,15,72,28,93,2,90,97,66,44,63,7,85,53,14,5,34,68,25,87,88,40,73,59,70,22,86,39
r95,40,26,88,97,59,38,71,25,32,83,48,28,17,34,92,86,45,54,96,53,78,63,0,30,11,87,7,3,82,6,56,66,57,44,24,23,35,79,60,21,99,43,29,73,46,14,77,18,42,58,20,33,10,19,36,49,81,72,13,47,89,70,90,65,95,62,41,74,2,67,93,50,94,61,52,9,12,31,98,27,75,8,69,55,16,76,1,68,80,64,5,85,37,4,22,91,51,15,84,39
r33,54,72,18,3,10,5,32,50,33,62,86,17,9,41,79,63,26,90,97,70,27,46,24,48,69,56,0,36,64,81,20,42,22,65,38,60,68,55,49,78,30,16,76,93,23,45,7,4,6,95,80,52,11,14,75,40,31,96,99,29,28,53,44,34,43,87,83,12,67,85,59,77,39,51,74,19,91,92,13,61,2,47,57,1,66,21,37,84,89,25,94,71,15,82,35,88,73,58,98,8
r59,7,64,77,13,36,66,26,9,33,82,92,60,3,89,81,56,19,59,73,86,21,34,39,75,40,71,99,10,87,90,58,91,67,96,46,4,63,22,83,25,52,97,6,14,84,1,76,61,24,43,68,23,44,93,72,5,95,85,20,65,55,54,53,74,8,2,35,94,70,80,37,12,48,16,51,0,11,42,50,18,30,29,69,32,15,41,45,49,98,27,79,78,31,47,88,28,17,62,57,38
r30,55,26,1,14,87,80,18,25,99,20,4,39,98,47,66,31,2,81,46,0,91,50,13,85,69,83,56,41,76,17,96,24,12,58,35,95,77,62,84,72,88,45,63,7,60,54,67,19,38,79,90,22,27,59,65,49,36,75,21,29,73,8,92,15,40,43,16,89,44,52,64,82,11,86,97,70,6,61,37,5,28,78,33,42,57,74,30,51,93,68,32,94,10,71,9,48,53,3,34,23
r97,92,77,68,59,98,44,34,65,78,35,38,87,62,9,52,17,12,2,61,67,33,73,88,69,50,42,80,8,85,83,47,49,74,93,75,26,7,22,66,4,54,36,40,58,20,10,24,82,5,71,86,94,32,11,84,27,55,29,64,76,0,79,21,96,63,46,89,37,25,31,3,95,99,18,90,43,51,81,19,97,56,41,23,91,45,1,16,30,28,60,57,6,13,14,72,39,53,70,15,48
r81,45,14,44,9,75,17,81,29,98,25,62,31,97,88,33,22,85,71,20,7,67,8,5,15,54,65,10,72,27,74,30,12,99,94,78,4,73,24,61,28,92,38,58,47,51,86,43,39,18,32,70,13,76,42,91,1,77,35,0,3,56,19,23,40,16,57,41,48,69,46,64,83,11,87,37,93,90,53,52,60,89,95,36,2,49,96,6,34,59,66,55,79,21,63,50,68,84,26,80,82
r4,31,99,8,44,21,64,87,98,39,14,95,93,41,5,33,11,1,2,69,63,70,10,18,73,78,60,72,56,30,15,75,17,26,45,53,96,35,19,76,57,86,52,29,16,85,97,37,43,49,62,66,88,61,24,23,9,46,48,67,58,47,27,40,38,59,42,4,22,25,3,83,55,92,90,6,50,81,79,7,0,12,32,28,68,89,34,94,77,65,13,82,36,74,91,51,71,54,84,80,20
