,d7,d34,d18,d3,d100,d27,d76,d28,d69,d1,d25,d94,d42,d93,d22,d26,d19,d84,d40,d24,d79,d61,d59,d83,d41,d10,d23,d57,d16,d31,d85,d11,d73,d77,d71,d29,d74,d32,d38,d86,d80,d9,d35,d54,d43,d45,d4,d63,d2,d56,d37,d12,d65,d53,d15,d72,d81,d58,d78,d68,d47,d96,d60,d99,d21,d70,d48,d82,d36,d20,d6,d44,d14,d91,d46,d97,d75,d49,d67,d17,d51,d90,d55,d50,d98,d92,d33,d52,d64,d95,d30,d8,d5,d39,d87,d62,d88,d66,d13,d89
r55,58,90,15,65,9,45,82,74,24,61,2,37,60,4,28,83,41,98,55,35,21,87,75,93,66,5,57,68,49,64,97,50,67,33,17,81,31,62,25,79,70,92,23,1,51,94,42,56,47,6,77,72,32,44,78,89,86,13,52,8,95,39,48,71,53,38,88,20,18,76,46,22,99,43,73,96,34,12,84,19,80,7,63,54,69,91,30,26,27,16,10,14,11,3,59,0,85,36,29,40
r35,21,19,72,12,52,65,34,8,1,99,0,78,33,17,58,53,68,84,31,49,46,62,96,7,30,20,14,77,90,67,74,70,48,25,97,64,79,57,40,5,80,36,51,39,66,32,59,43,47,15,76,69,16,27,10,37,83,88,56,38,60,50,98,63,29,81,22,9,82,86,44,61,26,28,2,75,92,13,93,42,87,41,11,71,45,23,3,55,18,85,6,54,95,4,94,24,73,89,35,91
r20,70,33,91,19,88,4,26,22,71,86,10,90,42,59,0,58,2,75,25,24,53,65,77,3,49,54,27,18,44,74,55,17,45,81,78,61,41,80,92,48,46,72,84,69,79,73,6,99,89,96,40,67,64,38,51,36,94,87,62,11,8,32,5,14,66,21,68,98,37,9,16,52,56,29,30,60,31,35,34,23,1,20,57,97,93,82,76,39,47,43,95,13,50,83,7,28,63,85,12,15
r60,82,78,27,2,75,3,37,33,25,45,83,58,5,32,42,8,85,71,9,30,46,20,0,99,67,50,52,68,41,28,66,76,77,86,59,96,51,44,70,90,91,34,13,97,60,18,40,87,80,94,36,1,7,61,38,29,63,65,93,11,69,26,54,89,84,35,31,57,43,48,17,15,14,53,12,62,39,47,21,74,79,88,24,6,49,56,81,64,23,4,16,92,95,19,55,22,98,73,10,72
r66,26,70,19,20,83,46,68,21,96,52,5,12,4,28,2,22,89,67,69,86,37,36,95,35,34,58,59,57,25,23,43,3,80,53,99,94,55,84,38,24,54,76,75,42,92,47,11,40,18,56,82,97,13,14,71,65,66,16,7,91,85,79,49,90,51,29,32,8,87,15,77,45,93,88,50,17,33,48,63,30,61,98,10,31,78,39,44,27,74,81,60,9,0,41,62,6,72,64,1,73
r63,84,86,30,15,94,25,31,44,11,66,45,95,18,33,56,46,89,98,20,39,3,34,53,65,68,50,63,61,93,90,54,27,83,55,74,0,72,23,7,87,29,36,2,37,70,60,40,77,24,47,49,38,8,1,58,88,19,48,69,92,41,26,64,67,96,42,4,43,81,82,6,75,28,35,12,79,62,10,9,59,32,5,57,21,71,52,73,17,78,85,99,51,22,14,80,97,16,91,13,76
r27,18,80,63,1,33,87,19,41,85,15,86,28,42,37,54,30,62,29,74,46,99,17,70,9,94,12,55,44,4,6,58,26,0,14,49,79,78,47,13,23,38,71,98,76,5,60,83,52,16,27,25,64,7,72,36,39,34,68,3,48,59,67,24,53,69,56,22,81,91,96,51,61,45,90,2,88,10,57,73,95,92,65,97,66,84,21,75,43,35,89,31,32,8,20,77,93,40,50,11,82
r83,49,76,67,29,39,12,92,17,43,32,59,34,25,62,46,93,26,2,40,74,81,60,89,66,31,37,4,41,95,33,87,45,56,72,83,94,19,7,84,68,30,8,23,64,6,57,97,16,86,82,88,58,69,10,1,9,90,11,36,24,70,65,47,5,79,42,54,3,15,75,13,14,61,27,99,18,52,51,96,73,20,77,91,63,0,80,21,55,98,28,53,22,35,50,85,71,48,44,78,38
r57,51,6,33,50,91,47,55,71,87,62,43,40,72,12,9,10,23,84,86,97,82,37,96,13,69,52,29,30,46,8,15,14,2,78,32,90,35,67,31,7,65,85,1,11,80,58,75,57,89,98,27,70,77,26,4,59,68,60,61,76,34,18,95,21,63,42,28,88,49,83,64,66,92,94,53,38,19,74,20,48,93,16,22,81,0,73,3,41,54,79,5,99,39,44,56,24,17,25,36,45
r25,64,66,26,23,88,32,20,16,91,46,42,73,94,9,55,71,57,41,2,6,99,8,33,92,21,69,37,31,28,4,36,19,70,90,67,0,79,17,62,7,13,65,51,74,84,12,68,93,52,98,48,53,5,14,24,27,83,81,49,29,95,50,63,39,25,59,56,3,54,40,1,60,43,77,87,78,80,15,82,72,86,18,10,34,30,96,76,75,44,89,11,85,22,35,45,58,47,38,97,61
r98,12,82,7,6,96,60,56,97,31,29,22,46,27,11,63,75,16,57,49,88,62,44,83,21,32,92,35,33,64,71,20,18,66,37,5,79,50,81,93,95,8,24,89,10,54,26,40,59,1,80,17,4,25,43,45,14,19,30,15,72,28,42,68,47,84,3,91,86,52,99,48,51,41,78,53,39,36,94,58,98,74,85,0,38,73,34,69,67,13,76,65,55,87,9,23,77,2,61,70,90
r58,3,59,22,38,75,6,23,72,69,84,4,83,46,76,58,37,79,9,10,43,32,62,85,5,25,92,44,35,56,52,40,88,55,24,77,80,50,18,60,87,74,26,49,82,89,70,95,41,86,93,98,36,71,0,31,15,33,65,34,54,13,2,30,17,19,68,7,47,29,11,57,78,91,1,53,96,51,90,8,97,66,99,14,39,28,63,94,42,48,81,16,12,21,61,20,73,64,67,27,45
r81,69,39,0,70,8,67,7,68,78,51,15,26,35,88,47,11,64,81,57,23,97,22,41,42,1,65,44,45,17,94,37,36,38,71,76,92,93,90,40,56,72,84,54,32,74,49,50,53,98,82,13,60,83,4,18,61,66,33,95,48,19,62,46,16,63,5,52,96,34,25,85,3,20,86,77,29,9,73,27,59,91,12,79,80,2,43,55,31,24,21,14,58,30,10,89,75,28,6,87,99
r43,58,50,34,65,14,59,25,39,96,78,32,67,44,0,5,54,81,91,45,98,41,38,18,77,27,84,90,35,22,23,40,43,97,53,74,13,88,75,71,37,70,20,19,17,99,72,26,21,89,83,66,1,69,61,12,68,4,11,28,94,93,95,76,36,85,64,6,49,92,55,60,87,42,29,46,31,80,47,73,79,62,86,16,57,3,24,63,8,56,51,82,30,2,7,9,15,33,52,10,48
r62,42,86,81,64,49,84,28,34,76,71,58,7,38,77,40,41,63,96,80,48,15,24,60,4,83,2,92,56,65,70,31,61,23,17,51,39,59,22,73,95,19,8,79,94,0,67,85,88,20,36,74,1,50,68,44,57,55,11,78,37,82,47,72,53,91,35,87,69,5,3,46,27,32,21,43,13,30,29,54,18,97,66,90,12,33,75,52,9,16,10,14,99,89,6,93,25,62,45,98,26
r76,43,72,27,65,70,86,20,84,92,0,98,31,82,55,48,94,80,19,14,81,41,49,50,64,74,5,97,59,22,21,34,95,42,52,23,29,9,46,53,18,44,25,88,45,15,37,77,90,78,39,38,56,73,7,93,68,99,85,66,87,75,69,47,16,1,36,63,91,24,32,12,62,76,26,67,89,2,57,71,40,13,17,10,58,79,33,11,54,60,30,28,61,4,96,51,3,8,35,6,83
r16,15,9,99,52,67,2,73,69,63,1,22,4,97,93,39,75,40,68,82,12,98,70,89,0,42,46,38,95,86,25,47,90,37,32,50,58,77,49,54,10,45,41,81,87,5,92,31,19,62,30,80,60,76,84,24,61,88,8,94,20,43,21,18,65,64,29,91,7,79,44,28,27,16,6,35,48,83,51,17,57,78,72,55,11,59,33,3,34,56,13,26,96,23,71,74,85,36,53,66,14
r3,89,30,4,95,34,21,22,79,33,19,25,46,48,96,14,60,77,24,11,73,0,72,31,70,88,7,53,17,50,23,64,40,58,36,98,59,39,74,75,69,55,78,92,63,12,94,61,43,45,67,29,84,47,3,56,97,10,2,90,6,26,87,35,91,82,52,44,13,57,41,93,49,8,54,81,42,76,85,1,9,62,99,38,32,65,68,18,71,16,15,20,83,51,86,5,37,28,66,80,27
r65,54,72,76,49,91,57,81,40,18,10,27,55,14,99,17,26,84,63,45,58,74,39,82,59,83,94,73,61,77,75,70,34,9,13,36,65,25,32,6,0,53,16,69,87,21,52,64,92,44,42,48,3,2,8,78,71,88,22,33,56,86,23,68,41,62,46,38,47,1,29,30,66,80,60,20,28,12,11,35,24,95,4,67,15,93,79,51,7,19,85,97,98,37,43,90,96,50,5,31,89
r87,52,6,40,2,86,39,60,78,1,94,58,7,37,27,19,44,17,56,5,51,41,75,67,97,42,61,85,91,21,68,80,33,54,93,84,26,47,14,96,32,25,62,35,30,29,43,18,12,72,98,34,99,38,48,74,88,65,66,23,73,77,45,95,9,82,81,50,15,87,76,13,0,53,59,83,22,69,31,36,89,24,4,20,57,64,49,16,10,8,92,71,11,79,70,46,28,3,63,55,90
r47,10,96,4,5,87,21,38,42,8,48,67,37,70,86,23,63,71,7,1,91,84,94,58,20,72,97,53,22,26,14,95,2,27,30,60,64,73,45,88,50,74,25,41,11,35,75,16,13,15,80,93,55,40,85,28,52,69,54,49,61,17,32,82,12,51,99,43,0,31,81,19,9,47,6,77,66,83,89,29,34,59,36,76,62,39,57,68,46,98,18,90,33,65,44,92,79,24,3,78,56
r92,35,66,70,85,4,89,14,53,61,16,71,45,23,30,10,62,57,50,82,73,64,24,22,41,56,90,42,98,59,54,83,13,31,92,37,40,60,8,68,6,9,86,0,39,5,2,36,17,18,34,72,3,99,95,75,65,49,48,67,43,21,7,29,79,1,38,94,12,44,32,52,78,69,63,74,91,80,76,25,81,88,26,15,46,84,87,27,51,33,93,97,55,96,77,28,19,11,47,20,58
r7,68,1,0,4,54,26,94,23,14,53,21,58,72,76,22,75,90,29,33,5,27,19,41,38,3,15,61,40,70,98,34,91,71,85,28,18,2,65,35,43,6,45,11,69,60,24,12,20,66,56,64,73,57,83,96,51,46,39,55,32,80,9,7,47,44,93,82,25,92,95,30,42,79,74,84,49,67,86,10,52,97,31,13,88,50,87,59,48,36,63,62,78,77,17,8,16,81,99,37,89
r73,92,4,11,66,79,87,42,17,9,77,16,48,58,55,20,1,65,39,25,91,85,93,50,96,61,36,72,94,12,34,43,31,3,60,30,83,99,29,32,62,23,76,22,47,67,64,13,73,2,68,26,80,8,6,38,59,35,53,81,57,98,75,19,54,52,7,63,21,15,33,97,18,89,69,0,78,37,14,41,44,82,28,56,51,27,24,90,5,40,84,10,88,74,71,86,95,45,70,46,49
r72,96,59,31,41,76,56,20,13,61,25,67,83,37,34,99,55,14,28,17,24,30,52,89,82,29,35,53,12,91,43,22,16,86,54,50,46,80,3,84,88,60,45,10,5,26,93,23,90,70,4,51,39,74,2,1,19,9,73,49,21,98,18,78,38,68,81,95,63,0,40,11,36,97,77,62,6,32,87,15,48,66,64,65,47,44,8,33,71,92,85,7,79,69,72,58,27,75,94,42,57
r99,24,44,8,85,2,91,84,10,92,26,39,63,4,82,46,72,87,60,34,47,5,28,52,31,73,75,3,81,62,40,98,21,6,33,9,56,77,42,95,55,18,38,15,41,89,94,7,32,43,65,67,0,45,90,51,49,22,19,54,14,57,58,17,13,11,36,88,59,27,37,30,25,12,76,48,29,35,68,66,80,16,50,86,69,96,23,97,79,53,61,1,78,71,99,20,93,74,83,64,70
r88,87,1,89,75,18,91,47,68,28,43,59,23,24,32,44,82,52,25,40,55,53,5,97,31,3,8,54,56,21,69,73,86,13,74,51,12,37,11,6,90,95,20,94,84,42,35,71,85,9,96,92,10,99,64,81,70,80,33,72,16,49,77,15,36,39,93,19,48,50,14,46,62,7,17,29,22,98,41,57,4,61,38,65,45,34,2,63,58,27,26,0,30,76,78,79,67,60,66,83,88
r34,10,37,86,40,15,62,80,20,91,70,89,63,31,38,44,94,67,99,69,95,78,3,45,9,96,54,41,21,39,84,65,7,32,46,98,27,77,14,13,83,43,71,97,23,24,59,57,29,42,53,93,25,18,8,50,33,88,56,58,60,6,16,2,5,55,48,49,87,4,74,0,26,52,28,35,92,22,90,47,82,85,36,72,61,1,68,17,81,19,30,79,73,66,64,76,34,51,12,11,75
r53,99,71,95,39,61,34,27,57,47,11,44,4,91,7,66,76,18,51,19,1,41,20,84,52,23,74,46,3,0,79,64,90,25,29,94,59,49,16,82,15,26,6,43,85,2,78,65,96,36,35,93,72,87,48,9,81,37,10,8,5,69,13,40,31,28,97,17,86,67,55,32,98,70,73,12,21,75,22,68,80,14,89,60,45,38,50,42,92,54,30,56,77,62,88,58,63,53,24,33,83
r1,38,92,51,4,70,13,90,82,47,46,99,27,45,79,31,6,78,69,44,22,77,14,24,18,39,80,76,49,34,37,59,87,50,89,26,95,66,21,2,88,9,32,41,19,81,15,52,28,36,5,48,29,96,11,25,61,30,84,74,71,8,20,17,60,97,93,35,43,94,23,58,83,72,75,91,3,12,68,7,62,86,73,57,53,10,42,85,0,56,16,98,54,33,55,65,67,63,1,40,64
r50,22,12,82,2,9,15,39,23,43,56,37,44,31,79,73,0,16,18,78,85,89,65,94,40,32,64,97,38,60,48,86,87,90,62,51,4,27,33,7,69,13,34,72,67,95,52,58,88,11,14,55,91,6,71,46,96,35,20,28,19,30,66,41,93,36,98,74,8,83,53,80,59,50,17,75,5,26,63,81,42,61,76,1,92,10,47,49,70,29,24,3,21,77,99,68,57,54,45,25,84
r28,61,2,11,60,89,41,20,15,80,63,24,32,76,26,88,9,67,95,33,47,37,94,49,85,92,17,25,96,58,43,35,97,84,98,56,28,10,69,51,48,52,19,72,40,14,75,86,22,30,70,46,71,65,87,36,44,77,34,0,81,29,45,55,3,21,57,6,91,1,4,99,39,8,5,38,83,93,42,7,18,90,53,79,23,31,68,54,50,82,27,64,74,12,62,78,13,16,73,59,66
r21,68,30,95,49,93,59,37,82,52,44,56,1,66,86,41,92,43,48,40,15,96,13,4,53,73,91,45,31,36,72,70,17,34,65,83,47,81,71,79,2,0,33,10,80,26,27,67,32,14,78,42,51,57,29,90,12,9,84,46,60,21,8,97,54,69,87,85,94,28,99,58,24,62,50,39,5,23,7,88,19,55,63,16,74,20,64,11,3,89,6,77,25,18,76,38,22,75,98,61,35
r96,36,64,90,24,13,63,79,51,69,98,91,8,5,52,92,83,37,31,65,48,77,12,62,95,74,47,6,57,86,81,2,73,66,39,72,67,99,27,97,26,46,9,4,71,25,93,29,38,60,49,15,10,96,45,41,42,35,88,14,68,3,16,17,94,32,18,22,28,11,0,76,23,78,89,75,55,56,30,59,19,50,54,44,82,34,85,33,53,21,43,70,87,61,1,84,7,80,40,58,20
r36,21,1,11,61,76,20,32,54,43,86,56,85,30,53,67,82,19,27,12,35,79,41,94,99,49,44,52,26,28,64,80,9,69,18,31,6,65,46,92,63,16,24,34,40,14,62,73,96,51,75,93,22,81,7,68,47,87,70,2,17,25,4,57,77,97,45,15,48,91,23,83,10,88,98,60,8,59,72,0,74,39,5,38,42,55,71,78,89,36,50,13,66,29,37,84,95,33,90,3,58
r93,49,70,23,74,2,93,79,73,56,60,7,20,40,13,51,9,68,81,8,98,45,64,88,72,37,5,3,46,32,25,95,27,84,43,16,59,17,78,77,26,94,41,69,21,34,83,67,53,12,80,0,65,66,71,85,47,38,35,75,99,33,97,44,82,30,48,92,89,6,58,15,90,54,24,52,36,22,96,19,62,14,76,28,42,29,57,31,91,61,87,11,10,18,86,39,55,4,50,63,1
r45,78,92,90,30,56,64,31,50,29,70,63,22,42,7,21,89,3,59,91,93,53,67,2,68,34,32,37,16,48,40,11,47,52,18,94,96,19,12,14,85,61,69,35,0,79,88,99,82,55,86,46,24,13,1,60,27,17,6,45,28,20,8,80,73,83,74,44,95,98,25,5,77,23,84,36,97,62,71,58,4,57,38,15,72,76,54,41,10,39,9,81,75,43,51,49,65,66,33,26,87
r19,81,36,49,35,3,30,23,2,5,10,76,11,88,57,56,16,93,61,19,4,72,25,62,63,68,59,50,43,37,26,9,65,34,53,92,84,28,40,38,47,78,55,39,83,8,21,32,31,6,89,7,17,91,0,12,77,95,90,97,13,14,33,64,99,67,46,44,74,52,66,60,51,73,86,58,1,22,48,98,45,87,85,18,69,29,20,75,42,15,54,41,80,70,27,96,79,71,24,94,82
r9,10,15,48,95,45,4,58,83,79,49,1,41,96,53,98,21,86,31,94,20,93,54,7,91,22,67,5,24,38,16,27,81,70,73,13,72,74,76,84,75,57,87,71,18,90,89,12,14,26,43,36,82,34,92,44,77,6,97,63,52,17,11,23,61,37,0,64,33,99,69,39,80,59,8,51,28,85,25,19,32,56,68,2,66,78,65,46,30,9,40,35,55,42,50,62,47,88,29,60,3
r38,26,99,74,62,40,58,84,25,98,38,42,41,32,87,19,55,45,78,77,6,20,64,12,63,9,73,4,27,68,71,36,7,83,22,86,33,37,10,46,34,13,67,80,23,43,75,31,18,16,24,60,14,88,76,47,51,95,0,66,57,72,90,29,54,3,79,97,65,1,44,17,28,30,59,61,15,56,91,39,8,21,85,48,49,50,69,52,92,2,81,53,82,96,11,93,35,94,70,5,89
r56,23,96,32,61,81,37,57,90,12,87,41,75,26,72,59,13,11,56,89,20,64,27,70,51,77,21,36,18,6,68,49,30,74,52,91,28,40,55,4,54,19,78,85,17,86,95,97,76,67,7,25,14,24,99,88,1,16,9,62,39,46,3,50,22,93,60,53,29,44,82,35,73,2,48,43,10,31,66,33,84,34,98,58,69,47,65,5,71,83,45,94,15,8,0,92,63,38,80,79,42
r8,45,99,95,22,65,72,83,29,53,75,28,93,16,17,62,92,97,57,58,21,85,56,74,31,39,26,71,68,9,2,77,5,91,30,61,44,11,6,60,55,35,73,12,8,14,18,86,15,78,43,38,87,19,10,42,90,82,24,79,76,69,49,36,67,94,70,1,20,47,34,13,52,0,27,37,48,96,40,4,32,98,66,7,46,3,63,84,51,41,89,80,81,88,59,25,33,54,23,50,64
