,d62,d94,d55,d89,d30,d76,d61,d63,d85,d68,d39,d74,d82,d100,d81,d95,d37,d84,d36,d15,d47,d80,d33,d96,d97,d66,d77,d60,d5,d67,d75,d23,d31,d52,d11,d56,d53,d46,d19,d90,d88,d71,d92,d21,d79,d50,d2,d32,d57,d28,d48,d72,d64,d29,d16,d99,d13,d9,d14,d43,d59,d1,d98,d65,d42,d58,d78,d8,d6,d17,d20,d38,d54,d93,d69,d86,d7,d27,d22,d35,d10,d49,d83,d12,d3,d73,d18,d26,d34,d51,d87,d44,d24,d70,d25,d45,d91,d40,d41,d4
r45,0,36,6,34,57,64,19,66,62,16,11,4,43,53,63,23,8,99,83,29,81,24,58,79,85,59,97,77,74,30,13,50,61,28,93,47,22,78,95,37,73,75,20,94,82,56,48,68,71,54,92,41,88,5,42,9,32,40,60,90,10,46,3,17,26,87,86,91,33,14,49,45,52,89,65,1,39,12,69,2,55,72,27,84,67,7,35,21,18,96,98,51,15,25,44,80,76,31,38,70
r86,59,71,19,7,83,84,43,94,92,22,28,40,37,51,64,89,32,26,79,81,16,91,78,38,9,20,54,45,34,46,29,80,82,44,31,68,55,56,21,52,74,60,14,86,90,1,76,97,42,11,12,61,93,50,66,62,33,96,15,75,18,69,57,47,8,48,95,88,49,58,67,39,99,77,87,3,41,13,4,0,30,5,70,53,25,85,65,6,98,17,63,73,2,72,24,23,35,10,36,27
r49,59,27,61,14,75,52,17,54,67,8,34,6,99,62,87,35,7,71,23,5,46,11,13,98,32,77,18,66,12,63,36,64,24,40,85,96,4,84,93,55,43,42,41,94,78,1,79,0,26,45,50,20,72,86,56,82,51,81,16,65,31,10,73,38,29,80,19,57,70,74,30,22,2,28,68,48,58,33,97,15,3,88,76,25,89,83,21,9,90,95,92,47,39,91,60,49,44,53,37,69
r82,25,57,68,6,34,99,26,54,50,37,73,90,88,2,11,52,82,18,9,15,55,23,86,80,85,79,45,63,56,43,75,36,83,70,66,87,84,22,53,41,74,69,27,33,29,78,21,20,48,76,44,31,62,14,95,1,67,35,49,94,71,89,81,92,77,24,16,7,3,5,59,93,98,96,64,47,38,40,10,30,46,91,32,42,12,58,28,17,19,72,39,13,51,65,0,97,8,4,61,60
r22,4,22,75,16,80,3,70,36,26,73,39,28,40,85,38,55,78,68,37,94,33,81,47,6,25,95,23,98,79,54,24,34,99,5,83,57,60,44,91,17,15,90,62,86,87,46,64,45,49,0,30,72,21,65,71,89,50,84,35,67,88,61,59,14,11,56,76,41,74,48,29,20,77,52,97,58,19,2,8,82,27,13,43,53,69,1,12,32,9,66,31,42,7,93,96,63,92,10,51,18
r36,44,4,9,16,46,27,28,25,71,3,41,89,95,68,78,67,75,33,90,18,99,85,5,26,82,1,70,65,81,38,83,86,93,23,59,17,6,98,56,34,2,74,40,94,29,80,63,37,50,60,48,21,77,69,57,47,11,84,39,32,15,58,76,61,14,43,97,22,12,55,10,79,19,73,92,96,54,36,8,20,53,91,66,7,0,45,42,24,13,72,49,64,62,88,31,87,52,30,35,51
r73,47,37,89,56,35,36,92,74,16,63,48,17,64,1,75,87,99,21,97,85,29,55,88,73,13,62,52,28,70,3,11,50,33,14,78,18,32,53,23,0,91,46,43,19,22,54,79,30,96,76,39,66,58,68,38,80,61,9,81,82,10,65,41,72,2,27,12,25,83,67,4,24,94,26,6,45,51,49,20,84,60,98,57,93,34,15,7,44,71,42,40,31,5,69,90,86,8,59,95,77
r75,53,50,68,31,57,52,21,42,51,82,94,49,19,81,85,61,30,3,77,35,15,7,6,69,89,9,12,20,54,16,23,2,18,36,14,46,17,47,26,66,5,64,29,11,84,37,92,74,34,4,55,40,75,70,65,97,13,59,44,32,90,25,43,60,91,45,96,58,62,86,83,33,24,99,71,22,38,72,48,93,0,76,79,39,87,8,27,41,73,78,56,67,80,63,1,98,28,88,10,95
r88,52,39,92,66,6,4,7,25,97,20,11,83,55,96,17,85,53,29,1,30,75,71,18,38,37,58,19,77,10,23,90,99,12,35,44,31,2,72,21,0,27,34,45,70,69,68,98,8,86,59,46,54,36,47,79,40,51,73,84,74,88,5,65,32,14,43,3,93,60,87,64,95,81,42,82,16,61,57,49,50,28,9,67,33,13,22,62,48,41,78,80,76,91,15,63,89,56,26,24,94
r33,87,89,93,98,42,55,18,9,16,51,6,57,46,77,27,69,96,76,58,7,38,50,43,28,30,92,84,45,37,4,19,33,40,12,25,83,59,26,15,35,53,48,67,54,21,85,64,10,44,90,62,61,99,86,2,88,52,8,71,13,20,81,14,3,0,31,17,23,95,73,97,39,75,32,82,11,78,47,80,63,36,49,72,66,29,74,91,68,24,79,34,22,70,56,65,5,1,94,60,41
r43,89,42,46,70,78,39,85,41,21,33,91,55,81,35,87,66,4,3,5,60,63,86,24,96,97,49,76,25,2,37,52,13,20,50,75,72,8,84,69,59,17,18,15,38,90,11,95,22,53,34,51,28,80,58,79,83,77,10,67,74,6,19,71,29,61,27,40,57,65,12,26,47,88,36,98,7,1,16,44,92,31,68,14,45,43,54,23,99,94,32,56,73,64,30,0,9,93,82,62,48
r40,70,54,69,95,64,28,24,88,51,14,47,72,39,87,21,77,0,63,76,48,29,74,59,15,75,98,86,26,46,55,68,13,31,33,42,5,84,73,1,71,12,8,56,2,79,99,17,32,30,82,57,80,83,61,65,6,20,90,85,37,16,52,41,23,3,91,93,60,44,53,10,36,22,67,34,62,4,18,38,94,89,35,78,97,40,49,92,25,58,50,96,45,7,66,27,11,19,43,81,9
r7,10,40,22,18,9,99,13,43,39,2,25,47,65,93,29,42,98,85,11,7,41,84,78,19,6,82,64,53,92,54,96,59,1,51,76,35,45,60,28,30,48,37,49,27,26,33,77,4,23,44,34,21,17,50,52,71,74,8,94,62,61,14,57,67,89,68,3,81,83,32,72,20,69,80,73,24,66,79,86,58,16,55,75,97,38,63,91,95,5,36,31,56,15,0,12,70,90,46,88,87
r56,48,11,27,95,83,3,38,99,8,36,0,93,28,76,33,17,94,65,13,7,80,43,34,23,60,70,51,26,86,16,73,37,50,52,82,9,91,44,32,92,41,56,90,42,54,24,96,97,5,4,72,49,58,22,2,78,69,84,67,46,79,98,57,66,19,88,1,14,87,6,20,62,12,15,25,71,89,21,75,64,45,53,61,30,59,68,85,10,35,31,47,39,18,63,55,77,74,29,40,81
r63,49,1,59,4,55,19,22,67,47,95,76,74,53,24,21,29,11,9,17,68,5,48,93,7,8,36,56,44,54,0,61,52,73,94,96,88,75,3,78,2,79,38,65,39,35,31,82,43,6,89,87,70,23,64,20,16,69,91,14,80,37,72,66,77,90,81,15,42,32,30,13,85,10,57,40,60,50,26,83,71,98,33,12,34,18,41,45,62,51,27,46,28,63,58,92,84,25,99,86,97
r5,15,39,72,11,6,79,65,48,67,84,25,50,75,81,98,82,96,36,20,5,99,41,9,78,12,21,28,23,64,90,30,40,89,88,60,32,59,66,54,58,83,24,56,2,70,16,61,38,8,17,85,33,55,27,53,52,34,97,13,62,95,1,73,26,77,10,0,31,3,37,42,47,22,43,63,74,35,86,51,45,80,91,49,68,94,71,44,19,18,7,69,76,92,57,93,46,4,14,29,87
r94,19,48,63,72,9,58,42,70,56,15,46,68,81,7,91,88,45,82,59,74,5,43,20,86,10,62,4,39,57,93,53,60,80,35,16,99,6,55,52,22,73,30,84,0,90,38,94,50,26,28,8,25,18,33,65,2,23,14,1,61,78,24,27,12,96,71,40,76,32,69,36,79,92,87,29,98,34,66,21,11,77,89,54,97,37,47,17,49,51,75,95,3,64,41,67,44,85,83,31,13
r59,78,28,61,86,92,19,27,1,43,30,90,34,40,84,12,76,9,88,18,21,56,36,80,47,7,31,74,60,8,97,46,24,4,23,33,72,37,5,79,70,68,14,55,82,10,57,17,50,73,2,58,91,67,48,22,93,16,44,13,6,32,41,0,62,64,51,39,54,29,63,71,11,38,81,20,42,65,52,49,99,77,25,96,83,45,66,59,95,87,53,75,98,89,3,69,35,26,94,15,85
r1,88,24,56,29,58,46,12,14,8,80,39,34,61,86,43,1,48,94,11,65,36,76,42,51,44,89,37,81,40,0,59,92,6,17,75,63,49,9,74,98,38,4,62,84,71,31,57,72,35,96,99,27,15,5,85,28,67,55,41,18,68,16,25,22,33,20,52,10,32,54,70,97,93,91,23,2,13,78,53,79,73,47,50,66,26,87,30,82,3,83,7,64,77,95,45,90,19,21,60,69
r67,15,70,29,85,18,28,92,51,74,49,40,10,38,33,62,91,73,9,12,84,76,34,81,83,93,58,19,47,5,86,42,31,14,36,2,8,32,37,80,64,96,52,75,21,88,1,24,82,78,60,66,50,69,79,48,11,7,6,20,45,56,55,46,71,98,16,99,0,23,97,89,95,27,63,43,22,94,53,35,87,26,4,54,3,13,44,39,25,30,57,65,59,77,61,90,68,17,67,72,41
r100,69,45,90,5,36,67,14,29,59,53,56,39,50,91,18,79,1,60,92,78,54,40,94,35,21,11,82,31,81,2,13,64,74,27,89,0,43,15,84,68,28,34,73,33,46,38,77,72,42,97,98,23,70,61,9,86,12,51,80,88,44,37,76,48,30,4,75,63,71,66,32,49,41,99,25,8,3,47,83,10,87,93,52,6,26,24,7,65,17,85,95,62,58,96,20,22,55,16,57,19
