,r13,r20,r17,r8,r6,r11,r18,r12,r16,r7,r14,r1,r15,r10,r5,r2,r4,r9,r19,r3
d6,14,19,5,7,12,9,6,2,1,16,4,11,18,13,3,8,0,17,10,15
d17,13,19,0,16,3,9,7,12,11,1,14,15,8,18,2,17,10,5,4,6
d8,6,2,17,16,7,0,3,10,18,5,15,8,19,11,13,14,1,9,12,4
d13,6,1,16,18,8,0,7,9,19,5,3,10,15,12,17,4,2,13,14,11
d7,18,5,13,16,19,17,15,4,8,1,12,6,3,11,10,2,0,14,7,9
d5,11,10,14,7,2,0,9,12,13,5,4,19,1,18,16,17,3,8,6,15
d2,14,13,3,10,18,12,6,0,17,8,16,2,7,4,9,5,1,19,15,11
d11,12,4,17,19,0,16,18,2,3,11,1,9,7,15,13,10,8,14,6,5
d20,8,19,11,18,5,1,12,17,9,10,6,13,16,7,14,0,4,2,15,3
d12,17,14,15,19,6,9,2,11,12,18,8,7,3,0,16,5,4,1,13,10
d15,10,16,4,5,19,0,1,2,8,14,3,15,17,11,12,13,9,18,7,6
d10,3,8,17,5,9,4,1,10,12,16,14,11,13,19,15,2,7,6,0,18
d19,11,13,18,1,14,8,6,10,5,19,2,4,17,0,12,9,15,3,16,7
d18,14,3,19,8,5,18,15,4,13,11,16,0,2,6,9,12,1,17,10,7
d14,7,9,4,3,15,12,14,0,19,8,5,11,13,2,1,17,18,10,16,6
d16,8,1,12,3,7,18,16,19,6,9,17,15,10,13,4,0,11,14,2,5
d1,3,7,2,14,15,13,16,12,0,11,8,1,19,5,10,4,17,9,18,6
d4,2,19,4,16,18,10,13,8,14,0,17,3,6,11,5,15,12,9,1,7
d3,15,19,14,12,13,2,0,8,10,4,17,5,6,3,16,7,9,18,11,1
d9,2,8,16,14,10,17,19,7,11,4,13,1,3,15,12,9,5,6,0,18
