,d8,d14,d1,d20,d17,d3,d16,d11,d5,d7,d12,d19,d6,d10,d9,d4,d2,d18,d15,d13
r1,2,14,0,6,3,10,16,9,1,13,12,19,4,17,5,7,15,8,11,18
r15,11,16,0,7,9,10,19,4,12,8,1,15,2,18,13,5,3,6,17,14
r6,12,15,16,2,4,5,0,17,1,6,9,19,18,11,8,13,10,14,7,3
r12,18,7,0,11,4,5,19,3,8,12,15,14,10,13,6,9,17,2,16,1
r19,1,15,3,12,11,5,0,17,9,7,14,19,8,13,18,4,10,2,16,6
r20,10,16,19,12,14,0,15,9,8,7,13,11,6,1,4,18,2,5,3,17
r8,15,13,14,11,1,17,19,8,6,2,0,3,9,16,4,5,12,10,7,18
r13,15,19,13,9,8,7,5,1,11,10,17,2,18,3,12,0,14,16,6,4
r17,7,4,5,17,0,2,16,19,9,11,8,13,12,1,14,15,3,18,10,6
r14,7,12,0,1,10,14,17,5,16,18,15,19,13,4,6,9,3,2,8,11
r18,2,9,7,6,5,10,3,8,1,11,18,4,0,13,19,14,12,15,16,17
r7,6,0,4,10,16,1,11,18,12,2,5,15,7,19,3,17,9,8,13,14
r4,1,7,9,18,17,6,10,19,11,15,2,8,13,5,0,14,12,3,4,16
r9,0,9,8,14,19,10,7,15,3,11,16,4,17,18,12,1,5,13,2,6
r2,11,15,2,14,4,5,19,10,18,3,8,16,13,1,0,6,9,7,12,17
r10,14,0,7,4,6,1,3,10,16,17,2,13,19,5,12,11,18,8,15,9
r5,15,7,0,2,16,13,3,12,1,17,6,14,10,5,11,18,8,19,4,9
r11,15,4,19,17,12,1,3,5,8,9,18,11,13,2,14,6,0,7,16,10
r3,12,15,13,10,17,5,16,2,3,1,4,19,9,0,11,14,6,7,8,18
r16,5,19,17,6,10,0,2,4,16,15,3,8,13,18,11,1,12,14,7,9
