,d36,d67,d70,d5,d19,d10,d54,d4,d52,d26,d81,d8,d21,d89,d46,d43,d55,d31,d100,d47,d22,d78,d44,d96,d98,d2,d16,d92,d94,d45,d51,d15,d88,d74,d41,d42,d48,d7,d18,d83,d87,d79,d68,d12,d34,d6,d25,d61,d63,d59,d82,d39,d17,d30,d24,d28,d90,d91,d56,d3,d38,d64,d20,d40,d76,d35,d95,d77,d50,d49,d27,d32,d29,d13,d9,d84,d23,d86,d93,d65,d11,d80,d1,d37,d73,d71,d69,d57,d62,d33,d85,d14,d99,d58,d75,d60,d97,d72,d66,d53
r45,22,72,75,99,34,10,84,88,6,20,81,50,68,58,93,12,14,70,42,86,56,63,77,9,18,89,74,47,26,1,3,38,67,39,29,44,4,53,55,54,71,46,83,66,98,32,87,25,97,15,90,37,91,11,59,16,21,79,35,36,23,41,13,31,94,45,82,51,60,30,0,48,40,28,27,8,73,17,65,95,69,80,33,5,92,76,52,19,43,7,24,85,64,2,61,57,62,78,49,96
r3,33,52,55,14,83,10,78,99,53,31,19,94,36,59,58,98,22,75,17,5,51,25,37,42,68,13,6,2,86,74,30,60,43,92,64,62,54,67,32,96,89,4,71,0,69,84,79,40,23,80,12,77,41,39,88,38,21,3,16,29,65,1,93,61,28,97,85,66,82,73,57,95,45,70,48,35,72,63,91,76,27,20,11,56,18,7,24,46,44,81,15,87,50,34,26,47,9,90,8,49
r22,22,43,86,80,48,64,50,52,38,56,84,71,13,19,30,88,72,46,28,9,6,34,99,51,53,67,23,60,0,65,59,83,40,89,92,78,33,87,47,45,27,10,20,39,14,57,21,90,1,8,66,12,24,54,4,62,31,25,29,15,2,94,76,11,79,37,75,49,44,42,85,93,35,73,16,18,77,5,61,41,74,7,36,82,81,95,69,91,98,17,26,70,32,96,55,3,63,68,58,97
r79,59,22,39,42,8,6,44,26,71,61,27,4,23,88,35,13,66,87,30,55,2,78,21,52,16,63,31,89,10,28,82,75,17,65,60,84,67,72,9,19,77,25,18,86,33,79,97,3,90,15,1,53,56,81,46,98,20,95,37,48,36,96,64,47,50,34,70,38,11,68,29,43,99,24,14,0,57,92,74,94,49,45,73,58,83,85,32,91,93,76,51,40,12,41,5,69,62,80,54,7
r86,97,90,74,14,86,53,36,59,17,10,9,88,56,73,20,66,11,71,54,46,84,64,32,41,75,42,82,99,2,92,79,31,47,87,38,77,76,62,5,3,16,55,51,65,30,50,19,98,27,23,72,15,78,91,28,96,4,21,35,7,63,24,49,8,40,70,6,95,12,61,89,1,37,81,69,25,83,52,80,29,18,39,93,13,68,43,26,94,45,44,67,48,22,0,58,33,85,57,60,34
r75,0,66,63,27,29,48,30,72,67,19,50,55,43,47,68,31,24,3,96,79,13,49,90,88,74,22,17,64,1,4,52,41,2,54,80,65,33,73,5,12,98,39,40,32,93,59,82,15,85,61,45,58,53,86,83,91,28,34,21,7,70,60,84,95,25,26,51,38,36,94,6,10,89,18,23,87,20,8,11,37,44,78,14,9,99,76,56,71,16,42,77,69,46,62,81,75,57,92,97,35
r14,46,38,32,15,44,59,21,96,0,79,19,71,77,66,91,31,4,99,23,52,41,82,51,88,89,65,43,97,40,29,35,56,70,24,27,16,28,75,67,87,22,68,33,61,84,76,6,45,74,3,78,72,86,85,58,50,5,30,36,69,11,81,13,12,63,2,39,55,95,20,57,83,37,9,73,94,54,10,98,14,7,17,49,42,90,92,18,62,48,34,47,64,1,8,80,93,25,60,53,26
r13,80,34,87,84,68,76,52,51,59,63,5,67,38,57,42,86,29,94,15,19,30,27,92,36,78,24,77,16,61,88,39,7,45,74,48,21,32,69,62,96,18,58,50,75,79,71,46,22,3,4,65,2,17,55,53,33,31,98,13,90,60,56,72,97,44,73,10,43,83,64,1,20,99,8,41,25,23,95,82,9,91,85,54,89,93,26,0,28,47,49,66,11,12,40,35,70,81,37,6,14
r29,56,53,72,0,77,7,60,10,25,17,42,31,46,62,88,32,63,96,8,87,74,33,79,95,22,54,49,75,73,1,20,11,35,39,12,6,65,5,3,97,78,21,51,50,83,2,80,36,28,45,68,70,94,47,13,58,26,64,71,34,41,90,98,14,84,67,30,38,16,55,18,43,69,23,92,66,59,4,37,91,81,19,99,85,82,48,15,89,44,24,57,61,76,9,86,40,52,93,27,29
r48,62,40,96,41,90,88,73,66,80,81,55,87,63,32,1,83,97,43,86,93,85,60,13,26,17,71,44,91,42,22,53,79,16,21,18,75,78,77,51,11,92,6,36,25,35,52,5,59,12,54,20,4,28,31,46,38,57,68,27,82,0,99,15,98,33,65,94,14,23,76,30,69,58,89,24,8,19,70,47,74,2,84,67,29,45,48,61,39,10,56,72,7,34,95,9,50,49,3,64,37
r37,25,80,21,47,10,43,32,76,4,12,19,89,71,96,37,53,54,9,38,86,2,45,65,13,7,18,94,31,74,46,56,11,58,34,68,82,23,35,3,39,79,5,81,99,29,69,91,70,20,88,6,26,55,52,87,95,72,78,49,17,48,73,84,50,98,42,97,90,92,0,61,83,57,67,33,8,40,41,63,75,59,16,60,15,1,36,24,62,85,22,27,66,93,28,51,77,44,30,14,64
r61,94,27,46,36,54,75,29,78,84,22,92,9,93,21,25,11,59,1,43,10,6,99,34,52,74,47,3,30,17,91,81,56,12,71,5,80,15,41,32,31,76,26,73,60,87,57,55,13,68,8,72,95,96,0,40,70,28,77,63,85,14,64,88,45,19,61,67,69,48,82,24,58,97,33,39,44,89,37,79,16,42,49,35,23,66,98,62,2,65,86,83,20,53,18,51,4,38,90,50,7
r25,46,71,70,6,43,7,67,9,84,95,34,5,65,77,3,37,90,36,68,40,57,23,45,49,19,75,83,35,0,92,93,10,26,59,79,2,64,14,42,66,69,20,96,4,29,56,48,39,32,27,13,25,22,86,89,33,44,58,54,82,53,16,41,94,76,31,63,61,18,30,87,21,52,28,24,73,55,8,97,50,62,80,15,47,88,78,11,85,51,81,91,1,72,12,99,17,74,98,60,38
r49,1,55,68,21,35,57,24,36,66,90,18,40,91,98,15,25,13,75,56,73,96,87,46,77,79,7,58,27,9,48,10,23,14,97,17,53,83,29,41,12,81,71,50,34,88,33,42,6,16,72,95,76,5,62,54,44,51,86,65,43,89,70,61,0,3,37,63,84,82,74,30,32,67,19,93,49,80,85,99,45,4,92,69,8,47,39,78,94,60,2,28,38,59,11,20,26,31,64,52,22
r74,97,69,25,44,68,10,50,90,16,18,38,32,94,99,84,15,1,54,53,76,17,98,74,26,20,41,91,82,55,65,64,72,77,62,27,23,43,8,89,39,19,24,47,83,30,71,0,66,95,78,87,40,70,21,36,73,14,28,81,85,33,63,92,29,6,11,49,5,59,31,4,80,79,93,52,56,57,96,75,46,67,48,51,45,86,2,22,35,61,37,58,13,9,60,12,34,7,42,88,3
r85,80,82,1,78,44,9,88,36,14,18,94,67,71,24,57,79,8,72,64,63,0,19,7,96,35,87,46,56,97,43,75,70,65,42,4,37,25,84,31,93,90,95,27,13,52,12,81,54,51,20,22,66,32,15,23,45,55,28,83,49,92,58,61,11,59,30,50,68,77,16,39,17,2,53,98,40,6,60,26,47,41,48,29,76,99,91,73,33,38,69,21,86,34,89,74,5,10,62,3,85
r76,74,70,48,27,86,45,93,24,28,92,19,34,79,43,9,7,65,5,57,71,50,75,73,16,76,64,47,2,26,53,21,0,38,6,8,37,46,97,98,88,14,78,12,22,72,82,89,80,40,23,42,90,95,18,13,35,39,55,77,33,62,25,1,87,29,67,54,66,32,58,20,15,3,41,96,83,31,85,91,11,49,10,63,61,51,30,56,17,44,36,69,68,60,81,4,94,84,59,99,52
r4,60,92,65,5,87,88,40,51,77,30,42,86,66,4,53,17,59,57,7,13,80,67,16,97,3,24,25,10,91,99,43,15,2,11,39,28,14,48,94,46,98,50,36,35,62,9,6,52,37,38,8,22,95,1,33,75,76,54,44,20,78,82,83,19,96,0,34,47,56,63,29,84,81,73,61,85,41,71,49,12,58,32,23,69,18,70,68,89,72,26,79,90,31,74,55,21,27,45,64,93
r27,21,26,25,16,27,3,50,43,62,33,79,87,19,81,28,18,47,2,71,38,35,63,36,82,86,83,31,68,51,76,9,41,54,23,96,60,5,73,1,10,30,52,89,75,8,59,17,34,22,80,24,95,72,13,97,53,55,93,15,37,90,49,64,69,74,32,88,58,91,11,98,70,46,92,42,56,57,65,84,12,4,44,29,45,78,67,0,61,40,39,85,7,6,94,66,77,99,48,14,20
