,r1,r12,r15,r3,r16,r20,r7,r2,r19,r10,r9,r5,r4,r8,r18,r17,r13,r6,r14,r11
d1,6,11,13,16,15,7,2,19,9,14,8,5,0,4,18,3,1,12,10,17
d14,17,12,4,5,16,0,6,11,9,18,1,10,7,13,2,14,3,19,15,8
d11,1,5,10,2,7,6,16,3,9,0,14,11,4,18,12,13,15,8,17,19
d7,3,19,18,2,12,7,5,0,4,1,17,8,6,10,14,16,9,11,13,15
d19,9,19,6,13,1,10,5,2,15,18,11,0,4,8,17,7,16,12,3,14
d16,2,16,14,17,5,18,10,3,8,11,12,9,4,19,1,13,6,15,0,7
d18,8,17,10,2,16,0,12,3,4,14,9,1,6,11,5,13,18,15,7,19
d15,17,4,3,7,8,14,9,18,0,5,6,10,12,2,19,15,1,13,16,11
d8,16,14,7,2,15,8,19,3,9,10,5,12,11,4,1,6,13,17,0,18
d13,4,9,14,3,2,7,16,17,18,19,10,8,1,0,13,6,11,12,5,15
d20,3,6,19,8,2,16,0,17,5,14,9,13,15,11,10,4,1,12,7,18
d17,10,5,11,13,15,1,8,3,2,9,7,4,6,14,12,19,16,18,0,17
d6,16,5,1,19,14,6,7,15,9,3,10,0,4,12,13,17,2,18,8,11
d5,8,2,5,9,12,18,10,7,17,6,13,14,19,4,1,3,11,15,0,16
d10,5,13,6,10,19,16,9,3,14,8,12,11,7,18,2,15,17,0,4,1
d3,7,19,5,9,8,10,16,15,17,4,14,2,0,11,12,6,13,1,18,3
d2,5,3,1,15,2,13,0,12,16,6,10,18,4,8,14,19,17,9,11,7
d4,1,8,18,0,12,19,15,10,4,16,2,9,13,3,6,14,17,5,7,11
d9,8,5,1,7,15,2,19,18,10,0,11,14,13,6,16,17,9,4,12,3
d12,3,0,14,15,9,13,7,10,18,8,12,5,11,19,4,2,6,17,16,1
