,d2,d5,d4,d61,d90,d1,d39,d60,d14,d11,d62,d31,d68,d71,d13,d95,d24,d67,d42,d30,d12,d23,d84,d29,d16,d96,d70,d53,d72,d27,d52,d86,d38,d46,d37,d10,d91,d6,d56,d9,d76,d51,d63,d54,d50,d58,d73,d21,d93,d47,d85,d81,d89,d80,d15,d74,d26,d28,d48,d19,d43,d36,d34,d22,d59,d65,d92,d78,d18,d97,d75,d98,d66,d79,d35,d7,d25,d41,d64,d17,d88,d55,d33,d82,d99,d94,d100,d77,d8,d49,d40,d44,d32,d20,d87,d45,d69,d83,d57,d3
r58,33,6,82,19,21,48,44,46,38,42,80,73,37,16,65,62,92,91,85,30,83,1,7,78,58,79,90,32,72,66,31,84,97,36,34,13,26,22,95,3,67,39,11,50,20,14,68,93,86,28,29,70,52,75,10,64,54,60,24,89,41,53,35,18,99,55,8,94,40,56,76,51,43,2,25,74,0,59,4,23,57,69,63,87,17,98,5,45,9,15,81,12,47,77,88,27,49,71,61,96
r4,46,57,47,16,22,17,89,80,93,6,25,37,10,53,11,30,85,95,61,69,18,44,91,39,62,98,28,96,83,88,27,90,99,86,2,66,67,78,65,82,84,49,35,63,43,74,32,0,24,36,19,33,9,73,23,21,38,42,56,26,7,40,92,72,1,54,68,87,76,50,79,34,75,60,52,29,51,71,64,70,41,3,48,97,45,14,15,12,20,77,55,94,8,59,5,58,81,4,13,31
r45,74,24,41,1,73,17,32,5,27,10,33,28,88,93,85,89,38,79,59,62,46,19,13,31,56,52,71,44,86,0,70,83,76,87,15,80,92,34,16,90,20,42,53,7,43,64,95,54,9,61,4,78,98,58,35,66,12,77,57,36,3,99,11,29,8,25,84,48,51,40,22,63,94,6,2,75,82,37,69,14,67,91,47,45,65,26,39,97,21,30,50,81,18,72,55,49,68,23,96,60
r70,19,10,12,83,41,91,55,70,88,59,77,79,7,99,46,56,64,92,60,24,40,11,0,32,21,26,69,71,13,47,25,54,4,38,3,28,23,97,61,82,39,17,53,95,18,43,51,15,72,16,2,90,37,84,62,9,93,1,36,58,73,48,42,44,89,98,75,81,80,94,27,33,74,66,29,5,76,49,34,30,22,78,14,86,63,65,87,85,6,96,68,35,57,31,52,8,45,20,50,67
r85,58,11,91,70,89,7,72,46,5,38,80,29,59,39,15,53,98,31,54,34,18,4,77,16,94,24,47,51,78,2,40,14,64,25,69,17,96,48,56,88,41,71,87,60,30,23,22,19,67,0,52,95,85,28,3,57,9,90,45,76,79,97,74,82,21,44,65,99,37,68,43,92,81,49,63,10,62,8,12,6,1,32,61,73,86,33,13,42,36,35,26,55,83,93,27,50,75,84,66,20
r15,49,45,14,76,73,36,21,24,84,13,15,82,59,35,32,55,97,41,43,77,54,11,42,87,95,80,33,93,83,5,86,48,47,67,79,65,57,12,38,60,72,17,26,56,25,94,51,37,50,3,9,31,22,4,40,75,23,78,53,16,62,66,85,39,71,52,2,6,90,91,74,27,8,88,98,70,44,20,58,61,1,96,28,29,34,81,19,18,69,89,46,10,0,7,68,99,92,30,63,64
r11,44,88,75,61,80,84,78,19,4,40,3,2,6,91,47,5,31,46,95,42,34,49,63,7,0,26,68,62,66,98,39,93,41,67,65,52,70,74,71,16,9,64,92,30,36,51,69,24,43,25,94,79,82,59,50,54,14,15,13,45,87,20,29,76,28,90,53,8,37,72,18,57,11,21,32,27,86,56,85,22,23,83,99,55,48,17,97,60,10,77,89,81,12,35,38,96,33,58,1,73
r90,5,36,54,40,72,57,71,85,61,37,95,69,19,16,15,73,70,45,83,13,24,46,92,23,9,68,20,28,66,51,74,55,39,96,50,86,41,17,29,76,81,31,34,82,59,33,44,8,62,93,0,88,67,89,22,53,63,42,90,18,38,30,65,49,94,78,32,35,25,77,98,3,60,99,79,7,2,14,80,26,84,10,58,12,87,52,75,4,97,48,1,21,91,43,56,11,47,64,27,6
r54,48,46,2,93,40,95,72,22,19,53,35,13,80,14,75,57,9,29,60,77,66,88,56,16,12,34,52,63,38,61,17,64,68,1,42,70,41,21,32,27,31,30,79,69,98,90,49,47,91,86,81,99,6,92,94,55,10,84,45,44,50,51,37,18,76,28,23,3,71,39,59,89,33,25,20,78,96,58,24,15,82,97,83,74,8,65,11,36,73,4,67,43,26,7,87,54,85,5,0,62
r16,38,26,72,94,39,3,52,76,68,62,30,46,16,31,49,93,19,88,24,6,83,79,37,9,48,40,5,91,90,29,92,74,14,95,53,41,18,51,42,61,50,22,67,58,25,43,21,20,32,4,54,56,71,10,1,35,2,44,69,85,7,55,89,59,75,8,80,64,47,66,57,0,33,65,70,77,87,98,84,13,86,15,99,60,45,73,96,81,63,27,17,97,12,28,23,78,34,36,82,11
r17,47,35,39,38,42,74,4,77,54,53,32,96,19,94,29,18,82,55,56,69,84,22,62,24,50,17,87,36,83,61,34,76,78,60,91,7,51,72,14,6,90,31,28,58,89,93,20,52,45,30,66,25,37,65,99,68,46,71,70,44,13,80,26,79,27,21,16,95,97,5,1,98,86,48,75,67,73,10,49,63,12,9,2,15,85,57,43,88,81,0,64,59,23,40,3,41,33,8,92,11
r75,96,35,34,74,20,33,82,45,5,47,70,6,54,18,38,13,29,67,8,58,99,63,49,36,4,55,69,68,23,86,92,61,22,66,56,11,37,53,12,83,10,16,97,60,32,17,48,19,30,71,28,93,57,89,78,77,27,62,64,85,43,2,40,31,50,42,84,52,46,72,1,88,90,75,21,80,51,76,14,39,25,0,94,81,24,9,26,98,59,65,7,44,95,91,73,41,79,3,87,15
r7,53,43,23,89,81,8,87,62,44,48,80,13,19,86,20,11,15,75,76,38,85,91,99,61,41,18,63,78,51,98,64,21,3,26,72,16,25,59,5,36,24,77,0,71,50,94,14,69,47,57,4,96,73,22,29,10,97,88,34,83,31,74,32,84,1,66,52,70,42,27,2,92,65,54,17,46,60,49,79,12,82,56,9,40,55,93,35,67,58,90,95,6,37,33,7,30,28,39,45,68
r63,32,63,90,66,67,95,16,64,79,10,37,20,41,76,98,47,96,51,56,91,24,17,21,45,61,18,86,59,6,26,28,40,94,22,4,33,14,38,73,82,48,69,23,29,54,25,30,50,46,57,8,58,87,44,11,7,97,93,35,85,34,27,71,80,49,42,1,89,83,43,31,88,15,60,81,75,9,53,36,62,39,2,78,74,13,0,84,68,92,72,12,77,99,5,3,70,65,19,55,52
r96,51,86,18,19,84,26,73,71,7,53,11,9,32,61,78,63,90,29,87,76,6,39,1,0,94,59,93,77,30,22,58,65,13,43,52,14,24,92,34,47,4,17,38,67,8,79,88,60,10,44,62,25,15,98,37,2,54,23,20,89,41,95,80,42,83,27,75,28,36,99,49,68,97,35,12,57,46,96,74,64,40,21,85,50,33,55,31,66,5,82,70,91,56,69,45,3,72,48,16,81
