,r22,r36,r88,r97,r83,r15,r42,r96,r49,r68,r47,r26,r99,r82,r18,r7,r20,r86,r67,r1,r59,r56,r4,r93,r21,r32,r41,r78,r12,r3,r92,r87,r91,r25,r11,r44,r46,r69,r100,r62,r29,r8,r58,r84,r34,r50,r75,r79,r71,r27,r53,r24,r19,r10,r37,r30,r35,r65,r81,r33,r63,r45,r66,r57,r76,r73,r17,r28,r54,r89,r14,r77,r98,r2,r70,r38,r31,r90,r51,r61,r23,r9,r16,r55,r64,r52,r80,r60,r5,r85,r39,r43,r94,r74,r95,r72,r48,r40,r13,r6
d59,3,92,31,6,90,27,17,70,60,8,67,39,37,49,0,18,68,19,2,34,85,71,98,72,87,53,50,30,21,62,89,69,43,57,48,1,61,14,25,83,93,78,95,66,45,52,55,77,91,65,88,20,24,82,15,80,75,28,97,76,74,47,23,10,59,5,63,22,46,44,38,35,36,51,11,99,96,4,58,13,42,29,54,84,12,94,86,81,56,33,64,40,79,41,7,73,32,16,9,26
d7,79,61,35,34,88,80,74,81,24,45,83,92,23,87,75,5,42,68,53,89,14,43,99,30,6,46,29,72,25,90,70,55,66,96,94,41,12,21,16,93,27,73,63,26,17,59,60,95,98,51,38,57,86,22,97,77,2,4,28,65,20,9,1,31,56,71,85,39,8,37,15,54,48,50,19,64,82,58,67,0,62,47,44,33,40,52,18,13,32,3,49,11,76,84,36,10,78,69,91,7
d5,47,96,49,89,58,15,46,82,45,74,7,0,68,31,29,50,4,95,3,66,23,63,72,56,17,11,25,6,85,65,97,30,26,69,5,61,76,83,55,8,16,20,24,51,73,12,87,32,19,33,75,2,37,38,21,10,88,59,44,27,84,98,35,86,52,22,39,9,80,14,79,67,93,1,90,60,62,99,53,48,36,42,13,28,57,77,54,91,71,40,94,43,64,78,81,34,41,18,92,70
d77,17,91,68,32,25,28,18,54,51,94,22,13,14,44,70,21,45,73,33,60,53,55,50,66,62,39,81,23,15,98,82,84,79,26,38,48,7,1,57,83,65,37,95,42,52,64,47,86,85,92,8,80,71,16,56,41,29,97,46,3,9,99,30,24,67,31,49,58,6,90,20,4,19,27,78,59,36,11,75,5,40,96,35,74,12,2,61,43,34,77,0,93,87,88,89,76,69,63,72,10
d14,24,82,97,76,47,37,31,26,56,11,16,4,90,58,48,53,33,88,42,98,62,92,87,1,29,70,10,35,75,68,41,89,21,80,12,72,38,50,99,51,45,73,52,15,96,13,49,27,6,17,28,83,60,36,91,5,8,14,93,74,95,67,3,55,43,20,54,34,69,81,30,77,71,61,59,39,65,22,18,25,85,9,23,7,44,19,79,78,57,0,46,86,94,64,63,66,2,32,84,40
d80,75,52,73,13,23,45,42,48,5,97,66,7,63,93,0,78,95,61,72,51,36,90,77,83,89,38,57,96,21,85,8,18,27,46,49,4,12,22,39,17,98,59,81,32,54,88,84,31,70,53,11,50,71,76,3,9,56,92,30,69,24,55,65,20,67,35,80,82,2,87,14,28,74,68,58,43,60,33,47,26,44,79,94,10,86,19,6,25,64,41,1,16,29,15,62,99,40,34,37,91
d85,67,50,8,7,95,11,45,46,26,10,18,51,0,99,73,74,49,91,60,56,92,17,36,44,28,77,63,65,62,47,27,69,88,98,19,79,61,57,2,48,15,53,37,90,32,38,13,12,3,14,80,20,31,64,82,81,70,68,72,86,66,29,21,22,40,97,78,25,34,84,43,4,96,35,52,24,41,87,94,54,75,9,55,30,71,6,23,58,42,85,16,5,89,39,33,83,59,93,1,76
d23,26,22,90,7,40,49,67,53,85,18,48,55,28,64,38,4,21,0,88,35,11,96,65,68,84,23,16,86,99,8,63,54,78,76,92,39,97,70,61,44,50,94,43,9,71,51,56,80,30,66,47,27,45,10,25,42,89,3,5,77,60,75,72,33,73,87,91,95,20,46,83,6,79,74,31,32,13,36,19,37,59,17,34,69,1,98,29,41,58,14,12,52,2,15,93,24,82,57,81,62
d18,31,94,62,68,84,87,28,92,98,33,56,42,93,64,50,65,35,73,2,67,30,44,76,43,17,83,71,36,40,14,63,37,1,61,74,95,80,19,96,82,54,79,91,45,72,60,66,78,12,81,51,55,77,8,32,41,4,16,29,11,59,70,27,52,24,47,5,86,85,22,38,15,90,89,39,99,75,6,97,46,25,23,20,88,9,18,58,69,13,7,0,3,21,49,26,48,34,57,53,10
d75,74,63,53,40,56,84,21,7,25,55,82,91,64,18,66,47,6,96,48,33,93,39,51,16,57,72,95,83,13,79,14,28,62,49,31,77,34,70,90,24,35,29,80,2,44,17,73,75,41,42,88,60,81,59,86,71,4,0,52,98,68,76,27,94,3,30,15,20,1,69,87,58,9,37,89,46,10,22,61,23,92,32,36,8,11,5,12,54,99,38,78,97,26,43,67,50,85,45,19,65
