,d45,d68,d18,d89,d84,d37,d54,d75,d19,d100,d42,d90,d43,d34,d51,d2,d28,d12,d25,d92,d31,d11,d24,d63,d39,d7,d91,d94,d53,d9,d16,d87,d38,d66,d1,d5,d82,d72,d3,d81,d33,d14,d4,d6,d98,d79,d49,d55,d61,d95,d26,d88,d69,d78,d96,d99,d80,d22,d62,d57,d21,d67,d36,d32,d70,d52,d73,d85,d8,d27,d15,d46,d30,d58,d40,d20,d76,d64,d59,d47,d65,d60,d71,d83,d50,d10,d17,d97,d35,d29,d86,d44,d56,d41,d74,d13,d77,d23,d93,d48
r34,50,4,83,77,3,34,75,44,86,71,23,15,41,70,27,91,52,56,85,37,79,54,99,24,31,1,63,84,97,25,29,89,65,8,88,26,68,53,22,87,20,46,18,33,28,73,12,21,81,82,62,55,69,49,57,43,51,2,35,7,32,39,47,66,30,78,14,40,60,11,5,16,48,95,36,90,61,74,42,93,13,10,76,96,94,59,64,80,38,6,0,19,67,98,92,9,45,72,17,58
r53,68,35,89,81,84,15,87,25,41,76,85,32,20,74,21,99,78,60,80,65,24,56,90,37,38,51,13,48,43,2,75,8,91,59,23,34,7,50,42,94,72,70,57,58,17,95,82,52,96,30,62,39,77,83,49,53,14,16,61,22,46,45,92,71,6,86,10,18,73,54,97,36,28,29,0,3,26,1,4,19,40,11,98,27,47,64,66,55,69,12,67,33,9,93,5,63,88,31,79,44
r42,5,20,66,38,95,13,89,27,81,14,37,83,31,51,56,6,3,54,58,84,30,55,86,24,67,72,50,46,15,53,28,82,1,71,18,49,85,32,70,47,98,36,91,21,48,59,76,77,8,40,39,19,10,35,45,29,57,62,0,65,42,9,61,78,23,68,4,73,96,60,43,64,17,52,63,92,88,74,12,22,44,99,16,75,25,90,41,2,97,69,26,87,94,34,7,11,33,80,79,93
r95,37,55,78,20,22,0,82,76,71,77,61,2,48,51,14,11,1,26,63,75,21,56,95,88,99,40,41,18,49,42,30,4,5,38,34,66,8,79,67,9,12,35,91,97,44,28,90,13,33,3,25,52,29,17,73,36,47,16,72,64,6,19,39,84,80,98,24,69,15,74,57,31,85,59,45,43,54,46,87,94,7,68,96,92,10,58,23,89,70,50,32,27,86,65,81,60,53,83,62,93
r30,22,8,75,13,30,6,82,33,24,38,45,76,26,98,93,77,96,50,44,58,90,97,16,56,28,66,57,19,52,84,73,61,95,43,23,92,3,99,78,37,17,31,91,25,1,63,89,64,65,11,49,20,5,70,72,47,36,67,46,40,69,4,0,88,60,32,34,48,53,74,80,2,79,29,27,81,12,55,54,94,21,35,85,15,62,71,7,59,86,68,41,51,9,10,14,42,83,87,18,39
r20,70,64,20,82,79,39,37,46,36,13,95,65,85,29,97,40,74,98,10,69,73,76,75,43,9,6,42,7,32,60,15,62,90,50,80,18,41,19,28,26,33,63,23,44,58,47,57,12,54,92,2,14,56,83,87,4,3,25,94,11,68,22,81,99,71,96,52,0,67,38,48,27,30,21,1,49,34,72,17,86,91,24,77,59,16,35,61,78,51,45,84,89,93,53,88,55,66,8,31,5
r10,9,2,85,64,38,90,94,10,36,42,84,86,47,33,59,74,13,83,92,89,49,14,77,44,58,25,41,78,93,88,43,16,51,80,75,81,7,27,67,45,72,34,31,23,30,48,66,68,18,63,1,82,8,17,37,76,73,35,20,57,11,39,65,40,24,71,95,19,0,79,97,29,4,15,54,6,26,50,53,98,32,61,22,87,91,99,62,3,46,60,28,5,52,55,56,12,69,70,21,96
r68,43,59,79,68,87,19,93,62,83,72,64,71,74,42,80,56,31,0,48,47,73,69,84,54,32,24,44,82,45,41,51,89,14,76,36,20,70,98,37,67,81,85,96,17,15,78,57,60,16,39,77,55,27,46,12,58,4,23,97,35,86,38,34,53,61,94,33,66,11,26,10,63,49,75,90,9,52,88,2,65,21,25,5,29,30,8,92,18,6,7,28,1,22,95,40,13,50,91,99,3
r64,5,50,84,68,0,79,26,27,29,67,7,92,11,17,95,15,2,3,69,10,99,82,43,86,19,77,8,47,89,4,14,75,61,64,35,57,6,78,22,42,40,94,32,97,18,63,56,1,53,96,81,16,93,72,37,88,44,60,70,80,34,39,66,24,52,91,30,59,49,54,13,45,38,25,71,21,20,62,41,46,12,9,76,65,55,36,90,28,48,85,23,83,73,31,74,98,33,51,58,87
r43,97,79,85,43,74,76,12,31,15,22,47,83,80,64,71,78,56,69,62,7,65,24,67,88,18,60,34,91,20,40,5,61,4,41,72,55,10,73,25,16,52,84,50,6,19,39,29,53,96,17,11,36,45,90,86,49,87,13,82,93,1,21,92,42,2,68,95,51,44,35,26,37,30,63,89,99,46,70,81,75,59,38,3,9,54,14,98,27,66,33,77,58,28,8,0,23,48,32,94,57
r77,39,77,0,14,60,90,69,67,26,50,17,44,9,21,7,30,45,88,82,58,31,41,32,96,91,40,92,87,76,81,6,12,43,64,71,10,22,2,18,20,55,63,11,94,8,93,23,62,28,29,4,68,36,53,86,42,56,95,16,54,15,3,46,35,38,33,25,98,61,27,65,5,52,1,73,66,13,99,49,59,48,34,37,51,89,19,97,24,79,72,47,75,80,78,70,84,57,74,85,83
r38,9,63,78,75,2,81,93,24,39,86,72,43,59,34,21,35,26,74,25,83,96,13,69,77,36,20,89,29,44,88,49,17,37,12,38,5,84,10,90,98,6,66,40,80,57,14,4,32,11,3,76,70,58,56,64,61,16,41,23,95,27,71,18,82,1,46,79,31,42,52,50,91,60,7,48,47,54,67,33,99,85,28,22,92,73,97,30,51,55,0,87,15,45,8,94,68,53,65,19,62
r21,9,69,14,67,24,16,76,71,37,90,56,98,62,83,34,31,44,84,48,54,0,13,49,33,66,41,28,46,50,10,17,86,45,68,95,52,21,39,20,91,99,74,6,35,88,26,59,75,80,81,42,89,15,57,78,29,12,72,32,96,11,97,64,18,79,25,85,4,7,58,63,53,3,22,94,77,5,8,47,23,36,61,19,30,60,43,87,70,65,55,92,51,40,93,2,1,27,38,73,82
