,r100,r52,r42,r32,r76,r88,r40,r60,r74,r8,r78,r71,r69,r39,r68,r31,r94,r5,r51,r70,r35,r63,r55,r14,r57,r36,r27,r61,r17,r82,r83,r96,r95,r9,r43,r37,r77,r98,r92,r41,r6,r80,r73,r72,r87,r13,r75,r19,r4,r2,r65,r53,r26,r58,r64,r59,r54,r47,r15,r93,r45,r46,r86,r67,r62,r16,r81,r99,r85,r90,r84,r10,r23,r28,r49,r91,r30,r25,r48,r38,r12,r3,r18,r66,r22,r33,r7,r20,r21,r29,r97,r34,r24,r50,r44,r79,r89,r56,r11,r1
d21,77,65,42,25,19,15,47,70,33,32,50,74,21,27,14,53,20,52,73,13,78,46,23,83,38,31,24,90,28,82,97,5,3,67,63,87,37,59,26,86,98,39,1,22,16,10,61,12,4,62,55,93,75,71,69,40,85,96,91,84,17,88,76,49,11,7,94,34,41,57,54,58,6,48,95,43,66,89,29,36,60,72,45,56,68,81,0,51,99,35,64,18,2,80,44,30,92,79,9,8
d4,66,45,4,72,46,5,53,14,70,56,36,82,75,65,79,43,52,42,19,31,6,91,73,27,86,17,88,84,49,69,8,77,89,59,62,80,76,25,7,10,28,48,13,50,26,0,87,78,97,38,96,22,90,67,44,61,9,33,54,32,85,83,24,37,41,23,18,81,2,74,94,11,15,60,3,93,30,21,63,99,47,51,39,12,92,64,95,35,57,68,40,58,16,55,34,29,1,71,20,98
d100,70,4,65,55,48,69,12,94,57,76,79,86,71,17,88,40,31,3,0,60,77,7,24,85,16,33,53,66,27,18,97,6,96,46,39,59,10,25,62,37,11,80,13,21,29,93,1,45,49,84,50,15,20,38,5,63,67,34,19,28,58,32,23,54,8,81,89,2,56,22,41,43,98,83,90,91,42,52,74,9,82,44,73,47,30,99,61,68,36,78,64,35,75,92,14,72,87,51,95,26
d35,13,69,42,92,66,49,73,60,53,2,1,95,11,65,12,82,15,34,39,76,52,61,97,86,64,48,24,47,81,79,70,91,35,8,78,19,46,71,7,6,56,3,18,36,87,68,30,5,28,27,80,50,55,17,96,57,67,40,10,88,22,90,72,93,59,32,25,9,75,14,83,33,20,58,38,16,26,29,37,94,77,54,31,44,21,4,0,84,85,45,41,63,51,89,23,98,62,74,43,99
d38,98,73,48,85,77,17,69,78,74,1,51,43,64,99,47,57,18,37,89,90,4,56,50,61,79,92,11,76,2,91,30,75,19,87,34,20,95,26,32,59,12,27,6,83,86,97,49,9,15,44,28,33,62,46,96,52,35,16,53,68,84,25,42,72,8,22,65,55,21,23,70,45,82,63,88,71,66,38,58,24,14,60,80,31,81,39,29,54,94,40,36,13,0,7,93,41,3,67,10,5
d8,92,70,22,50,77,78,62,47,15,84,52,40,88,5,68,25,67,83,57,65,19,44,58,1,87,51,63,69,72,66,55,30,18,61,79,10,35,3,37,23,9,90,64,56,2,91,14,13,16,81,93,38,45,60,76,48,7,74,21,34,49,73,11,96,97,86,17,36,27,20,89,98,46,31,32,29,24,80,75,28,95,42,33,82,39,12,85,8,94,26,53,43,99,71,54,41,6,0,4,59
d76,77,33,6,74,14,12,86,21,81,11,65,47,85,90,93,89,50,32,75,49,24,8,34,53,94,40,22,0,83,57,66,95,71,16,3,59,60,58,88,29,28,96,31,15,4,51,20,36,37,67,46,72,82,39,2,13,73,54,19,42,23,35,87,64,9,76,26,91,25,56,1,44,17,68,70,27,61,84,5,98,55,99,43,41,7,97,79,92,18,10,78,69,62,38,30,63,52,45,80,48
d26,10,85,18,1,91,16,71,56,50,43,20,64,6,21,61,14,60,13,30,62,77,87,66,31,53,70,8,63,5,92,39,29,23,59,55,65,25,15,94,72,89,73,12,52,28,0,42,26,84,79,78,69,83,44,80,99,98,7,32,88,86,17,27,93,75,22,45,11,36,47,57,90,40,49,4,95,3,96,41,38,58,68,19,24,76,82,35,9,33,37,34,54,67,81,74,97,51,46,48,2
d7,24,98,32,63,2,90,12,1,46,21,44,49,93,82,75,59,50,42,52,74,87,27,29,38,58,70,10,18,48,69,19,11,5,54,4,73,45,67,77,92,43,37,15,62,3,68,56,95,26,30,31,0,34,84,57,78,97,80,25,76,35,83,8,96,17,94,61,13,88,23,65,20,6,86,28,71,66,55,85,36,39,64,14,91,40,16,47,53,72,89,41,9,81,60,22,79,51,99,33,7
d20,32,37,67,13,93,46,59,61,7,72,33,19,40,78,10,6,69,2,51,39,89,88,42,24,17,85,48,71,26,20,77,63,47,35,80,45,66,44,25,49,11,65,60,76,15,18,52,30,58,84,54,98,75,83,34,81,97,12,70,62,9,68,64,3,86,74,96,94,55,5,14,16,53,41,57,21,29,31,38,8,91,23,99,43,90,87,28,50,36,92,4,22,1,27,0,73,56,82,79,95
d16,41,74,98,31,26,38,90,69,46,10,57,97,1,9,33,53,71,88,65,0,60,70,35,61,37,86,2,79,49,3,80,16,92,62,51,55,12,63,39,59,21,84,18,68,6,13,7,96,29,11,17,91,50,47,93,8,58,94,64,40,99,89,95,54,30,23,75,72,5,67,52,28,77,73,43,27,56,66,19,81,25,42,87,82,76,85,22,15,44,83,24,78,4,45,20,32,48,36,34,14
d87,21,7,97,12,66,79,10,70,13,19,16,17,69,40,83,63,35,82,86,23,93,84,3,56,90,2,15,29,25,41,46,96,99,37,49,80,32,14,75,6,39,52,48,22,50,65,72,73,4,11,67,24,95,30,94,9,44,8,58,77,47,51,26,27,74,85,45,1,28,88,55,53,78,98,42,92,31,18,33,20,91,57,34,71,36,54,5,89,62,59,38,76,81,43,64,0,68,60,61,87
d93,40,30,43,76,83,20,6,84,48,5,70,55,98,7,52,75,29,17,28,0,63,38,11,16,27,88,61,10,4,68,89,64,41,79,95,85,71,91,25,33,67,35,96,32,54,97,74,39,45,86,87,65,26,46,36,69,90,73,21,14,42,53,22,13,51,92,44,60,66,15,77,80,56,3,37,99,58,18,8,78,49,82,9,93,34,81,19,59,12,57,24,72,94,23,1,2,62,31,47,50
d25,97,22,15,61,56,89,85,95,30,33,92,63,21,66,53,28,46,35,93,67,72,57,94,24,18,80,27,42,29,49,9,51,81,34,3,8,77,31,52,23,84,91,2,71,36,82,58,78,76,59,25,79,19,4,70,96,75,87,90,37,17,45,6,10,69,64,11,54,5,47,0,62,43,38,74,88,48,16,73,12,14,60,1,86,50,65,39,32,44,83,98,99,55,7,20,41,68,40,13,26
d10,60,34,21,56,87,25,12,44,45,0,47,99,86,49,66,97,14,82,20,69,63,2,39,4,5,89,1,93,17,37,59,62,73,11,29,41,75,46,50,53,26,84,6,67,51,70,54,57,33,40,22,72,23,42,31,10,78,30,91,95,52,85,13,88,24,8,36,38,55,77,98,48,65,71,28,27,3,79,68,81,94,19,9,92,83,80,58,7,15,35,32,90,43,61,16,18,96,76,74,64
d32,50,55,53,52,81,27,93,22,95,89,36,79,18,42,69,29,21,33,66,40,1,87,35,3,78,24,39,0,17,80,11,15,77,70,51,19,67,61,32,28,34,56,8,74,88,65,99,91,92,25,97,30,54,2,12,64,60,9,84,76,10,41,85,73,4,45,26,59,43,57,98,75,58,82,44,63,94,71,90,14,38,5,16,6,47,48,13,96,46,68,83,49,23,72,62,7,86,31,37,20
d92,68,28,56,94,53,74,3,34,21,96,46,60,98,11,6,63,49,16,8,39,35,30,25,1,99,43,14,81,52,2,26,62,64,33,88,20,40,7,95,90,78,12,19,89,92,9,83,27,76,47,45,85,80,87,32,10,13,18,41,61,31,79,75,37,42,5,72,66,91,24,23,77,0,54,97,50,17,65,4,84,48,22,57,15,67,29,38,58,51,44,59,82,70,55,73,71,86,36,93,69
d67,11,97,8,76,47,83,53,28,1,44,6,27,41,40,17,94,49,10,78,39,87,31,43,0,32,30,52,26,73,25,50,79,81,63,80,89,60,4,93,36,38,21,45,9,96,57,99,86,46,68,91,13,90,42,85,20,92,66,5,67,19,74,70,98,64,23,95,84,69,55,88,48,24,75,71,35,56,37,3,51,65,15,62,58,18,72,82,61,2,29,16,7,12,59,22,34,14,33,77,54
d3,32,17,81,89,84,29,52,56,23,87,51,99,41,14,60,28,45,4,5,9,47,94,69,34,20,53,71,92,10,67,35,18,43,95,62,44,59,46,61,27,2,80,38,86,78,36,37,97,75,25,91,11,24,77,54,33,98,48,39,3,21,50,83,65,93,22,96,90,70,49,82,68,1,13,7,30,57,76,19,16,40,8,73,72,31,15,63,58,26,0,42,66,79,55,88,85,12,74,64,6
d29,80,50,89,1,5,83,38,65,61,94,51,58,95,84,36,39,23,30,40,8,42,9,72,63,41,49,62,69,21,52,4,76,93,73,74,71,88,33,77,79,7,6,24,59,32,47,2,68,12,0,3,27,87,34,13,67,43,99,35,31,54,86,18,28,11,17,20,22,55,60,92,66,14,70,57,75,16,56,64,82,26,78,81,46,53,85,15,19,25,10,44,98,90,96,37,97,48,29,91,45
d99,67,2,78,44,79,94,47,43,25,82,35,54,46,5,18,68,63,14,19,48,26,81,72,34,4,1,64,83,6,32,15,49,55,57,24,61,97,76,51,23,37,28,30,99,27,74,85,91,36,52,86,53,90,62,58,3,33,21,45,56,50,87,98,38,8,60,66,80,40,75,95,11,39,77,65,92,73,16,42,10,13,22,93,17,71,0,9,70,59,29,31,7,20,41,12,89,96,84,69,88
d57,93,57,35,25,12,9,31,67,91,3,42,54,69,10,27,13,30,88,78,43,90,85,59,21,2,50,58,83,37,55,61,45,24,15,32,48,36,51,47,84,5,6,29,40,28,1,52,26,65,20,63,38,53,71,87,89,75,33,68,60,19,44,64,14,39,97,94,96,79,22,18,17,49,86,72,56,80,62,82,11,81,16,4,46,41,77,74,0,76,98,34,70,8,99,23,66,95,7,92,73
d71,23,65,40,54,41,26,49,93,28,78,57,34,48,81,56,36,32,39,74,24,35,42,69,88,11,6,67,66,97,77,58,79,62,99,96,2,95,83,64,13,50,19,61,47,91,72,3,94,25,55,45,85,63,20,15,0,7,98,27,70,51,87,53,21,75,18,46,60,82,30,10,16,90,44,9,80,29,73,68,86,38,5,14,37,22,8,84,43,89,31,59,17,4,52,1,71,12,92,76,33
d84,35,8,64,47,85,50,78,72,21,12,41,61,22,58,86,23,14,37,90,94,88,29,87,73,31,44,16,66,89,60,67,11,25,15,3,75,79,48,65,74,1,68,7,9,39,99,6,83,53,62,80,33,51,54,52,27,91,34,40,19,70,92,0,13,24,20,32,63,43,5,71,57,26,98,2,93,76,38,59,82,10,18,69,84,77,55,49,17,4,28,30,95,81,42,45,96,46,36,56,97
d74,11,97,45,34,43,94,72,38,59,42,86,35,49,0,78,25,29,57,39,18,28,64,96,62,81,30,12,79,77,37,90,76,87,74,73,24,50,6,75,7,52,82,83,61,47,14,8,36,65,71,95,60,48,98,32,69,70,26,67,19,51,91,92,68,27,1,63,66,55,99,80,20,21,13,15,84,2,58,9,89,5,54,33,85,31,56,16,22,4,3,88,17,44,23,10,40,93,41,53,46
d40,21,42,36,38,69,58,94,2,67,90,84,70,10,13,7,92,33,1,91,41,24,29,3,46,57,4,40,77,64,99,48,76,30,98,22,97,63,51,31,47,53,89,60,95,66,34,11,43,26,79,12,87,44,16,15,37,49,86,62,56,96,18,14,88,93,6,52,73,72,85,25,74,20,45,0,80,83,39,8,50,23,82,65,78,81,5,35,28,17,19,32,9,68,75,27,61,54,59,71,55
d58,56,16,68,64,45,66,14,43,30,37,90,82,59,40,28,78,62,38,0,57,21,2,79,19,25,70,6,76,41,24,44,26,35,72,84,36,58,85,3,15,99,51,80,50,8,20,54,87,9,95,17,23,63,33,61,7,65,10,86,1,92,89,94,11,5,71,83,73,27,75,53,34,29,31,98,93,69,81,39,13,88,67,52,4,96,12,60,48,47,74,32,77,97,91,18,46,22,42,55,49
d65,20,97,46,87,29,34,17,43,92,58,2,49,96,90,28,57,76,48,61,8,24,98,56,18,64,32,59,41,22,93,53,1,60,16,67,89,85,10,33,66,71,54,79,25,70,73,80,51,81,40,42,11,55,52,91,74,82,12,15,95,19,39,23,84,3,88,26,78,63,36,27,86,45,30,0,75,72,7,38,31,69,83,47,65,13,21,37,9,77,6,62,35,50,5,99,68,4,14,44,94
d27,31,56,23,19,42,73,74,61,25,69,44,14,89,41,36,71,72,83,37,21,43,76,33,27,15,66,84,57,29,63,16,53,54,90,91,67,51,38,75,30,82,88,65,18,20,40,86,9,68,1,99,3,52,79,94,8,81,46,77,58,95,92,13,85,5,45,62,64,6,48,22,28,2,24,60,87,12,49,10,98,70,35,17,50,97,7,80,78,93,47,26,55,34,11,32,0,96,4,39,59
d79,54,21,99,27,70,40,45,92,79,19,69,77,32,68,71,67,43,52,65,12,93,95,28,23,38,44,14,30,3,24,46,7,75,41,59,20,85,0,37,48,39,29,61,82,83,62,96,31,73,47,18,11,25,56,98,94,51,86,78,35,81,16,90,1,58,60,34,97,33,50,5,22,4,66,55,17,72,8,76,15,88,63,84,89,2,57,91,80,26,6,64,74,87,13,49,36,42,10,9,53
d95,39,48,27,84,78,55,34,67,85,47,37,61,68,23,90,89,66,1,44,86,77,95,87,71,11,32,4,49,58,33,26,74,31,41,28,79,52,57,21,83,30,81,54,19,60,63,98,56,38,13,8,91,99,40,22,5,36,97,42,46,35,7,10,76,62,6,45,20,80,69,0,96,17,50,3,18,72,2,64,29,82,65,75,16,24,88,14,73,93,94,51,53,25,9,12,92,15,70,59,43
d50,97,39,16,51,80,40,61,11,12,14,59,98,77,90,1,20,93,19,49,27,5,64,48,9,26,34,15,76,69,99,50,25,42,37,21,41,13,44,73,32,53,72,94,18,56,17,8,35,82,36,75,43,68,70,31,6,83,66,65,78,63,33,62,24,52,71,92,55,88,95,60,85,4,3,38,79,28,54,10,74,22,57,2,58,67,91,29,86,45,0,7,89,84,23,46,96,87,47,30,81
d69,66,67,65,55,37,40,63,90,38,88,29,97,98,34,48,92,1,68,53,21,2,10,77,36,70,87,99,64,62,42,22,58,33,8,12,30,35,81,47,71,45,74,0,41,18,14,24,28,84,16,54,91,5,83,59,44,32,86,85,19,51,15,31,4,82,69,73,75,80,95,56,46,23,49,17,96,60,11,57,25,6,76,50,39,89,9,72,61,3,93,94,26,7,27,43,79,52,20,78,13
d46,36,51,46,96,67,19,22,31,16,48,3,80,40,4,15,66,87,24,81,61,55,30,26,97,60,89,78,73,0,63,37,77,53,45,71,25,79,49,34,88,94,91,58,9,38,10,86,99,23,62,84,27,32,41,59,82,44,33,29,52,12,39,42,20,21,13,69,6,1,72,8,68,28,54,74,85,76,75,64,5,7,17,95,47,70,18,43,50,98,11,92,90,57,56,65,2,93,14,35,83
d81,61,84,52,7,21,27,55,71,67,31,41,15,81,51,12,48,74,49,1,62,6,37,80,90,18,50,13,34,91,35,94,32,83,72,9,54,95,45,65,46,88,28,64,11,96,22,43,78,10,76,70,39,53,8,58,63,86,0,4,89,38,85,25,93,26,87,57,23,20,97,60,68,59,82,77,69,42,92,29,36,40,33,79,24,44,47,56,30,2,3,66,73,17,5,19,75,98,14,16,99
d61,81,36,40,73,7,22,38,95,55,53,82,13,26,54,23,44,0,32,70,86,11,8,66,78,80,56,21,69,19,98,57,49,33,42,85,72,12,68,51,61,77,62,74,18,2,4,94,97,65,87,71,3,6,99,76,35,15,30,10,39,37,41,24,25,48,9,63,93,83,88,17,90,60,79,52,43,31,67,14,28,45,84,34,20,16,50,58,47,29,27,75,5,46,1,92,91,96,59,89,64
