,r26,r25,r24,r28,r64,r81,r68,r73,r14,r13,r80,r96,r71,r63,r45,r91,r52,r44,r4,r42,r76,r85,r21,r58,r57,r18,r12,r88,r87,r94,r78,r49,r50,r11,r35,r38,r75,r47,r46,r60,r51,r97,r77,r3,r29,r59,r2,r37,r86,r89,r7,r55,r19,r43,r90,r83,r27,r30,r95,r23,r41,r40,r15,r20,r48,r65,r98,r5,r54,r72,r62,r67,r6,r34,r1,r69,r36,r79,r33,r10,r39,r53,r22,r82,r56,r16,r31,r84,r100,r17,r93,r74,r61,r9,r70,r66,r32,r92,r8,r99
d37,71,19,79,46,22,87,69,39,53,3,64,68,8,15,23,57,24,93,34,88,62,76,63,42,89,97,45,5,84,60,80,48,18,92,26,36,37,75,28,66,61,25,95,73,90,44,55,11,38,1,77,16,67,35,10,41,54,83,30,32,98,85,58,17,9,70,12,21,81,47,2,6,40,27,99,65,33,31,96,14,91,51,50,13,4,72,20,82,49,59,56,52,74,0,78,43,94,29,7,86
d34,84,8,25,55,88,76,43,27,33,37,92,54,53,21,67,66,65,60,87,70,18,58,50,99,3,62,39,44,22,19,41,45,15,68,91,78,28,20,24,48,9,29,97,1,13,73,51,49,57,26,79,40,64,16,31,56,6,63,89,95,32,74,30,69,11,35,98,80,82,85,96,36,14,47,77,90,12,10,46,4,23,86,71,94,72,2,81,59,5,42,0,75,7,61,83,34,38,52,17,93
d76,72,11,64,79,82,70,21,99,88,20,35,65,56,90,50,53,74,84,94,55,31,36,39,30,57,47,71,0,29,3,97,69,13,40,48,19,1,4,52,22,44,18,7,85,45,95,6,62,77,2,58,54,59,92,12,37,26,14,68,15,34,63,17,78,89,41,42,93,83,67,75,25,66,23,28,80,73,8,76,16,32,46,86,91,9,38,51,5,27,98,81,49,96,33,61,87,24,43,10,60
d70,53,47,30,74,11,59,51,8,21,56,57,70,36,20,40,33,44,72,23,34,64,50,6,45,82,89,88,54,80,66,83,12,69,76,90,19,79,98,77,81,78,32,4,18,39,49,46,62,42,16,87,97,48,10,63,41,55,75,99,26,3,17,37,29,28,2,35,84,96,22,58,38,73,95,71,25,0,31,15,61,92,91,13,68,9,27,14,93,60,7,1,94,65,86,52,5,43,67,85,24
d25,13,92,17,91,2,43,3,74,0,70,38,10,33,90,55,36,29,5,20,71,88,7,32,54,68,66,76,25,41,15,37,84,27,99,81,97,1,34,44,56,82,19,18,67,49,86,72,26,35,83,30,8,87,85,4,51,9,77,23,14,62,95,50,96,40,47,53,60,94,78,48,69,45,64,57,28,12,11,52,42,6,16,24,31,59,39,21,65,46,93,61,79,75,58,89,73,22,63,98,80
d20,10,16,59,87,13,32,96,31,49,80,81,39,90,6,82,25,46,14,12,62,48,26,8,68,69,67,37,17,78,66,7,88,11,41,23,19,94,61,57,38,35,76,1,72,63,71,84,2,28,24,27,83,36,58,53,93,4,33,89,86,99,47,45,21,97,22,52,98,91,70,3,18,79,42,54,51,44,30,9,74,20,55,5,75,29,0,65,56,60,85,34,15,73,95,92,64,43,77,40,50
d88,95,41,32,17,94,82,55,72,76,25,16,81,9,0,43,24,49,52,83,50,69,77,19,6,45,67,2,20,26,80,61,35,48,84,71,14,5,86,60,37,79,51,23,13,56,93,1,28,7,65,11,4,47,68,70,64,33,30,66,90,99,58,21,39,78,98,96,57,46,15,97,18,42,3,63,36,12,8,29,88,40,53,73,92,87,54,59,91,89,10,22,44,34,74,27,62,75,38,31,85
d14,60,89,98,83,9,67,69,16,45,76,1,91,41,49,0,44,63,35,13,74,59,79,37,24,84,97,20,73,14,88,17,56,22,18,68,3,61,87,64,58,78,2,62,7,94,53,55,92,72,34,86,81,6,38,66,31,33,46,8,70,71,39,99,28,82,85,57,23,36,12,21,47,52,26,27,43,42,11,15,50,95,96,77,75,51,48,25,90,30,4,19,5,40,80,54,10,32,93,65,29
d92,50,57,47,30,28,29,48,69,86,94,18,46,71,37,87,41,35,13,19,2,21,16,52,8,6,83,63,61,70,27,20,1,32,26,22,85,44,93,81,98,0,72,82,62,14,90,25,80,56,23,95,38,9,78,99,10,54,33,34,11,58,64,15,40,31,88,66,65,55,43,49,60,67,7,17,12,3,68,73,89,24,79,92,51,77,74,59,75,96,39,76,45,5,91,97,4,42,84,53,36
d63,19,40,46,12,56,48,74,99,92,38,64,5,78,44,79,62,10,88,50,49,53,25,58,9,97,27,93,67,55,57,90,28,47,85,81,34,22,66,29,76,35,8,60,54,77,45,70,75,98,21,84,89,43,1,91,33,65,42,95,16,32,36,13,69,6,41,3,87,39,17,2,94,23,61,68,11,15,4,26,0,24,18,63,52,96,71,72,37,51,59,31,20,80,82,83,73,30,14,7,86
d83,74,36,17,58,80,98,99,42,57,37,56,84,63,2,86,12,60,89,97,68,72,95,81,64,52,87,91,53,26,19,73,83,8,28,67,13,46,43,22,18,51,7,45,77,82,6,27,9,78,34,41,4,48,15,75,39,21,47,54,0,35,85,62,44,66,65,16,94,70,24,1,31,20,50,55,10,88,61,40,11,96,14,3,49,90,76,38,29,25,5,79,30,33,69,71,32,92,23,93,59
d75,88,51,82,33,44,87,11,28,13,73,48,10,3,15,32,6,58,97,46,5,47,30,71,24,57,69,41,37,80,39,61,21,55,17,1,54,76,40,43,74,83,27,42,78,64,85,34,31,0,81,84,94,72,45,67,26,29,2,60,25,14,79,89,12,9,53,36,16,59,66,75,52,95,23,49,90,18,93,63,4,91,77,56,22,65,8,99,86,62,19,98,68,92,35,20,38,50,7,96,70
