,d2,d12,d10,d16,d11,d14,d15,d1,d17,d5,d18,d13,d7,d20,d3,d4,d19,d8,d6,d9
r17,8,9,7,10,19,4,14,0,18,5,17,15,3,16,11,13,6,12,2,1
r13,9,17,2,1,5,16,18,3,4,11,15,19,12,0,14,7,13,10,8,6
r8,14,7,4,9,2,8,1,0,19,10,12,16,6,15,5,18,11,13,3,17
r9,13,16,4,7,17,6,11,19,15,8,14,0,12,2,5,1,18,3,9,10
r14,14,13,2,9,7,5,1,17,6,18,3,15,12,8,16,11,19,4,0,10
r2,18,1,4,14,16,12,9,7,15,6,8,0,17,11,19,5,13,3,2,10
r1,9,15,16,6,3,4,18,5,0,19,7,1,12,10,13,8,2,11,17,14
r4,9,7,4,5,8,2,10,3,0,15,16,11,17,13,6,12,14,18,19,1
r7,1,7,0,19,4,18,13,15,11,12,6,2,5,16,10,17,3,14,9,8
r5,8,18,3,11,6,19,16,10,0,15,4,5,17,9,1,7,13,2,12,14
r20,18,2,13,1,12,14,15,17,4,0,9,8,5,16,10,7,11,6,19,3
r3,17,14,3,7,10,16,4,0,8,2,1,5,9,11,19,13,15,12,6,18
r6,10,8,9,4,0,1,17,18,16,12,14,19,6,5,2,15,11,7,13,3
r10,15,3,9,13,16,17,0,19,8,18,12,2,11,7,6,5,10,1,4,14
r11,8,9,4,7,1,3,19,2,5,10,16,15,11,18,6,0,12,14,17,13
r18,4,8,0,2,18,1,11,19,14,5,10,15,9,6,3,7,13,16,12,17
r19,9,14,16,10,17,1,2,4,19,8,12,7,5,15,6,3,13,11,0,18
r16,9,12,17,4,14,16,18,3,0,15,1,10,5,11,6,13,7,2,19,8
r15,11,8,16,5,13,2,1,15,18,14,12,0,6,4,9,17,3,7,19,10
r12,5,15,11,19,2,16,14,8,17,12,10,0,9,1,18,7,3,13,6,4
