,r6,r16,r8,r12,r14,r15,r2,r1,r18,r3,r7,r11,r10,r17,r9,r20,r13,r5,r19,r4
d7,2,19,3,16,10,4,14,0,17,7,15,6,9,12,8,11,13,18,1,5
d20,4,7,5,14,6,0,8,15,19,11,13,12,1,10,9,2,3,18,16,17
d11,11,18,4,0,2,6,14,10,7,16,15,8,9,5,12,17,1,19,13,3
d10,4,2,17,19,14,15,6,10,13,1,9,18,8,5,16,12,7,11,0,3
d2,11,17,4,1,0,10,15,2,7,5,12,13,14,6,9,8,18,16,3,19
d1,18,17,14,2,0,15,6,13,4,19,3,5,8,16,11,7,1,9,10,12
d9,13,14,8,6,0,5,9,1,2,19,18,4,7,10,15,17,11,3,12,16
d3,17,9,6,12,3,4,7,2,13,14,16,0,19,11,1,10,15,8,5,18
d15,12,0,4,6,17,3,2,9,1,19,16,13,7,15,8,10,14,5,18,11
d18,9,18,2,13,16,6,14,3,1,10,17,15,0,11,5,19,4,8,7,12
d5,3,10,7,11,15,19,18,6,8,17,0,14,2,9,1,12,4,16,13,5
d19,7,8,16,15,4,3,11,5,1,12,9,2,17,13,10,6,18,14,19,0
d14,12,7,16,19,5,13,4,14,1,0,18,3,17,10,8,2,15,6,11,9
d16,5,3,7,13,6,2,0,19,17,1,16,11,10,9,4,18,14,8,12,15
d8,16,14,10,15,5,11,17,2,1,0,13,3,9,8,19,12,7,18,4,6
d13,19,7,18,5,15,3,4,8,12,10,0,9,1,2,6,11,17,16,13,14
d17,16,12,11,19,3,7,5,10,1,15,2,13,0,9,14,6,8,4,18,17
d12,8,13,1,12,0,15,6,9,19,11,16,18,4,3,2,10,5,17,7,14
d4,17,3,6,9,15,14,19,7,18,16,10,5,2,13,12,11,4,1,0,8
d6,8,11,13,2,19,0,18,7,3,15,17,12,6,10,4,9,1,5,14,16
