,r1,r15,r6,r12,r19,r20,r8,r13,r17,r14,r18,r7,r4,r9,r2,r10,r5,r11,r3,r16
d8,13,10,15,6,11,3,7,18,2,5,19,9,12,1,16,8,0,17,4,14
d14,1,18,13,6,9,5,17,12,14,2,8,15,7,4,19,11,16,3,10,0
d1,18,10,7,0,8,13,5,2,16,14,1,19,17,12,9,4,11,6,3,15
d20,14,13,1,9,3,6,15,12,10,8,2,19,11,17,5,16,7,0,4,18
d17,13,12,3,11,18,5,2,6,1,9,4,16,0,10,17,14,7,15,8,19
d3,7,19,17,1,14,5,6,10,12,3,11,18,2,16,4,13,15,9,8,0
d16,4,11,13,14,7,16,3,8,18,15,9,2,10,17,5,1,0,12,6,19
d11,12,13,10,8,7,2,17,5,9,3,0,6,14,18,4,16,1,15,11,19
d5,18,10,16,8,2,12,1,17,0,4,6,15,3,5,9,7,19,14,11,13
d7,10,4,19,15,18,12,3,9,11,1,7,2,16,14,13,17,5,0,8,6
d12,2,11,8,16,7,3,15,6,12,17,5,10,14,19,0,9,1,4,18,13
d19,13,4,14,11,0,7,5,19,3,8,10,15,6,17,16,1,12,2,9,18
d6,5,18,14,10,9,7,8,4,11,13,2,19,6,17,16,1,15,12,3,0
d10,8,5,13,2,9,7,10,11,17,14,19,15,16,4,18,0,3,12,6,1
d9,16,1,5,19,12,13,10,17,7,18,2,9,3,4,8,14,15,6,0,11
d4,19,10,15,1,4,12,14,18,8,13,2,17,6,11,3,0,7,9,5,16
d2,3,8,0,18,10,2,5,17,12,1,11,19,14,6,13,9,4,16,15,7
d18,6,17,9,8,13,4,0,14,18,16,7,11,3,5,10,19,2,15,12,1
d15,16,14,1,2,3,17,15,4,5,0,9,11,7,13,8,19,12,18,6,10
d13,3,18,7,13,1,14,10,5,4,16,9,12,19,11,15,2,6,0,17,8
