,r88,r18,r46,r90,r11,r85,r72,r23,r79,r71,r68,r33,r35,r58,r92,r76,r41,r27,r78,r80,r17,r43,r98,r5,r10,r38,r86,r89,r39,r64,r13,r53,r94,r70,r22,r1,r77,r16,r97,r28,r60,r87,r45,r32,r37,r91,r40,r96,r81,r4,r9,r48,r7,r57,r3,r67,r75,r49,r84,r83,r100,r15,r34,r63,r65,r51,r66,r50,r31,r2,r36,r47,r54,r69,r6,r82,r21,r61,r56,r52,r74,r20,r59,r24,r62,r12,r19,r95,r8,r26,r42,r55,r29,r30,r93,r25,r14,r73,r99,r44
d46,83,76,0,32,46,35,24,2,98,4,65,45,97,96,50,33,49,90,85,81,14,77,13,67,27,71,63,39,30,56,99,82,59,89,47,64,95,88,55,36,80,57,54,26,86,28,6,48,22,58,10,91,21,79,68,16,1,92,53,25,41,87,43,11,93,5,44,20,60,42,18,23,34,37,72,17,69,40,19,66,9,31,70,75,8,7,94,74,38,15,12,78,3,61,84,29,51,62,52,73
d92,15,60,26,37,14,32,38,11,62,35,7,43,12,24,70,81,92,88,36,97,33,55,42,57,13,30,93,18,75,31,49,85,63,87,16,41,64,40,82,77,0,73,44,99,54,23,58,65,22,5,76,2,91,67,89,80,8,52,28,56,29,25,10,95,9,17,83,6,39,46,79,84,50,1,34,53,74,61,47,90,72,3,20,78,69,27,59,71,51,66,19,86,98,94,48,45,68,96,4,21
d73,38,89,32,57,29,37,78,99,16,86,85,15,66,59,80,7,18,91,8,13,75,49,10,93,23,31,41,20,63,40,46,17,30,71,2,27,87,11,53,52,61,34,83,26,33,5,4,24,54,48,95,70,97,42,58,47,84,77,0,14,94,39,19,73,90,1,55,96,56,35,50,12,81,79,65,28,9,76,92,45,25,3,22,60,21,51,72,6,67,74,64,68,44,36,88,98,62,43,82,69
d10,71,80,30,49,23,66,36,38,85,60,42,44,6,27,70,90,82,34,98,19,33,29,4,78,88,52,77,57,0,9,63,15,45,55,61,62,74,3,26,11,75,17,28,79,14,69,94,65,50,59,25,39,64,76,86,58,47,68,16,92,24,13,95,37,87,96,5,48,35,54,12,53,20,21,81,40,43,1,97,46,93,22,67,18,10,73,72,8,2,32,83,91,31,7,99,51,56,89,84,41
d21,34,36,20,73,64,51,77,94,44,27,59,56,49,54,21,30,11,72,43,57,50,68,8,71,88,97,40,13,93,67,58,62,66,69,74,95,32,35,38,86,15,53,29,10,12,85,37,98,17,70,91,24,39,31,7,14,22,6,42,63,84,60,3,9,47,76,89,82,99,79,1,96,52,45,4,2,18,16,55,92,81,23,80,87,83,33,19,61,0,65,5,25,28,46,75,26,48,78,41,90
d36,1,24,62,95,9,72,22,87,39,11,38,35,58,33,63,0,59,69,28,94,30,25,19,43,70,78,56,48,66,37,52,97,76,12,89,34,74,13,3,80,81,61,83,7,85,4,50,82,79,27,44,31,60,49,96,88,42,29,99,91,8,6,5,73,64,75,98,45,17,57,32,26,14,65,16,20,15,54,68,53,36,92,2,67,51,55,10,47,86,41,77,18,93,84,46,71,21,90,23,40
d34,94,25,78,8,4,87,63,96,24,88,0,29,9,41,79,60,42,59,75,85,53,86,68,61,71,98,10,54,26,97,70,40,93,6,17,80,5,37,39,90,95,27,74,67,7,55,43,69,18,23,2,13,36,82,22,15,81,3,46,19,83,91,51,84,1,11,52,92,16,30,21,73,64,31,14,99,58,49,77,57,48,38,44,65,72,89,28,35,34,45,32,66,33,62,12,20,47,56,76,50
d44,55,88,81,44,23,70,27,90,58,56,93,83,54,51,75,32,74,59,52,65,36,40,6,46,31,71,49,86,96,34,33,97,25,94,95,48,35,91,76,13,53,47,98,14,57,4,7,0,45,62,77,30,26,73,39,99,9,5,63,89,78,22,87,80,72,10,2,50,42,1,15,17,38,66,21,85,20,82,67,79,43,69,24,41,18,84,3,8,61,29,16,68,60,11,19,12,28,37,92,64
d4,36,49,2,96,29,91,70,47,5,43,62,21,82,84,93,74,63,57,25,79,38,23,20,0,81,11,83,77,90,68,88,40,7,9,61,48,3,4,22,8,69,46,66,24,15,94,51,45,99,33,55,27,26,92,44,76,67,54,64,34,42,95,6,89,87,72,58,71,18,75,60,53,85,35,19,16,59,30,78,52,73,97,10,13,28,39,37,50,17,32,65,14,12,98,86,41,31,56,80,1
d61,72,54,2,30,90,40,1,52,41,74,28,29,3,15,23,81,35,55,79,53,71,39,99,10,33,19,36,60,64,32,61,18,8,93,26,69,80,86,43,20,7,24,0,27,48,91,42,97,47,14,22,63,37,45,4,51,94,56,70,87,11,75,67,6,85,25,88,83,17,73,77,57,12,58,50,49,95,13,98,44,46,5,16,78,68,92,96,89,9,31,66,76,21,84,59,38,62,65,82,34
d54,88,54,78,58,23,25,0,62,74,2,87,77,73,42,57,45,64,46,50,97,13,67,95,11,65,84,93,52,91,41,72,71,75,83,98,55,60,3,43,36,79,14,9,39,53,51,82,19,99,4,20,28,38,59,76,31,56,34,1,26,49,5,81,40,89,22,16,6,27,66,7,80,47,15,37,63,17,70,8,32,18,92,10,35,85,44,48,69,24,94,68,30,90,29,61,12,21,96,86,33
d31,89,37,98,95,20,25,72,53,81,3,27,4,76,69,48,15,16,8,84,43,78,82,60,1,21,10,35,22,67,90,58,42,28,64,73,31,99,68,0,29,50,96,6,57,91,93,79,47,9,11,13,61,74,55,88,59,23,33,80,77,38,54,49,41,2,85,83,18,56,19,45,71,17,7,65,26,5,87,70,36,52,40,75,94,92,12,14,44,24,51,97,63,30,86,46,66,62,32,39,34
d91,25,36,47,32,46,44,59,60,89,56,0,74,26,95,39,28,4,68,10,17,69,21,45,98,24,14,29,50,48,55,42,96,15,52,93,30,27,66,9,43,78,35,72,80,53,65,1,77,22,16,33,84,81,90,57,54,67,6,12,79,86,73,23,18,51,99,31,58,7,41,3,49,40,70,19,38,75,91,8,13,87,11,20,62,37,2,71,88,82,85,83,94,64,63,61,5,97,92,34,76
d79,96,70,52,27,38,56,2,80,65,45,84,66,77,69,89,47,51,48,21,49,0,50,39,94,82,93,37,88,58,55,57,25,85,83,8,20,97,53,72,19,87,61,31,10,73,64,92,9,33,75,44,7,91,71,76,6,22,42,59,32,68,41,78,62,99,26,95,28,14,43,23,17,18,36,60,29,79,30,90,46,16,4,67,74,40,15,54,1,35,5,63,12,11,81,13,86,24,98,3,34
d45,95,16,17,40,72,74,10,97,27,37,3,71,54,19,86,39,44,47,46,23,55,28,21,64,67,59,34,45,11,1,51,99,66,0,62,96,94,53,89,57,79,85,25,6,92,4,30,22,48,35,49,31,58,70,87,73,33,61,14,15,26,56,18,36,60,7,88,80,8,83,91,43,32,98,13,24,50,78,41,9,52,90,2,12,38,75,5,29,82,63,68,76,77,42,65,81,69,93,84,20
d39,10,42,90,67,8,9,38,47,83,65,5,86,17,55,82,14,11,96,13,37,3,60,76,61,12,88,59,73,89,36,71,34,91,24,40,41,27,26,19,70,72,15,54,0,16,68,45,52,6,2,87,21,57,81,69,43,50,66,48,78,56,97,32,94,25,95,80,23,93,22,99,33,51,1,46,18,39,58,64,31,77,85,53,84,92,74,30,28,79,75,62,7,20,4,63,44,29,35,49,98
d12,49,24,55,53,67,17,18,93,70,77,47,12,68,66,11,32,51,25,63,20,33,35,13,56,27,7,64,41,45,37,87,30,92,26,22,28,4,88,80,86,36,0,78,98,73,89,46,90,65,94,2,23,39,97,72,5,96,43,69,59,21,8,95,62,10,48,54,40,82,6,50,85,76,91,57,34,74,71,38,79,99,31,61,29,83,19,75,44,3,1,14,58,16,81,84,52,15,60,9,42
