,d5,d11,d17,d4,d9,d20,d16,d1,d19,d13,d12,d3,d14,d8,d7,d10,d15,d2,d6,d18
r10,8,18,14,2,3,12,7,4,9,6,0,15,19,17,13,11,1,16,10,5
r7,16,19,8,11,10,5,13,3,17,15,7,4,6,18,1,12,0,9,14,2
r4,14,8,17,11,4,10,5,6,7,2,9,3,13,12,15,16,0,19,1,18
r20,8,16,3,19,13,9,11,17,1,12,0,14,4,7,6,18,15,2,10,5
r16,15,17,1,13,6,9,5,10,18,16,14,4,8,2,7,19,12,11,3,0
r13,12,5,0,1,13,18,16,6,19,17,11,7,15,14,4,3,2,10,8,9
r2,7,3,18,17,14,10,16,2,13,6,4,9,15,12,0,1,19,8,11,5
r19,4,16,2,11,17,5,8,9,19,6,18,1,7,13,0,15,10,12,14,3
r11,14,19,12,17,7,18,0,6,15,11,8,13,4,9,2,10,3,16,1,5
r15,18,1,16,4,17,13,8,3,12,14,0,9,2,11,15,19,10,6,5,7
r18,19,14,3,18,17,11,5,10,0,16,15,2,8,7,4,6,1,13,12,9
r14,4,14,7,11,6,19,10,1,16,18,9,5,12,2,17,15,8,0,3,13
r17,7,18,14,16,13,11,19,4,0,10,6,5,8,3,17,2,9,15,12,1
r9,8,17,7,9,11,12,15,3,10,13,19,18,4,16,5,6,2,14,0,1
r8,2,13,7,4,3,5,10,19,11,6,15,16,12,1,17,9,0,14,8,18
r5,14,4,2,16,9,8,13,7,10,18,15,6,0,3,5,17,19,12,1,11
r12,10,16,18,12,15,5,13,14,0,7,8,11,1,3,6,2,19,4,9,17
r1,8,9,18,5,0,19,15,14,3,17,4,11,2,13,7,6,10,12,16,1
r3,5,11,10,16,7,19,14,0,9,2,15,3,18,8,4,13,1,12,6,17
r6,7,10,11,0,17,5,15,19,8,9,4,3,1,16,2,18,12,13,14,6
