,r71,r87,r67,r69,r25,r31,r48,r72,r61,r20,r35,r99,r38,r29,r19,r70,r28,r77,r13,r64,r76,r30,r98,r93,r40,r37,r55,r57,r81,r44,r7,r33,r62,r80,r91,r78,r16,r22,r89,r32,r1,r97,r9,r51,r95,r90,r100,r41,r94,r39,r85,r14,r79,r88,r10,r92,r34,r52,r75,r86,r82,r2,r27,r96,r63,r65,r8,r56,r4,r47,r11,r83,r36,r43,r84,r23,r5,r3,r12,r53,r54,r66,r6,r17,r26,r45,r60,r73,r49,r24,r50,r18,r59,r74,r58,r15,r46,r42,r68,r21
d67,59,37,86,14,53,12,96,64,22,15,83,99,85,72,71,21,76,84,80,18,94,74,54,43,52,9,63,23,92,16,41,17,93,5,62,26,1,56,91,55,97,44,82,67,87,88,2,33,89,39,50,75,61,25,66,46,42,90,45,4,20,27,31,78,68,8,38,10,3,36,13,47,98,28,65,70,34,60,95,30,51,48,49,11,40,19,7,69,24,0,6,77,35,81,57,73,29,79,32,58
d68,49,72,4,17,53,55,28,29,76,6,56,16,37,80,25,46,57,8,71,0,95,97,63,34,91,30,86,41,79,12,43,60,9,99,58,59,96,73,24,35,45,44,85,40,20,64,98,77,88,18,50,33,23,32,5,1,94,61,84,51,13,15,31,66,3,69,87,54,74,42,10,27,14,62,26,22,89,19,92,83,2,11,48,75,7,52,68,90,67,47,21,93,65,81,36,78,70,39,38,82
d27,31,8,25,3,98,36,89,14,58,60,4,75,52,65,90,37,68,74,86,0,27,13,69,56,9,96,46,88,15,45,32,42,71,43,12,70,87,35,16,73,64,62,19,7,48,67,51,79,22,59,99,20,18,57,6,23,72,49,63,26,5,39,21,33,29,54,82,40,34,10,76,2,50,53,28,24,1,61,77,94,38,55,93,92,66,78,11,30,80,97,41,17,84,95,44,81,83,85,91,47
d98,89,59,74,2,24,21,0,84,63,26,38,51,95,10,4,66,77,93,27,30,47,12,41,45,99,16,69,42,90,65,54,64,39,73,32,14,40,70,9,96,36,80,28,18,49,79,46,56,5,87,52,43,91,62,37,44,78,1,76,6,92,50,83,86,72,11,48,31,71,58,15,29,81,97,35,25,88,67,8,85,7,34,23,17,22,53,61,98,75,94,57,13,82,19,3,20,60,68,55,33
d97,71,82,63,50,64,9,33,15,94,62,95,21,54,83,4,6,27,30,89,11,91,5,65,38,66,81,55,67,85,88,36,16,97,84,31,57,29,26,76,19,35,70,7,45,99,25,41,51,2,32,37,53,98,10,73,61,14,87,46,80,1,22,78,8,43,40,93,75,56,18,34,52,59,96,42,49,79,77,74,90,0,60,48,92,12,68,86,20,47,72,23,17,3,69,44,28,39,24,58,13
d90,99,75,89,84,67,85,25,2,65,19,22,28,81,54,1,11,4,53,23,58,51,78,24,97,76,49,74,3,17,20,77,40,52,14,73,27,66,34,38,30,91,41,37,93,46,10,68,35,47,5,62,96,39,21,71,57,36,0,83,15,87,90,44,7,98,48,69,29,8,56,60,16,86,64,95,18,94,9,80,6,79,26,88,72,31,13,33,70,43,63,45,61,50,92,42,32,12,55,59,82
d13,51,35,36,30,8,15,39,60,55,14,50,13,92,76,65,79,74,83,77,81,18,7,16,10,6,1,22,5,94,52,68,93,89,73,3,9,25,90,71,28,24,19,87,43,67,54,31,12,58,91,97,44,4,84,98,40,2,80,85,26,20,82,21,37,0,11,96,42,33,49,38,59,69,45,61,78,95,41,70,53,32,75,27,47,29,46,17,66,57,86,99,62,48,64,72,23,63,88,56,34
d71,61,9,29,85,59,4,55,37,36,65,6,3,19,84,53,51,48,38,33,1,66,93,39,2,50,43,71,60,83,68,31,28,80,0,92,34,97,18,15,26,88,35,96,54,98,40,64,21,78,17,24,91,77,69,76,56,8,86,89,7,22,72,44,49,81,74,46,5,25,75,58,87,79,41,45,90,94,70,82,32,20,95,99,57,30,52,47,16,67,62,11,12,23,13,63,10,73,42,14,27
d48,33,60,51,0,37,46,67,31,58,92,52,23,97,93,10,6,40,77,30,11,14,86,70,5,81,41,17,28,19,26,64,16,63,38,62,99,82,8,79,55,12,27,80,88,48,39,43,78,3,73,96,61,95,32,20,36,76,4,44,18,54,15,90,49,47,9,69,45,42,7,13,25,98,68,24,71,57,1,29,56,21,2,83,59,22,34,87,75,65,53,66,85,91,94,89,84,72,35,50,74
d34,30,41,74,75,90,43,21,12,6,32,92,28,1,48,53,67,50,52,49,31,27,77,20,46,45,71,29,11,88,81,39,42,91,64,65,76,73,86,68,62,26,96,99,72,93,51,79,35,7,14,56,15,3,23,22,24,80,38,16,2,33,10,95,58,44,36,63,87,61,5,82,17,25,98,37,9,18,85,66,83,34,47,40,84,0,55,78,57,59,97,69,4,54,94,19,89,13,60,8,70
