,d91,d11,d14,d25,d56,d5,d50,d73,d24,d80,d95,d44,d57,d86,d83,d7,d29,d97,d16,d23,d1,d84,d38,d92,d43,d2,d74,d10,d93,d67,d21,d17,d40,d22,d82,d52,d62,d54,d33,d78,d75,d94,d98,d72,d66,d42,d46,d32,d3,d19,d49,d4,d27,d55,d99,d48,d85,d87,d53,d31,d39,d30,d100,d28,d8,d63,d36,d89,d96,d64,d65,d47,d9,d51,d58,d88,d34,d61,d70,d76,d6,d26,d59,d13,d20,d60,d45,d77,d41,d71,d79,d68,d90,d15,d18,d81,d69,d12,d37,d35
r67,78,61,96,30,97,29,87,48,14,50,85,32,26,92,1,33,93,21,86,11,19,82,52,75,34,35,28,71,88,83,37,44,24,18,69,5,58,40,12,64,27,67,46,4,91,23,98,66,72,0,53,49,45,60,65,16,47,57,80,68,74,55,8,81,38,20,73,94,6,76,41,42,95,15,10,54,43,90,17,99,51,56,84,79,59,70,2,36,3,13,39,7,63,9,89,62,77,25,22,31
r37,38,74,54,28,88,59,70,35,89,52,91,71,50,61,98,6,57,90,96,39,21,81,34,22,68,99,23,30,45,76,13,83,25,60,17,44,64,49,11,15,66,94,41,14,55,33,1,18,8,19,73,32,72,92,63,80,48,7,79,12,16,58,97,53,29,0,62,51,69,43,40,95,86,20,5,46,47,2,9,36,10,26,87,27,75,77,42,24,37,93,56,65,4,84,82,31,85,78,67,3
r99,78,4,13,37,20,14,42,0,75,40,91,54,60,89,86,11,9,6,99,27,24,71,32,1,12,66,59,98,64,28,15,17,33,29,36,79,58,84,30,70,88,44,77,65,50,51,76,22,31,5,73,25,80,63,52,62,23,16,81,61,39,34,82,69,19,56,85,41,45,3,57,94,72,47,43,10,95,53,93,8,83,46,7,38,90,18,97,49,68,67,87,35,21,55,48,74,26,92,96,2
r2,49,68,62,44,38,66,87,36,46,90,42,82,23,37,0,7,43,61,2,76,64,86,54,56,89,58,39,98,60,33,57,14,73,25,79,9,93,41,81,5,69,63,70,99,24,48,28,74,10,1,80,34,95,75,50,78,51,18,17,3,92,15,22,45,53,77,72,6,35,4,19,8,32,31,85,40,47,55,30,88,13,67,52,84,94,26,12,16,83,27,21,65,20,96,59,71,97,91,29,11
r62,28,77,82,49,96,92,10,74,37,87,7,33,62,13,76,9,89,36,93,79,32,63,15,81,97,86,75,72,29,25,47,64,45,17,56,24,44,91,60,39,22,66,85,61,12,31,88,98,34,14,8,4,0,73,67,27,57,21,16,78,95,83,71,2,38,46,35,80,51,11,3,94,23,26,59,53,6,1,84,50,5,20,58,68,52,43,99,42,48,18,90,40,19,70,65,30,55,54,69,41
r4,50,43,32,45,63,30,9,33,27,8,92,29,22,2,36,82,78,81,14,7,26,15,25,72,40,17,24,66,67,85,91,95,18,3,37,35,31,90,70,84,89,86,49,23,77,5,65,98,93,39,52,46,76,68,94,80,12,60,6,44,16,59,58,10,34,41,21,11,62,1,73,47,55,51,53,97,20,83,42,79,87,38,74,61,64,96,69,99,28,0,57,48,19,54,75,56,13,4,71,88
r18,92,45,74,64,81,22,15,47,53,87,44,19,73,67,65,77,35,25,91,57,5,59,31,37,66,72,23,85,99,27,24,68,32,12,2,30,98,51,28,41,13,39,10,55,20,0,88,86,71,54,80,84,62,1,36,3,61,43,40,34,95,60,76,63,89,17,21,9,90,93,50,38,49,96,6,29,75,58,8,26,14,16,18,94,69,52,33,4,83,70,78,48,11,56,7,82,42,97,79,46
r65,52,8,56,26,45,82,65,41,47,92,96,18,7,90,17,37,27,32,99,39,30,95,63,34,29,78,46,60,5,58,1,76,14,83,62,59,25,3,51,61,10,21,24,68,48,28,42,67,80,57,6,89,73,36,72,19,94,79,55,16,53,84,2,74,44,91,49,31,98,0,15,40,23,86,11,70,35,71,88,85,33,81,54,66,38,22,77,13,93,9,12,69,43,4,97,75,64,87,20,50
r33,47,84,25,46,31,35,28,40,98,45,26,87,85,78,18,27,1,36,88,14,34,83,54,70,89,43,60,68,8,55,16,2,23,32,99,67,24,21,96,61,66,97,69,4,75,13,10,62,74,0,65,82,91,48,33,94,19,38,11,15,76,80,59,22,58,20,9,93,37,52,64,51,5,17,49,6,7,42,95,44,30,81,86,3,53,90,39,73,71,12,41,50,63,29,92,56,79,72,57,77
r11,13,79,90,42,73,39,89,31,8,19,22,9,20,94,50,46,21,2,59,82,68,78,11,92,87,51,34,56,23,35,40,55,15,75,37,12,27,29,96,72,1,60,84,30,43,24,36,47,45,70,58,57,32,99,18,76,66,33,77,53,93,61,49,67,65,74,86,62,85,64,14,26,0,16,3,52,44,28,63,95,98,7,41,71,48,83,25,10,69,97,38,4,54,80,6,5,88,17,81,91
r30,72,31,54,14,2,15,13,78,38,50,3,51,59,49,23,27,68,25,41,36,70,35,58,1,32,89,96,76,24,85,82,63,11,64,46,33,52,34,21,56,18,45,28,37,48,77,9,71,17,84,98,16,39,42,69,8,61,62,94,12,29,80,0,40,19,95,47,87,93,55,91,67,92,86,65,83,7,4,22,44,66,88,90,99,74,97,79,6,75,20,57,53,81,60,10,5,26,73,30,43
r21,89,93,60,92,27,73,19,17,82,66,28,63,18,26,6,33,4,5,12,94,49,15,14,83,80,40,61,53,62,97,47,50,74,98,38,29,46,96,72,20,25,51,11,35,42,78,57,45,99,87,95,43,79,30,76,34,67,70,39,56,9,88,16,21,54,2,37,48,58,52,84,77,55,64,7,90,24,3,0,91,41,44,13,71,86,85,81,36,75,32,22,23,31,65,10,68,8,69,1,59
r76,88,34,94,50,26,69,57,75,41,64,62,72,56,7,55,63,33,12,27,59,25,49,48,17,9,46,91,18,80,70,21,45,19,0,82,23,8,92,78,29,38,24,22,96,32,65,51,37,67,20,52,95,68,4,6,1,47,44,3,16,66,74,58,43,76,60,40,31,28,77,35,98,97,83,15,90,5,99,86,36,53,11,13,93,39,87,81,89,54,61,85,42,71,30,79,2,73,84,10,14
r55,59,79,20,3,87,48,94,61,53,51,91,46,17,43,32,9,4,64,76,31,65,82,27,2,36,62,63,22,5,77,80,66,70,41,49,57,24,97,68,67,73,34,21,71,52,99,93,6,1,44,45,55,37,8,16,30,85,38,81,15,95,90,40,7,75,47,83,18,54,14,10,58,12,39,96,72,56,60,88,25,50,84,33,98,26,69,23,74,42,19,78,86,92,89,13,35,0,28,29,11
r97,20,92,11,24,29,61,36,57,22,41,18,1,74,45,21,54,9,46,50,78,37,81,13,62,77,76,4,68,60,2,66,72,48,98,14,25,59,52,49,40,39,31,34,15,16,70,43,17,85,6,12,56,63,51,87,35,10,64,88,26,86,99,7,5,42,58,27,19,3,94,73,80,82,71,67,47,97,55,38,95,65,79,28,8,33,53,84,90,75,91,44,32,96,30,69,0,23,89,93,83
r29,51,49,53,93,56,54,52,22,35,39,77,31,18,40,95,14,27,61,92,12,34,46,42,11,91,30,80,55,38,66,36,48,82,88,19,70,85,58,73,68,4,89,64,3,6,74,69,76,63,2,17,41,28,45,20,44,43,33,32,50,23,21,15,72,47,96,13,98,1,81,90,78,71,7,59,9,25,0,5,67,57,10,97,8,60,79,24,83,99,16,87,62,84,26,75,86,29,65,37,94
r35,94,26,47,58,95,75,3,40,41,56,12,85,9,5,72,93,97,73,8,54,49,53,79,69,36,57,38,39,37,64,74,60,35,81,52,92,48,32,91,45,68,7,98,29,1,43,77,22,19,30,59,89,6,63,61,27,13,14,20,86,44,88,55,83,16,0,11,33,46,80,42,76,2,50,84,18,28,87,4,31,70,66,15,17,82,90,65,96,62,78,25,24,23,51,21,99,67,34,71,10
r8,29,15,22,84,63,86,77,53,60,65,4,59,14,42,37,48,28,12,71,90,62,46,25,64,30,19,79,54,97,92,76,67,2,47,36,6,56,96,31,69,33,70,7,78,17,57,43,18,51,81,91,73,61,9,58,10,66,24,44,21,40,80,0,5,72,68,11,93,45,89,35,41,13,39,8,27,34,74,88,16,26,75,82,55,95,20,38,83,32,85,98,50,3,99,87,52,23,49,94,1
r92,72,12,64,22,6,94,34,45,57,32,93,38,8,97,21,40,44,37,95,68,51,36,3,87,15,70,4,85,10,62,18,0,43,33,24,39,67,81,2,1,98,5,49,56,84,88,55,59,29,16,82,48,20,42,83,73,90,86,60,69,96,19,13,71,58,52,17,30,61,35,80,53,47,27,25,54,50,75,9,46,41,11,23,77,99,14,31,28,91,78,63,76,79,26,65,89,92,74,66,7
r31,6,20,72,28,92,26,70,77,27,3,94,61,96,73,2,66,11,60,71,40,69,59,75,58,56,86,10,45,62,37,55,33,16,87,12,41,52,24,17,48,42,83,97,31,5,91,25,38,47,46,84,1,8,64,36,68,76,81,53,14,93,57,74,99,4,39,54,35,19,9,67,95,63,51,85,23,65,82,15,98,49,18,30,88,22,44,50,43,21,80,34,29,90,0,7,89,78,32,79,13
r70,41,8,99,63,79,50,4,48,87,78,77,14,84,94,98,70,62,34,16,15,7,24,28,9,13,32,59,30,67,10,1,93,11,80,35,73,19,29,76,64,39,37,2,74,47,83,60,51,46,65,26,27,56,20,49,85,54,81,18,69,86,97,42,5,66,89,88,68,61,43,45,38,36,58,40,21,82,91,3,57,71,75,44,12,25,22,33,95,90,31,6,23,96,53,52,72,0,92,55,17
r25,92,98,0,95,18,67,11,4,69,28,51,49,72,90,57,41,70,32,19,65,9,6,13,84,63,94,34,83,3,42,61,80,81,68,43,27,21,25,99,17,60,30,59,71,79,46,77,8,88,85,38,52,23,50,58,53,82,16,64,74,78,2,7,54,93,40,91,14,66,39,87,29,89,5,36,62,20,76,15,35,48,12,45,47,44,86,55,1,24,33,56,10,73,31,97,75,22,26,96,37
r41,62,89,3,58,87,23,12,95,28,77,22,69,21,5,59,75,70,24,11,73,1,93,27,83,64,50,52,42,31,54,85,71,84,63,74,13,2,49,36,30,86,66,78,15,38,9,81,35,19,92,80,98,48,32,16,14,10,44,82,65,0,90,41,60,91,57,79,94,97,68,53,37,96,4,33,55,18,17,43,47,46,99,8,88,25,45,6,29,72,51,67,7,40,34,39,26,76,20,56,61
r66,64,71,57,96,7,47,49,97,10,11,0,17,34,58,13,32,35,95,23,27,20,29,55,22,75,69,4,8,91,1,78,39,16,81,89,76,19,52,86,93,50,74,15,2,84,59,37,73,87,65,25,80,63,45,68,98,99,56,70,14,5,40,30,77,42,83,66,43,60,33,31,36,9,12,53,62,41,67,85,44,46,51,90,28,3,26,72,48,61,6,94,54,21,82,18,38,92,24,88,79
r96,36,52,66,76,30,83,47,9,75,71,73,24,99,59,65,98,33,29,2,80,40,34,7,95,62,10,11,72,55,19,94,79,92,39,21,46,35,85,69,51,60,54,91,37,42,84,70,48,93,26,1,87,88,6,31,64,13,81,89,25,78,44,4,58,12,8,0,67,15,16,23,77,32,14,97,43,3,45,17,63,90,57,82,49,41,22,61,38,53,28,74,27,96,86,20,18,56,50,68,5
r36,14,7,73,51,63,84,22,61,27,44,98,54,10,77,68,53,78,4,76,72,64,79,24,11,62,37,9,15,47,39,46,69,57,42,3,40,94,93,97,95,28,50,41,21,5,70,34,48,96,13,0,43,89,38,52,74,88,25,6,19,17,16,35,20,75,49,81,36,59,30,45,1,55,32,91,33,87,85,60,18,92,58,67,23,82,2,12,71,8,90,26,86,83,29,31,66,65,80,99,56
r90,45,65,20,52,12,39,94,75,56,88,84,83,61,77,11,47,49,54,58,35,74,21,29,1,38,0,25,17,15,48,82,33,98,16,81,31,3,37,96,41,76,8,72,62,87,68,99,10,55,93,40,92,13,4,46,26,90,66,79,7,9,5,78,30,43,85,91,14,6,36,70,32,19,67,80,57,95,34,51,97,59,89,60,69,73,86,18,64,27,71,2,50,24,63,42,53,23,44,28,22
r48,14,97,11,83,57,38,51,31,25,24,95,9,43,4,7,2,69,27,44,26,72,48,20,13,40,70,0,34,62,92,74,55,5,76,35,16,1,93,37,60,96,33,78,36,63,49,22,88,66,47,86,73,56,52,81,45,6,46,58,68,87,29,61,53,90,84,67,21,39,65,10,91,71,85,64,79,82,17,8,50,12,54,15,19,28,99,23,80,77,42,59,89,3,75,94,18,98,41,32,30
r100,95,79,42,34,83,48,71,7,31,26,33,8,64,96,92,36,20,61,70,12,2,52,68,6,16,5,39,32,80,66,40,13,19,84,57,22,45,58,41,10,93,89,76,51,63,98,50,21,23,82,91,15,77,88,74,53,73,72,99,3,75,81,54,27,37,4,14,62,94,44,30,28,25,29,18,86,35,1,38,56,46,9,85,17,49,78,11,60,24,97,59,0,87,65,43,67,90,69,55,47
