,d90,d46,d57,d4,d9,d54,d68,d2,d11,d72,d80,d16,d60,d89,d63,d22,d31,d77,d3,d98,d91,d85,d70,d18,d67,d30,d97,d74,d5,d58,d33,d84,d17,d79,d23,d28,d32,d7,d52,d100,d99,d64,d49,d19,d42,d53,d1,d34,d15,d82,d21,d25,d55,d35,d93,d78,d95,d76,d39,d26,d20,d6,d69,d88,d45,d87,d47,d59,d41,d48,d86,d24,d96,d43,d13,d94,d36,d73,d40,d92,d14,d75,d38,d50,d56,d61,d44,d51,d10,d29,d81,d66,d8,d65,d27,d37,d12,d62,d83,d71
r68,92,99,59,54,31,53,66,17,37,69,34,79,4,63,8,89,15,33,41,11,85,38,74,68,52,44,73,91,13,7,49,71,25,61,86,48,43,90,56,45,32,82,80,87,78,65,76,98,77,70,67,84,5,72,9,93,27,64,22,51,10,19,81,88,30,29,50,83,12,2,75,57,97,39,1,24,42,6,95,21,46,58,0,28,23,36,60,35,47,14,18,40,20,62,16,94,96,55,3,26
r55,81,72,61,57,20,91,65,45,70,32,8,21,60,26,41,25,84,3,97,29,39,85,98,68,78,12,88,54,27,24,96,58,5,16,46,93,51,67,38,18,50,28,4,11,73,15,69,53,74,75,35,10,80,1,30,40,79,7,63,95,37,23,55,89,64,66,22,14,44,13,34,59,48,82,2,99,76,43,47,19,31,17,6,77,83,0,94,92,87,90,36,33,49,9,52,71,42,62,56,86
r36,7,27,37,71,8,79,43,82,84,10,78,3,14,57,34,42,54,36,81,88,52,63,67,39,24,51,35,85,49,25,13,59,87,68,22,56,60,73,92,11,46,47,45,18,91,30,17,86,40,96,95,16,4,20,98,55,6,66,9,12,23,64,93,33,38,1,21,62,94,99,53,80,2,77,15,72,83,0,48,5,19,97,75,74,28,70,26,50,29,76,31,65,61,32,90,69,89,41,58,44
r14,34,15,45,82,69,43,46,60,52,63,54,47,90,0,30,50,70,80,81,25,96,64,77,53,88,7,1,27,78,8,93,23,32,14,71,4,83,76,5,49,79,13,91,17,94,9,39,99,38,22,56,97,48,86,2,16,67,58,42,57,66,44,40,73,24,10,95,85,74,26,12,68,61,35,21,20,41,72,62,33,6,92,84,11,75,37,89,28,31,98,19,65,3,29,51,87,59,36,18,55
r16,99,55,46,54,36,16,2,78,48,10,49,27,60,39,89,94,11,91,44,88,12,23,50,31,76,81,9,65,35,37,24,69,34,7,59,22,40,66,63,96,57,93,15,75,38,1,43,45,21,70,87,3,20,4,0,32,64,58,90,13,42,68,47,67,6,74,25,79,41,92,86,52,8,33,28,95,61,73,97,83,62,29,72,51,56,18,26,80,17,71,77,98,85,53,14,84,5,19,30,82
r45,58,68,7,15,0,40,30,54,11,2,32,65,23,71,92,84,99,50,95,36,35,19,93,83,85,46,70,34,61,53,69,42,39,24,79,37,3,51,25,9,63,80,59,72,16,33,60,21,27,10,88,48,62,55,17,29,64,73,41,56,49,57,4,91,97,98,8,13,82,44,87,90,94,78,38,26,81,31,75,89,77,52,96,66,74,67,6,18,20,47,86,28,5,45,14,1,12,22,76,43
r47,65,89,58,93,40,36,52,68,51,55,71,54,78,42,12,22,11,2,50,84,41,97,18,4,15,20,29,9,96,60,62,28,75,30,24,21,33,14,63,8,92,16,49,26,76,37,25,69,98,13,35,32,27,47,91,85,3,80,88,43,73,45,19,44,53,70,67,17,81,83,90,31,34,79,10,59,1,95,66,74,61,0,57,82,99,23,6,86,38,46,64,7,56,94,77,72,87,5,39,48
r46,6,13,15,32,53,16,88,25,95,65,9,51,18,63,46,79,10,28,64,22,82,89,39,52,0,37,34,80,2,97,43,70,72,71,44,30,3,85,21,73,59,19,67,50,98,29,20,12,48,75,91,35,94,54,78,55,38,56,60,86,74,68,33,27,92,61,58,69,8,4,23,45,49,11,7,62,47,40,36,41,99,83,31,1,93,24,17,81,26,84,42,57,87,14,76,66,5,90,96,77
r2,7,36,77,94,56,86,38,35,14,34,28,24,23,90,72,10,75,89,11,0,47,85,81,67,99,46,2,70,18,93,79,15,87,51,88,1,5,49,40,44,92,64,3,74,80,30,27,52,50,91,60,57,9,4,41,98,73,6,62,61,48,22,82,42,8,26,66,63,71,39,32,96,83,37,58,13,69,55,65,43,16,20,95,25,84,78,59,54,17,21,33,97,31,53,45,76,12,29,68,19
r54,27,7,76,18,99,75,65,23,92,53,34,81,17,6,51,36,80,77,38,64,4,10,29,44,49,78,68,90,79,21,85,55,91,54,74,11,83,28,60,19,63,15,95,37,5,40,93,70,13,96,0,87,67,2,59,62,86,8,66,72,89,48,14,39,42,82,41,97,25,24,16,46,45,98,3,71,56,52,47,43,30,50,61,33,35,9,1,26,20,57,32,84,12,58,31,88,69,94,73,22
r48,72,33,5,73,12,64,95,26,10,8,92,18,78,67,61,37,96,60,50,34,7,45,48,27,44,79,97,46,52,38,14,49,56,15,63,87,31,40,66,82,30,20,32,22,80,93,85,75,0,91,11,81,42,23,13,6,55,47,86,51,58,16,70,3,53,41,17,71,65,98,59,21,68,74,89,84,90,94,36,62,9,83,25,77,35,69,28,4,57,88,2,54,19,29,39,99,24,43,1,76
r99,7,80,42,61,53,72,64,3,89,23,77,9,24,92,40,70,54,18,20,85,59,27,14,32,44,86,11,78,67,22,19,82,88,43,65,21,52,56,35,8,36,68,95,90,76,33,45,30,98,39,31,96,5,34,58,47,25,57,12,60,97,73,6,46,83,99,62,69,74,29,41,2,55,75,63,51,10,84,66,50,48,81,4,15,87,13,49,37,93,79,26,1,16,91,0,71,17,38,94,28
r23,92,97,17,0,75,50,29,58,78,35,16,45,93,8,38,61,36,31,19,80,47,26,1,41,60,43,52,91,7,28,57,23,87,39,64,30,63,95,74,42,27,2,34,46,90,71,13,49,68,44,84,82,62,25,37,40,88,96,11,65,73,85,55,12,76,21,67,14,83,54,81,24,22,15,3,77,98,86,66,20,53,4,51,5,99,10,9,18,59,48,32,79,94,69,33,89,70,6,56,72
r10,60,3,82,13,14,72,30,44,37,90,19,50,9,6,31,76,81,5,12,35,96,70,71,91,42,66,52,63,79,97,98,99,64,40,75,73,55,48,0,32,83,34,95,18,57,26,27,36,93,23,53,22,85,54,84,17,65,8,43,89,41,86,49,1,92,88,80,56,20,45,7,68,58,25,24,11,10,51,67,46,2,77,78,29,47,15,21,74,16,87,39,33,59,61,28,4,69,38,62,94
r13,17,58,44,53,3,78,52,72,81,98,97,63,46,86,56,70,10,59,28,51,89,23,1,26,67,31,24,7,6,36,5,65,80,9,73,2,69,21,57,68,41,62,94,29,33,18,96,4,71,49,19,42,22,75,54,39,32,88,60,27,76,66,30,47,11,91,20,77,12,8,90,84,40,16,61,55,38,79,34,14,64,43,0,83,25,35,45,82,87,37,85,92,95,74,93,48,15,99,50,13
r100,4,53,11,49,68,20,76,21,45,67,32,35,93,50,2,90,51,57,19,85,25,78,86,12,82,37,87,65,44,47,70,69,62,42,15,77,73,79,36,66,6,59,16,23,94,56,48,13,80,92,41,14,75,1,7,17,39,72,46,60,18,83,95,28,52,26,31,99,96,88,38,81,54,40,89,71,43,22,5,64,27,30,9,34,91,8,58,24,10,0,61,84,98,74,33,63,55,29,97,3
r60,23,32,25,46,97,95,91,68,52,88,85,11,80,10,8,30,13,99,56,75,26,29,0,22,50,37,94,9,73,47,55,63,92,40,45,59,44,53,64,24,81,86,35,74,69,93,58,33,84,60,90,28,3,43,19,27,2,6,51,16,89,21,7,5,39,38,18,78,65,96,79,71,82,76,34,1,83,98,42,67,12,20,49,31,48,72,36,57,17,66,61,70,4,87,15,62,14,77,54,41
r35,98,21,5,52,74,34,35,13,37,45,58,62,75,25,7,41,57,44,39,20,51,53,48,14,3,49,38,71,1,90,86,65,17,43,91,94,16,83,33,82,32,40,18,63,24,6,42,72,31,64,93,87,10,70,47,11,4,85,15,30,26,8,55,27,68,46,19,50,77,96,60,61,89,67,22,9,54,92,81,95,79,84,97,29,56,23,69,88,73,0,66,28,80,12,78,36,99,76,59,2
r63,55,12,96,75,83,52,20,6,22,72,71,58,88,27,41,1,49,31,37,2,15,99,17,4,80,47,65,73,16,42,10,13,7,60,51,78,93,59,76,85,28,91,53,77,87,84,25,23,3,9,19,40,35,33,29,70,86,90,45,14,34,61,8,92,66,67,30,5,36,98,56,46,50,94,18,38,11,44,82,68,74,24,32,64,62,89,48,54,21,26,63,81,97,95,0,69,39,43,79,57
r84,53,61,77,78,86,39,27,85,69,91,21,99,64,31,29,45,40,49,62,14,25,42,82,37,15,13,83,72,6,2,35,20,58,56,50,48,30,8,75,1,44,89,63,3,95,68,79,81,12,18,26,46,73,57,90,36,5,54,10,33,70,32,80,92,19,16,74,67,11,51,60,87,76,38,43,93,24,41,59,9,65,28,34,47,96,7,97,55,17,4,98,66,23,84,71,52,22,94,0,88
r25,30,71,8,37,22,59,42,38,80,17,96,93,87,76,95,49,11,5,91,34,43,0,70,51,45,68,60,10,53,86,58,62,20,84,65,52,55,63,3,78,75,25,92,56,15,61,40,19,46,26,18,16,13,57,14,48,79,47,6,4,90,9,32,69,12,83,97,66,44,74,89,35,72,88,28,29,50,77,81,27,54,82,7,36,39,41,33,67,23,64,2,85,24,94,73,98,31,1,21,99
r67,64,79,59,55,11,61,22,42,58,41,62,8,10,6,89,54,70,45,92,31,26,78,16,19,72,37,68,66,18,49,12,86,33,34,9,88,99,95,94,24,2,57,75,85,93,69,83,96,21,46,32,81,71,90,20,3,82,47,23,77,60,73,36,38,25,44,15,7,28,84,5,50,51,91,14,63,97,30,29,27,52,74,76,0,56,43,67,1,53,40,13,87,39,17,35,80,4,48,98,65
r7,67,1,87,46,13,31,51,79,42,61,95,27,44,25,28,18,96,33,82,64,98,84,5,57,32,83,12,92,94,30,71,20,63,37,90,21,14,38,15,69,55,91,56,88,47,23,17,66,60,59,97,22,19,68,7,75,4,65,85,48,86,10,76,93,29,45,2,6,58,73,80,89,72,54,99,9,74,49,40,81,53,70,41,0,35,52,16,39,11,62,26,24,78,8,77,34,36,43,50,3
