,d1,d11,d2,d13,d3,d7,d4,d14,d12,d10,d19,d5,d15,d17,d16,d9,d6,d20,d8,d18
r13,9,5,14,1,13,8,2,16,10,0,17,19,3,11,18,6,12,7,4,15
r11,12,18,4,0,16,8,9,10,15,14,19,3,5,13,1,6,17,2,11,7
r7,7,14,5,9,17,15,10,19,16,18,8,12,0,1,6,4,2,11,13,3
r10,9,0,5,16,19,11,13,18,6,3,8,10,14,7,15,12,17,2,1,4
r17,10,11,13,4,2,8,12,5,16,15,18,7,0,9,17,3,1,14,19,6
r12,5,8,1,17,19,2,9,6,14,12,18,0,10,15,11,13,16,3,4,7
r2,15,4,17,0,3,8,19,12,2,9,6,14,10,13,1,5,11,16,18,7
r18,15,11,4,0,12,5,8,14,18,9,10,6,3,16,7,13,19,17,2,1
r15,5,9,16,11,7,6,12,15,3,10,18,8,13,4,2,14,1,19,0,17
r6,16,5,14,19,1,7,13,2,6,0,18,8,15,12,3,4,10,9,11,17
r14,10,4,11,14,17,8,18,19,12,3,0,1,16,9,6,13,15,7,2,5
r16,3,14,18,8,13,17,9,11,7,5,4,10,0,15,6,2,16,12,19,1
r19,15,10,3,0,17,12,9,2,14,1,13,16,18,5,7,11,4,8,19,6
r8,8,16,9,15,18,3,13,0,17,1,2,5,10,19,11,14,7,6,12,4
r1,9,4,11,0,3,15,14,1,13,7,2,17,12,6,5,8,19,16,18,10
r9,14,11,4,9,0,12,16,10,1,18,19,2,15,3,5,6,8,7,17,13
r20,19,0,17,1,3,4,15,7,16,5,14,13,9,2,18,8,6,12,10,11
r5,2,18,16,3,13,17,8,12,19,15,4,7,14,9,11,6,10,1,5,0
r4,12,19,16,10,15,1,5,13,6,4,7,9,18,3,0,11,17,8,14,2
r3,14,19,16,3,17,0,6,9,18,7,15,2,4,12,5,10,1,13,11,8
