,r44,r25,r49,r39,r84,r15,r13,r70,r29,r36,r62,r92,r99,r17,r85,r83,r78,r89,r21,r45,r97,r31,r1,r26,r88,r55,r82,r96,r57,r16,r47,r69,r30,r100,r93,r65,r35,r27,r20,r23,r68,r2,r4,r40,r8,r41,r61,r95,r50,r5,r10,r90,r43,r24,r73,r54,r75,r22,r94,r32,r52,r79,r18,r64,r33,r19,r72,r98,r56,r58,r48,r80,r71,r63,r87,r53,r81,r60,r74,r86,r67,r7,r91,r76,r6,r38,r37,r77,r3,r28,r12,r9,r46,r11,r51,r34,r42,r14,r66,r59
d63,69,39,47,4,8,76,97,54,9,21,60,87,6,72,18,2,66,37,62,59,29,1,98,44,91,17,34,99,96,38,10,36,43,65,41,45,42,95,85,14,24,48,30,57,79,26,32,23,68,73,12,52,77,53,5,7,89,56,19,50,70,64,88,81,13,84,67,35,75,83,78,82,16,28,86,46,74,94,15,51,40,33,27,61,90,93,3,80,25,71,0,63,22,49,92,58,31,20,11,55
d17,32,35,53,17,5,18,15,91,89,63,49,58,87,60,67,62,42,70,0,10,66,28,38,80,93,33,96,20,65,8,90,55,71,83,31,36,3,78,37,94,6,21,45,44,77,47,9,81,43,79,61,85,50,57,46,12,98,56,39,97,16,88,75,82,26,92,14,24,59,74,34,11,54,99,41,19,7,73,52,69,29,72,64,22,84,30,48,68,95,4,1,27,40,23,86,2,51,25,13,76
d20,15,76,29,93,12,86,48,63,34,88,69,68,81,40,60,20,8,6,38,59,79,33,83,95,89,17,11,27,57,22,24,53,84,49,21,9,13,51,55,91,99,4,10,7,97,74,85,46,2,18,44,54,32,58,94,31,0,37,23,71,28,90,45,5,70,43,25,67,64,52,62,98,41,96,92,35,77,3,26,72,75,36,73,61,80,30,66,14,39,47,19,50,1,42,16,56,65,82,78,87
d51,80,30,97,93,69,66,3,4,75,65,96,46,8,21,38,14,82,68,0,81,11,36,89,39,41,61,22,6,64,52,79,78,12,77,95,43,9,5,91,88,15,17,59,94,25,49,20,57,1,19,18,55,85,51,60,54,23,26,13,48,72,35,44,34,71,29,40,47,70,86,62,92,42,27,7,2,10,53,90,45,98,74,28,32,31,63,16,83,99,58,50,87,73,24,84,37,56,67,33,76
d34,89,5,78,22,49,63,29,97,6,74,83,67,88,18,94,27,21,39,23,60,90,86,38,92,11,34,91,87,69,57,19,55,47,65,43,71,96,37,84,75,81,30,68,61,82,72,76,20,15,9,93,41,98,8,0,46,12,26,45,48,24,32,64,54,7,16,59,85,4,36,31,80,52,40,13,28,44,62,35,79,77,95,1,53,33,58,14,17,51,42,70,56,99,66,73,3,10,25,50,2
d88,93,82,90,16,8,83,26,65,7,10,15,34,12,39,55,27,74,95,19,61,99,91,89,20,33,53,66,4,75,51,9,23,31,22,5,85,17,28,18,80,73,0,49,13,24,60,46,67,72,96,2,36,78,1,54,44,87,69,76,56,94,43,30,50,88,58,41,59,25,47,38,79,14,48,77,52,64,86,92,97,63,45,57,37,98,21,32,29,40,6,81,71,70,68,3,84,62,11,42,35
d26,53,13,21,18,97,85,77,24,71,37,43,61,83,49,3,68,73,62,79,0,57,60,20,46,42,39,80,64,91,47,2,52,56,59,66,5,89,6,15,26,94,92,12,87,63,93,90,28,98,9,38,48,96,45,10,34,14,8,82,84,65,81,29,86,33,58,70,72,31,99,36,55,75,16,78,51,22,35,32,54,23,95,67,4,1,44,50,41,25,69,74,11,88,30,76,7,19,40,27,17
d73,52,16,47,99,23,11,14,34,77,37,92,26,98,73,22,4,71,64,15,72,55,20,13,24,25,9,50,5,81,84,79,40,10,67,0,18,62,68,54,66,36,61,32,30,69,38,94,65,82,80,39,88,96,1,41,95,76,59,63,45,83,49,87,31,19,46,8,27,35,3,53,43,86,44,56,89,70,57,90,78,48,17,93,12,42,2,97,28,75,85,60,6,58,21,91,29,7,74,33,51
d91,63,32,62,28,7,87,23,52,45,12,93,64,41,8,66,96,92,39,48,38,22,24,65,26,1,89,97,81,69,77,61,15,71,21,73,84,34,91,46,14,9,68,29,47,86,4,59,49,72,35,94,88,70,27,76,0,2,19,18,25,20,85,78,42,37,57,90,33,51,11,6,74,67,53,75,95,10,82,44,58,3,13,99,30,56,40,60,50,98,79,31,36,55,54,80,43,16,5,17,83
d14,4,96,76,36,33,9,5,49,57,91,29,17,37,50,84,80,74,3,13,32,60,69,58,12,85,79,1,61,86,92,95,43,51,78,94,54,21,66,20,83,30,16,87,53,89,99,64,40,63,39,97,25,73,31,8,98,71,26,41,68,81,38,46,44,82,52,15,0,88,27,48,28,34,65,24,62,72,7,56,11,18,67,10,77,55,23,90,75,2,45,47,42,35,70,59,19,6,93,22,14
