,r45,r86,r49,r82,r22,r36,r73,r75,r88,r33,r43,r40,r7,r56,r63,r5,r94,r59,r1,r67,r100,r91,r8,r87,r24,r85,r58,r42,r23,r12,r13,r77,r50,r14,r17,r15,r66,r20,r71,r18,r4,r89,r93,r80,r51,r11,r41,r55,r21,r29,r99,r27,r78,r81,r30,r68,r35,r26,r92,r62,r9,r2,r57,r48,r47,r64,r3,r31,r69,r72,r44,r54,r37,r83,r60,r53,r76,r25,r95,r74,r98,r52,r28,r38,r97,r61,r6,r32,r79,r34,r90,r10,r96,r84,r65,r39,r19,r16,r70,r46
d62,46,69,61,47,74,94,49,3,79,82,95,70,31,11,65,73,64,72,71,98,76,36,59,38,25,50,77,91,21,51,92,40,30,96,45,84,54,27,5,62,24,87,26,34,18,56,86,99,17,89,90,43,88,33,1,22,44,6,2,14,7,35,12,32,41,29,9,19,57,53,0,23,55,42,8,52,39,81,10,13,16,67,4,68,20,93,48,66,97,78,28,60,80,37,15,75,83,85,63,58
d94,62,24,88,81,92,90,12,78,99,79,61,93,3,20,7,4,22,45,13,59,48,85,70,11,46,95,34,5,29,98,60,73,31,54,91,8,56,35,72,25,75,38,69,43,86,76,87,63,89,28,1,18,58,10,50,66,14,30,42,17,82,40,36,94,83,6,0,19,47,21,39,71,44,23,64,32,65,67,49,68,84,97,15,26,2,9,53,37,41,80,52,51,33,74,16,77,57,27,96,55
d55,7,52,73,11,25,23,94,96,0,8,5,3,12,56,49,39,79,24,55,21,83,41,65,16,46,76,59,72,66,58,4,63,80,87,60,86,77,20,84,81,26,99,37,36,13,85,75,22,35,17,64,30,91,54,34,27,14,92,82,44,29,62,74,88,19,97,6,51,69,1,38,43,71,98,53,10,90,15,45,48,78,95,42,18,50,57,93,68,33,47,40,70,89,2,28,32,61,67,9,31
d89,94,16,95,4,27,6,92,99,35,21,32,85,81,79,89,42,76,45,8,63,55,82,93,84,33,91,49,22,12,11,9,66,44,80,52,7,18,39,77,38,61,96,48,70,74,72,1,26,43,98,31,0,24,54,51,47,3,30,23,87,37,40,57,62,68,10,53,75,86,28,69,41,2,17,88,64,97,78,5,67,36,83,20,65,34,90,13,50,15,73,60,71,58,46,25,14,56,29,59,19
d30,18,98,99,20,19,49,16,81,84,50,4,51,88,14,9,24,27,61,56,22,26,63,0,92,82,93,78,17,2,7,70,97,94,48,42,40,8,47,66,41,13,53,60,57,1,69,58,33,62,55,28,39,45,21,6,74,15,43,73,52,10,38,87,37,76,85,44,96,64,54,11,68,71,3,83,59,34,75,25,36,65,86,5,29,77,79,32,67,46,31,72,89,90,12,35,91,23,80,95,30
d76,49,68,88,29,27,37,61,22,75,70,6,17,25,82,13,64,83,10,53,90,92,41,65,2,63,72,77,50,9,84,42,86,57,34,19,38,56,59,8,69,87,40,39,15,5,30,18,48,95,66,3,23,36,81,74,46,32,54,47,24,52,76,58,14,0,96,98,85,80,91,79,44,12,97,71,89,28,43,93,35,99,7,45,55,94,60,21,73,31,4,26,11,67,16,33,62,1,20,51,78
d61,75,86,37,45,26,61,33,60,2,58,38,62,3,72,53,73,83,89,20,66,30,52,63,95,16,51,27,11,69,84,5,67,93,36,71,21,48,79,56,13,7,81,8,98,15,46,19,41,64,22,4,76,70,97,90,68,32,78,34,39,31,55,85,59,40,54,10,96,99,35,24,1,29,91,82,57,65,12,23,0,44,80,49,25,17,87,94,74,88,77,18,47,92,6,43,28,50,42,14,9
d63,99,71,83,17,49,6,43,32,15,24,61,69,55,8,1,63,56,80,36,67,58,60,86,14,27,76,53,45,19,88,65,74,4,79,64,34,54,91,39,40,23,96,26,50,89,97,9,94,42,44,70,92,21,2,5,95,28,35,20,10,37,38,62,29,77,46,16,52,73,22,41,59,3,0,7,87,75,82,51,31,30,57,72,93,66,84,81,11,47,48,78,18,12,68,98,33,13,25,90,85
d85,23,57,46,98,34,40,75,54,89,85,36,39,4,29,7,3,6,82,79,83,24,73,76,74,22,26,94,61,1,70,30,12,28,44,69,77,68,27,64,13,84,41,45,81,52,20,90,55,10,16,95,25,35,91,97,71,11,63,72,47,67,60,80,65,53,38,78,21,99,96,9,92,43,66,56,32,50,14,86,18,8,0,37,48,51,42,19,15,49,88,58,59,93,31,2,87,33,17,62,5
d68,75,84,99,55,40,64,41,39,69,6,91,20,50,76,85,52,66,0,21,81,60,72,58,88,26,35,10,29,46,23,89,34,53,82,78,62,3,14,98,16,28,48,57,36,19,27,44,12,4,17,80,77,11,93,68,83,22,33,97,18,43,94,32,87,49,42,79,95,24,90,13,67,45,65,73,70,92,56,54,71,51,30,61,38,1,25,8,5,47,74,59,31,9,37,96,2,63,7,86,15
d39,91,0,55,34,4,14,52,32,87,47,46,66,33,44,28,64,77,40,29,18,57,71,69,72,22,26,93,74,17,20,24,98,35,23,27,9,76,89,2,50,48,58,53,31,54,3,78,12,49,90,92,99,60,94,5,51,80,19,95,6,62,73,67,63,1,37,75,8,81,83,13,56,84,43,30,45,39,82,38,61,11,21,25,70,85,86,41,65,10,96,7,79,97,36,59,88,15,42,16,68
d74,70,97,26,79,62,8,13,71,1,93,36,88,38,65,40,17,4,23,68,9,92,29,64,3,60,94,20,53,22,18,46,14,98,67,74,82,96,81,44,56,54,99,37,91,5,2,19,39,51,90,50,59,89,16,86,41,58,12,6,77,72,42,32,52,45,49,78,76,73,47,57,31,24,25,61,63,7,35,95,27,15,21,87,48,34,55,33,84,10,75,83,0,66,69,43,85,80,11,28,30
d82,86,74,20,53,76,99,41,17,71,65,32,38,33,46,95,10,94,72,64,14,27,13,80,82,19,57,97,37,26,98,29,6,18,90,78,62,3,68,63,81,5,70,96,77,91,83,45,79,58,16,36,28,43,89,66,54,23,42,60,25,31,61,39,47,87,21,40,9,0,50,92,67,7,15,85,59,8,49,75,55,73,52,88,24,93,22,30,1,69,12,4,34,35,51,48,2,56,11,84,44
d100,65,14,48,71,94,15,37,25,91,33,10,20,41,26,42,55,86,5,76,2,79,17,87,58,61,54,75,73,39,29,6,82,12,11,18,24,40,83,78,44,85,80,63,77,93,64,49,28,59,68,66,74,0,81,21,36,98,70,57,35,43,19,31,38,51,99,69,27,90,96,53,30,56,4,72,46,92,60,50,32,7,47,67,23,52,89,13,16,34,88,84,9,62,95,1,45,8,97,3,22
d81,48,58,12,75,24,10,1,95,74,77,98,89,92,33,73,63,39,83,59,90,78,53,57,72,34,52,61,18,40,23,28,14,85,65,97,26,47,99,21,37,79,86,66,54,60,42,4,44,93,46,80,55,87,88,15,36,67,19,56,3,27,30,20,91,82,29,22,2,6,17,69,94,11,84,96,9,41,50,81,45,13,64,51,38,8,16,71,31,32,5,0,7,76,49,43,70,62,35,25,68
d95,79,32,63,64,97,47,50,95,59,78,28,30,73,41,24,70,52,60,89,77,21,13,71,22,81,44,69,26,2,3,31,23,10,62,19,87,27,0,8,57,88,86,25,99,48,20,49,1,4,56,68,35,38,36,6,84,66,85,75,67,17,14,33,29,51,74,82,18,61,37,53,91,96,9,98,90,42,15,92,94,65,45,46,76,34,93,5,43,83,39,58,80,11,16,72,12,55,7,40,54
d37,78,71,20,69,40,52,9,94,32,88,25,21,1,47,44,39,19,92,0,42,37,73,14,17,16,93,83,68,36,62,79,33,72,41,24,3,81,2,23,98,49,70,82,89,86,57,31,87,28,55,48,51,66,54,75,13,27,97,11,63,60,43,12,35,91,15,95,46,50,45,29,64,18,61,22,53,96,38,26,99,77,34,30,7,76,8,4,85,59,58,90,56,74,5,10,84,80,67,65,6
d84,15,85,87,7,4,78,73,94,1,63,55,62,30,29,71,64,27,65,16,12,18,47,81,86,72,54,32,67,98,26,79,52,22,66,38,11,49,83,68,88,40,84,39,95,36,42,19,61,58,97,37,89,35,93,5,99,13,56,31,90,60,91,34,0,33,23,45,51,10,82,24,96,77,76,53,74,14,50,59,41,43,44,21,3,9,46,80,57,25,6,17,75,28,70,20,8,48,2,92,69
d36,80,61,33,23,70,13,48,38,47,55,59,58,83,84,0,54,43,51,57,25,68,94,19,32,41,81,15,18,26,79,8,1,30,66,71,85,98,12,17,65,5,11,96,50,53,14,10,36,22,3,63,69,86,92,52,42,88,91,82,89,56,34,44,60,45,29,74,40,72,64,35,16,90,2,67,73,21,87,24,99,7,27,78,75,37,76,31,95,20,46,9,6,4,97,28,62,39,49,93,77
d15,71,58,33,5,79,54,59,4,96,55,8,77,27,95,30,16,83,73,94,68,61,62,49,24,98,7,21,3,53,84,66,11,89,52,40,26,31,67,41,2,90,23,60,76,64,85,63,81,87,18,19,29,34,86,42,20,69,6,35,14,15,38,43,97,82,0,39,13,22,1,99,45,57,17,50,51,91,10,70,32,36,46,28,88,9,47,75,12,56,80,74,65,78,44,72,48,25,92,93,37
d47,49,89,9,92,63,12,31,62,56,22,60,75,18,36,90,71,95,55,7,48,43,81,78,94,20,61,58,37,77,26,39,57,19,32,29,46,91,85,86,76,72,5,50,65,66,96,11,45,16,41,27,99,54,82,42,93,98,51,3,0,74,2,35,33,68,1,40,53,97,30,24,4,25,79,38,87,52,8,34,10,67,13,83,23,44,80,84,6,70,15,28,59,47,73,69,64,14,88,17,21
d80,95,31,15,11,24,76,52,64,18,89,17,43,59,10,1,96,57,97,82,7,92,14,39,72,5,49,74,33,68,77,71,34,69,4,44,36,86,85,46,25,28,48,42,75,79,37,40,87,99,32,73,2,26,51,66,94,60,70,20,38,12,9,98,67,83,47,29,62,54,16,63,0,81,23,41,3,50,19,6,91,78,35,88,22,55,93,45,61,80,30,53,27,13,84,65,90,58,21,56,8
d33,97,5,65,82,55,10,63,70,59,67,46,92,6,69,8,86,29,56,25,21,32,90,47,27,77,26,24,45,51,40,38,73,71,58,87,93,80,0,17,18,11,60,35,7,98,50,12,2,49,20,76,39,81,75,72,33,28,43,15,22,31,44,95,96,68,4,99,30,14,3,1,89,42,53,16,64,83,61,66,62,85,23,37,94,13,19,48,79,54,78,36,57,41,52,74,34,91,9,88,84
d96,54,72,86,53,48,55,47,39,71,37,92,50,19,90,5,88,13,75,52,66,32,31,42,35,1,93,25,23,59,45,80,16,96,11,64,7,69,63,74,2,27,62,81,73,46,79,56,78,8,67,21,17,83,9,28,57,98,89,20,82,33,60,30,38,61,94,4,0,36,87,68,29,65,41,24,97,22,12,58,95,26,76,85,15,43,99,51,10,14,77,84,44,34,3,91,6,18,40,49,70
d97,90,21,11,4,91,16,71,56,93,77,64,50,44,30,37,70,18,38,87,69,49,53,88,60,29,7,43,41,67,92,55,8,14,32,5,72,0,31,34,68,63,82,75,81,40,51,3,59,23,84,74,15,94,66,36,10,95,83,24,98,96,76,61,62,79,19,78,25,22,97,99,1,57,39,13,47,17,33,6,46,27,9,28,89,52,2,85,65,12,86,42,54,35,26,48,45,73,20,58,80
d66,25,96,82,54,99,5,76,7,87,36,72,40,16,85,38,59,21,71,58,83,69,66,45,0,63,8,52,4,26,6,68,90,81,46,56,1,19,89,44,97,74,70,61,60,10,9,47,11,94,12,48,84,95,2,34,86,43,15,13,53,37,98,73,14,67,78,50,39,3,55,62,20,18,77,27,28,31,51,22,88,41,92,64,32,24,23,75,29,17,30,80,49,65,57,93,79,33,91,42,35
