,r10,r7,r4,r20,r16,r13,r2,r19,r11,r15,r18,r14,r17,r9,r8,r5,r12,r1,r3,r6
d5,5,9,17,16,2,8,13,7,12,19,14,3,4,18,10,11,0,1,15,6
d11,14,17,12,13,1,5,3,8,6,7,16,18,11,19,2,10,9,0,4,15
d17,3,0,15,10,13,9,17,5,12,6,11,18,1,2,14,16,4,7,19,8
d4,16,10,6,9,14,7,5,1,3,19,13,4,17,8,2,18,11,0,15,12
d9,0,5,11,14,2,18,16,13,12,19,4,10,6,1,17,15,3,7,8,9
d20,2,3,9,16,18,12,19,5,17,13,15,14,6,8,4,0,1,10,7,11
d16,10,3,0,17,4,6,5,18,14,16,19,2,8,12,15,13,9,11,1,7
d1,11,12,13,3,0,6,1,5,16,19,8,9,4,17,10,2,18,14,15,7
d19,7,11,0,14,12,15,3,5,13,1,4,17,2,18,10,19,6,16,8,9
d13,11,0,5,1,7,6,12,13,16,17,10,15,9,4,2,14,8,3,18,19
d12,3,11,17,7,4,18,0,2,13,6,5,15,10,12,14,8,19,16,9,1
d3,14,1,8,6,9,4,19,3,2,11,5,13,7,10,16,12,17,18,15,0
d14,11,15,7,8,18,19,14,4,5,6,16,17,0,9,10,13,1,3,12,2
d8,9,14,18,15,5,1,16,2,10,12,13,8,19,11,7,3,0,6,17,4
d7,7,15,17,16,18,1,5,11,14,9,6,0,19,4,8,3,2,13,12,10
d10,16,12,4,11,18,7,10,3,17,14,19,9,2,6,0,8,13,5,1,15
d15,1,6,13,9,2,12,3,15,16,5,8,11,4,17,0,19,14,18,7,10
d2,13,1,10,6,8,18,2,9,14,12,16,0,17,3,7,19,15,11,5,4
d6,4,2,18,17,0,15,11,14,9,3,8,10,13,7,1,6,5,19,16,12
d18,17,7,1,11,6,2,15,8,3,0,9,4,13,16,12,14,18,19,5,10
