,r40,r12,r56,r95,r33,r59,r30,r97,r81,r4,r2,r6,r20,r88,r45,r85,r43,r32,r62,r100,r83,r13,r11,r7,r73,r24,r66,r48,r65,r38,r90,r27,r1,r35,r68,r31,r63,r26,r80,r53,r86,r98,r77,r46,r67,r71,r21,r79,r28,r52,r74,r5,r50,r76,r3,r29,r41,r22,r8,r36,r87,r94,r58,r60,r93,r14,r44,r9,r89,r42,r15,r34,r39,r10,r84,r16,r37,r55,r82,r72,r54,r18,r17,r75,r78,r96,r19,r61,r69,r25,r92,r23,r70,r99,r64,r47,r57,r91,r49,r51
d89,75,69,43,86,37,87,77,51,99,32,82,41,13,90,81,35,26,31,12,36,7,76,15,67,34,52,24,78,56,93,39,10,74,97,48,80,63,57,40,6,27,64,42,3,58,55,83,14,1,54,5,30,17,18,72,88,73,61,33,62,68,89,21,49,85,50,22,94,71,9,96,11,47,60,79,19,91,70,92,66,84,2,38,46,23,98,45,53,0,16,95,28,44,65,4,8,29,59,20,25
d81,86,78,13,25,54,62,60,80,79,26,19,70,18,58,66,17,7,12,2,39,35,51,43,53,47,37,67,91,73,89,88,96,31,63,56,8,65,40,1,14,36,75,23,76,9,55,98,28,49,97,94,38,33,4,42,59,48,95,71,11,32,50,10,20,29,85,77,82,57,30,83,41,34,3,90,15,87,92,44,69,6,27,46,61,72,64,45,74,81,99,24,52,5,68,93,21,84,22,16,0
d60,4,23,10,38,48,76,77,25,3,49,99,35,92,75,66,85,68,14,17,98,43,93,41,20,52,0,45,37,46,59,44,56,31,24,51,73,74,30,89,8,86,9,95,47,36,55,84,87,22,50,65,61,94,54,15,53,1,6,11,67,5,79,90,16,26,28,12,78,21,29,91,63,57,64,60,72,62,2,81,58,40,70,39,80,18,42,13,32,83,19,71,27,97,33,96,34,82,69,88,7
d18,3,83,57,1,33,63,70,99,76,60,78,21,10,79,91,90,67,94,8,56,66,17,27,62,5,6,89,92,49,72,28,46,82,19,96,84,37,81,86,15,65,88,7,58,20,22,2,30,97,53,85,73,34,55,69,38,44,23,95,54,87,12,26,74,61,71,29,42,16,0,40,31,77,80,98,93,59,11,4,45,35,48,51,68,43,25,13,64,52,50,18,41,47,39,24,14,32,9,36,75
d3,86,49,90,61,37,46,35,43,32,74,87,99,5,18,67,44,4,13,88,25,64,51,21,66,2,45,14,38,98,83,3,55,26,54,96,29,79,84,76,42,65,27,58,8,34,20,19,85,36,63,53,68,73,41,16,7,56,91,15,89,48,22,77,28,97,40,95,80,78,23,9,72,1,47,52,93,60,31,10,69,57,39,12,62,11,59,30,81,75,6,50,94,17,92,82,0,70,24,33,71
d25,74,28,14,50,62,77,55,0,59,42,36,63,87,80,43,32,65,4,60,98,25,20,27,26,73,79,17,56,90,84,37,9,38,89,8,95,85,21,81,40,16,83,7,52,15,86,19,96,45,24,48,67,88,82,6,18,5,23,1,54,29,58,70,64,30,57,91,99,76,72,22,71,75,39,10,12,94,69,13,51,41,33,66,34,46,92,97,44,35,68,78,53,3,47,49,61,2,31,11,93
d24,17,98,49,13,10,86,63,4,11,54,55,90,61,22,42,31,20,1,73,41,47,93,27,69,39,95,16,34,56,82,2,18,81,38,64,71,21,91,72,32,88,77,6,35,37,51,65,33,5,76,50,94,96,84,26,25,53,99,15,83,43,3,62,28,19,70,78,87,14,8,68,75,59,24,79,58,48,67,46,7,60,45,80,40,85,89,52,36,12,57,9,74,30,0,97,44,66,29,92,23
d7,2,39,81,3,51,60,33,12,85,49,62,93,72,38,90,44,24,82,22,58,16,94,74,34,99,71,69,13,55,29,25,97,59,41,65,15,66,17,37,53,46,36,23,10,89,30,54,79,28,86,84,32,9,98,77,35,20,83,0,87,5,96,43,42,56,50,7,31,61,4,78,6,21,68,70,75,80,76,57,40,67,63,48,45,11,14,64,92,47,18,1,19,27,26,91,52,95,88,73,8
d65,19,27,84,68,57,99,16,63,34,35,73,39,55,36,32,92,74,20,23,6,43,22,75,53,80,87,65,10,77,81,41,61,67,52,8,45,37,30,69,51,58,56,17,70,50,33,38,89,78,62,72,7,44,9,79,4,64,12,96,28,3,18,76,94,1,31,85,60,54,21,93,48,71,13,5,11,2,97,86,46,59,25,90,14,95,83,26,42,82,0,98,15,91,29,88,40,66,49,47,24
d41,35,43,66,80,29,59,44,11,32,81,78,16,3,48,91,72,10,7,21,28,39,9,20,56,36,17,31,6,92,4,65,60,97,88,70,38,57,14,64,40,5,0,95,67,2,50,73,79,54,85,94,1,63,93,96,53,86,62,71,75,30,69,19,25,23,98,47,26,90,45,82,61,87,99,51,33,24,13,49,83,68,77,15,18,55,58,89,42,22,27,46,12,74,84,37,41,52,8,76,34
