,r89,r94,r3,r52,r42,r86,r83,r8,r49,r13,r97,r46,r9,r98,r44,r45,r80,r93,r23,r14,r88,r33,r36,r59,r68,r21,r51,r87,r29,r73,r55,r35,r12,r22,r70,r41,r64,r91,r76,r99,r40,r61,r17,r39,r25,r78,r43,r62,r24,r57,r79,r96,r20,r27,r84,r1,r48,r34,r53,r56,r65,r71,r75,r26,r10,r18,r85,r50,r66,r58,r100,r95,r19,r69,r47,r92,r54,r5,r16,r32,r90,r82,r28,r15,r74,r77,r60,r63,r4,r11,r37,r31,r7,r38,r81,r30,r6,r2,r67,r72
d77,7,45,62,90,41,47,38,31,66,22,74,13,92,2,6,33,29,32,44,95,89,14,65,54,64,43,50,98,12,83,57,70,77,49,52,4,5,36,37,96,24,53,19,39,68,28,23,73,46,10,59,60,58,26,71,94,55,80,0,8,87,11,79,82,25,16,63,76,15,81,56,78,61,42,93,27,1,18,51,48,86,35,99,21,40,91,9,3,88,30,69,75,72,17,67,84,97,20,85,34
d4,79,72,29,40,20,37,4,28,41,61,7,13,86,78,82,95,30,66,3,94,12,15,17,43,47,44,0,11,5,35,24,64,42,59,70,25,88,84,60,16,87,76,97,96,6,38,89,75,45,9,21,31,63,46,73,80,48,81,53,68,71,93,34,90,18,91,67,49,65,83,92,19,51,62,57,36,98,55,85,77,99,10,26,23,33,69,52,54,14,32,22,74,39,56,58,2,27,8,50,1
d90,81,17,72,1,50,67,35,78,32,60,8,79,40,71,57,27,52,54,97,45,96,3,61,58,75,55,18,48,51,49,85,89,10,0,15,5,68,98,73,88,37,90,63,14,4,26,43,7,46,12,41,39,19,13,24,95,36,22,59,34,77,6,28,42,84,70,65,44,56,66,86,2,16,47,9,91,64,25,92,76,31,29,23,87,53,99,62,74,93,94,80,33,21,82,30,20,11,38,69,83
d79,99,59,54,64,76,58,38,1,31,28,81,14,83,92,33,18,73,87,79,35,0,70,24,67,72,82,27,56,3,69,86,97,47,50,26,85,93,15,74,36,8,71,53,77,39,88,84,94,46,11,9,60,41,21,91,78,65,49,12,13,66,25,4,43,44,34,2,29,62,55,52,80,68,16,7,57,61,37,30,45,89,17,22,5,51,6,63,96,10,98,90,32,75,23,19,48,40,42,20,95
d54,11,34,1,90,8,62,72,61,67,74,86,49,97,63,44,48,21,35,42,53,14,26,7,32,59,76,0,4,96,3,2,99,45,5,66,60,6,56,12,64,38,81,43,23,19,39,77,37,54,88,22,13,89,71,46,55,80,82,73,84,87,47,51,94,29,52,78,41,83,75,16,17,30,58,20,65,85,9,40,36,98,70,68,28,24,91,95,57,31,69,18,92,27,50,79,15,93,33,25,10
d5,27,2,4,51,82,5,19,63,13,30,84,49,47,79,97,92,45,76,26,38,39,53,96,36,29,61,99,89,70,74,21,88,54,1,48,55,3,23,46,75,31,62,78,14,25,58,87,69,83,7,28,12,90,34,32,50,91,93,85,81,33,10,0,57,72,35,43,86,68,6,20,66,9,42,8,73,60,16,95,80,64,98,67,77,22,41,37,65,94,24,44,17,56,11,15,59,18,40,71,52
d31,25,19,44,81,87,95,5,74,63,8,41,89,37,64,90,7,78,53,88,62,45,16,4,94,47,72,23,51,38,82,83,84,24,71,11,6,68,10,54,76,75,14,33,17,43,60,39,22,21,97,18,92,2,65,93,48,42,29,73,27,56,55,32,50,96,36,34,91,77,15,69,61,3,40,30,49,58,13,1,70,28,52,46,12,85,80,35,20,66,26,67,99,86,79,9,0,98,57,31,59
d12,43,34,65,27,77,84,92,36,11,76,82,22,33,23,95,61,71,86,48,70,85,1,13,60,53,51,98,94,10,49,69,80,66,97,24,99,89,2,6,4,93,5,73,50,25,56,28,46,45,35,83,20,18,42,16,17,37,15,67,54,75,32,39,74,3,52,87,81,19,26,88,31,57,44,12,7,78,40,9,96,59,63,58,29,72,79,30,21,55,0,38,91,62,47,90,64,14,41,8,68
d24,25,38,8,5,55,26,13,71,77,63,47,18,72,49,11,27,51,80,22,74,61,81,24,7,90,6,86,53,43,57,3,37,33,59,92,94,76,0,52,29,45,36,32,95,75,15,62,66,97,65,44,20,88,41,91,82,16,19,4,70,12,30,79,28,48,40,67,50,64,78,31,21,1,96,69,93,2,35,58,34,9,54,46,84,89,60,56,85,39,42,14,87,23,17,98,83,68,73,99,10
d73,77,65,16,66,98,71,23,53,51,58,35,21,39,85,34,99,27,62,12,17,6,97,78,33,86,36,7,8,20,43,55,60,89,37,74,50,41,31,87,81,59,82,18,92,84,48,22,5,68,64,0,46,54,56,32,9,67,75,44,90,73,38,1,25,95,70,42,14,69,29,72,30,91,52,79,2,63,4,80,26,94,19,57,49,93,24,45,11,61,10,47,83,96,40,15,88,28,76,13,3
d15,54,28,30,90,75,53,33,11,52,69,68,67,18,26,57,6,16,19,49,1,78,13,25,41,45,71,27,79,74,40,31,87,88,98,39,59,84,80,8,36,61,76,62,35,3,56,51,14,91,66,95,5,21,48,46,64,92,0,58,50,9,77,44,72,24,38,4,93,60,34,82,10,99,23,17,55,12,20,32,97,63,70,83,43,89,7,65,96,86,2,85,81,29,47,37,94,42,73,15,22
d49,56,82,20,43,14,58,86,18,76,52,96,62,11,66,73,70,15,6,99,48,49,55,68,85,44,91,5,13,67,50,26,35,80,1,97,94,59,60,0,31,78,51,38,63,81,83,7,9,75,46,42,16,79,92,39,22,10,64,61,12,8,87,57,24,65,69,36,74,53,4,84,41,89,32,90,27,34,28,71,45,98,21,37,47,2,29,19,17,23,93,25,88,30,72,3,77,40,33,54,95
d29,56,39,57,47,48,84,5,88,55,50,3,28,11,7,69,60,98,76,27,20,41,77,73,29,38,67,82,85,13,34,36,40,46,54,52,10,64,90,79,91,62,94,86,26,87,22,63,18,33,70,30,42,65,17,66,4,61,71,12,81,25,2,93,45,72,75,95,14,24,97,16,51,8,74,9,6,68,80,37,31,58,49,1,59,19,15,53,96,83,35,92,23,44,99,89,78,43,21,0,32
d2,45,74,16,75,17,12,66,7,48,11,35,9,50,41,2,38,92,54,1,69,36,31,78,81,64,57,6,70,91,34,30,72,94,77,19,98,42,95,59,82,58,93,87,13,10,47,73,56,0,85,39,86,55,67,14,28,79,88,53,46,62,24,21,60,80,26,27,20,37,89,32,44,63,97,33,51,4,29,23,22,18,5,68,65,25,43,90,8,61,96,76,3,84,99,49,52,71,40,83,15
d42,18,43,56,70,59,74,33,0,10,47,31,65,25,17,50,73,19,32,36,83,82,80,34,12,40,90,97,45,1,21,51,62,58,38,46,57,42,88,76,54,48,71,49,78,79,85,87,22,99,9,98,84,96,2,16,30,91,8,92,15,61,27,68,20,23,37,44,5,64,75,86,95,28,67,26,4,93,55,39,41,63,66,53,29,94,11,7,6,35,81,52,89,13,3,24,60,72,77,69,14
d46,62,76,54,23,40,28,20,47,32,72,36,38,50,70,21,98,83,78,10,0,29,89,19,13,65,53,86,4,96,67,35,42,97,93,48,59,73,3,80,99,87,82,64,11,39,92,8,6,9,46,81,14,37,17,5,77,75,52,85,1,56,60,91,71,30,44,68,55,69,12,43,88,2,51,94,24,79,7,34,66,58,61,90,25,26,84,45,57,95,16,41,33,18,74,63,49,31,15,27,22
d1,87,25,39,41,43,51,11,19,22,1,82,42,76,85,33,38,23,17,9,24,83,61,99,78,10,40,4,48,68,96,53,75,45,80,6,95,91,13,34,97,27,56,30,26,58,93,65,94,37,14,15,70,50,36,62,12,77,84,0,81,89,55,20,29,64,5,46,74,32,3,49,54,57,79,16,60,8,92,7,72,86,59,73,90,28,44,98,21,2,88,69,66,31,35,67,18,63,47,71,52
d83,72,12,35,14,4,52,89,1,64,51,82,38,91,58,29,59,73,28,79,60,46,45,22,26,84,47,25,32,10,19,76,66,7,69,77,5,61,55,80,11,31,40,83,20,71,50,87,30,34,99,98,53,78,65,95,17,21,94,18,33,37,86,81,13,74,8,44,57,54,70,56,42,6,48,63,75,36,9,96,90,93,39,43,92,97,24,67,88,16,49,62,3,0,68,2,27,23,15,85,41
d23,3,81,73,59,76,69,86,71,61,2,44,66,26,7,12,40,41,82,88,55,53,63,64,35,97,49,89,90,24,46,5,9,72,78,48,13,67,70,75,80,16,15,32,19,30,18,98,29,23,33,79,42,28,84,68,27,47,22,50,37,87,58,36,62,39,85,96,1,20,52,51,57,45,8,43,91,14,99,25,93,65,10,6,4,34,74,94,21,11,17,54,38,31,77,92,95,60,56,83,0
d100,77,95,78,26,13,38,98,65,87,64,66,34,75,48,20,17,40,97,22,88,7,89,43,16,30,2,72,11,50,45,68,58,99,9,8,29,52,67,10,47,83,4,57,82,73,33,5,62,35,56,49,15,25,55,60,0,12,46,94,51,59,54,91,90,81,86,28,69,6,74,21,44,19,53,85,32,1,79,93,76,36,24,96,92,39,18,14,84,70,71,80,41,31,23,3,37,61,42,63,27
d45,58,74,84,26,1,35,94,0,77,65,38,81,27,33,76,69,24,47,17,50,41,39,14,60,30,63,70,87,19,5,57,11,10,95,89,31,12,68,66,42,15,55,6,91,23,73,56,52,93,32,54,3,78,44,86,98,99,49,45,67,16,37,72,36,22,18,13,40,48,25,59,28,71,79,8,43,9,21,51,75,34,80,46,29,61,88,83,92,90,53,82,20,2,96,85,97,62,64,7,4
d60,62,87,30,52,63,55,80,32,67,29,97,98,42,6,78,25,93,72,14,76,68,4,90,39,27,71,48,37,19,54,40,75,17,22,82,92,9,46,66,79,84,49,24,60,74,50,99,96,65,88,59,12,56,18,57,23,26,70,33,35,16,3,83,86,45,89,85,43,38,8,21,15,64,11,5,36,10,13,41,94,28,58,31,53,51,69,0,2,91,34,95,73,7,47,20,81,1,77,44,61
d87,93,82,37,74,81,28,22,53,31,20,77,49,43,44,39,13,21,67,16,61,99,78,52,27,18,94,97,83,85,46,40,11,66,79,9,2,25,7,86,76,12,87,71,6,14,54,96,42,34,91,10,29,32,5,98,72,55,58,47,17,36,24,62,69,84,1,19,4,3,8,90,64,60,48,23,68,26,57,35,0,38,95,50,51,73,70,92,59,88,89,63,65,30,75,56,80,45,41,33,15
d20,47,32,25,45,46,78,6,31,77,90,93,82,63,81,54,60,71,53,19,97,9,83,66,86,55,52,51,50,23,70,21,1,36,17,14,59,38,57,2,35,34,29,15,16,37,65,20,5,68,64,58,22,41,7,76,92,88,84,73,85,62,74,18,13,0,10,39,91,69,33,24,80,40,27,12,11,28,8,99,3,56,26,98,94,42,44,49,75,30,4,96,89,67,61,79,48,72,87,95,43
d18,25,71,73,83,58,39,46,5,63,86,26,76,47,95,91,68,53,61,97,30,15,29,96,66,82,16,92,24,54,45,51,31,70,4,80,64,8,33,23,1,62,49,74,65,9,34,75,87,13,79,40,90,94,6,37,57,50,41,89,7,11,67,88,55,12,0,19,44,56,10,20,77,22,60,81,99,69,18,42,21,28,35,59,52,48,85,2,93,17,3,43,32,36,98,38,72,14,27,84,78
d48,82,8,96,58,50,0,12,73,18,52,69,68,94,20,39,44,36,60,89,35,90,31,83,99,34,54,66,57,47,30,92,46,29,42,10,9,77,95,26,62,51,75,19,61,15,41,40,56,65,23,80,78,49,22,1,67,21,79,2,81,88,3,28,6,5,63,72,45,11,32,84,43,87,70,7,38,37,97,86,13,85,59,64,53,93,16,98,17,74,55,91,14,76,48,27,71,4,24,25,33
d22,99,14,35,88,58,96,47,5,42,53,41,6,40,98,43,44,28,38,31,10,37,94,7,56,22,84,20,11,9,45,90,81,3,29,12,97,24,15,33,61,32,69,82,74,65,77,93,68,16,26,63,92,19,54,76,13,71,67,64,72,57,39,27,73,46,4,83,36,2,1,8,62,80,89,17,78,66,21,59,18,86,87,0,95,30,50,52,75,70,25,55,91,85,23,34,51,79,60,49,48
d34,22,29,38,55,72,94,81,68,74,6,70,88,99,98,44,90,16,37,40,73,62,24,71,11,19,2,21,8,36,31,18,84,57,89,3,46,79,80,35,61,33,58,45,14,26,32,0,93,41,5,52,23,65,13,86,10,28,54,9,92,75,4,82,85,47,51,66,78,56,7,96,97,49,48,59,12,30,39,91,15,43,1,42,69,63,67,50,60,95,53,17,87,25,34,20,27,77,76,83,64
d89,75,12,64,6,52,42,92,87,96,15,22,46,63,78,72,61,98,8,23,27,79,48,73,85,28,34,65,67,31,71,90,3,74,93,13,58,10,57,32,51,16,80,18,95,37,30,50,77,40,11,49,44,83,20,89,26,69,4,17,84,66,21,53,19,82,99,88,29,9,47,45,39,38,56,1,5,25,91,2,59,55,76,41,70,68,60,81,43,35,62,24,97,86,36,7,0,54,33,94,14
d57,97,70,45,86,22,26,52,94,89,56,30,19,75,31,18,5,54,34,7,28,29,9,92,90,61,20,72,27,82,46,64,21,80,8,2,96,23,78,63,4,25,33,53,95,81,36,16,67,66,3,37,76,10,43,24,65,11,62,39,91,48,79,41,85,1,93,6,88,74,38,58,60,57,55,47,40,32,59,77,35,83,44,50,68,12,84,49,13,17,87,51,69,99,0,42,14,71,15,73,98
d76,43,34,48,41,80,97,26,44,53,66,15,57,50,28,81,45,90,14,33,69,63,11,47,16,85,36,37,77,91,31,49,10,4,39,86,58,92,68,19,51,23,96,54,20,79,13,6,35,89,25,24,62,30,71,40,87,55,67,38,9,72,32,5,61,65,78,12,60,18,8,46,70,52,74,88,94,99,21,7,98,17,82,27,2,1,83,84,56,95,73,42,22,29,93,64,59,0,3,76,75
d40,84,32,21,90,71,6,15,0,83,42,77,52,46,56,18,96,13,48,88,40,20,80,14,41,19,85,34,36,10,98,61,37,91,22,43,60,38,7,31,59,62,86,17,12,72,79,8,35,11,16,47,25,78,53,29,73,70,66,50,49,68,65,89,54,75,44,92,99,5,63,82,67,74,1,87,81,64,27,95,94,28,3,93,69,51,9,30,33,39,58,45,76,4,24,26,55,57,23,2,97
d44,21,65,60,34,94,83,37,29,7,11,14,80,12,63,4,24,50,73,8,92,43,71,18,54,36,75,39,77,10,33,66,46,15,56,30,35,3,31,70,74,62,76,98,13,20,55,85,99,59,47,53,41,81,61,95,91,40,79,52,64,97,6,45,1,0,27,67,19,23,82,32,90,69,58,72,42,22,25,38,96,86,68,2,9,78,28,87,51,16,17,5,44,26,49,48,57,88,89,93,84
d32,40,30,97,32,37,71,93,36,29,48,49,60,91,12,8,61,45,54,44,11,77,94,42,27,20,75,78,65,73,24,70,23,92,74,57,22,50,43,85,90,69,7,89,46,58,68,84,4,13,28,79,15,62,18,39,34,21,53,25,14,1,51,98,99,52,10,41,55,66,2,16,88,87,17,31,6,63,3,76,19,35,72,86,38,67,64,83,9,96,81,82,33,95,0,80,26,56,47,5,59
d96,51,36,28,72,98,71,46,64,68,84,69,37,79,39,66,29,61,87,76,9,52,93,54,7,1,3,31,41,75,48,47,50,6,14,20,35,97,40,53,77,73,10,63,56,32,81,83,25,8,91,2,58,85,12,33,59,55,96,19,43,0,34,15,57,60,5,88,42,16,78,89,38,70,74,62,21,65,4,95,26,24,49,94,86,45,99,44,22,92,23,67,82,17,30,13,18,90,80,27,11
d69,34,97,15,67,57,66,17,14,59,69,89,63,77,68,90,12,35,82,36,71,23,25,7,95,94,85,51,1,81,50,6,91,21,58,41,47,78,27,60,29,76,73,98,39,9,61,44,80,62,93,16,28,20,43,54,75,10,31,64,52,37,42,79,33,99,3,86,53,92,45,48,72,4,49,32,84,18,88,40,56,74,46,87,22,55,70,30,0,83,24,65,8,19,38,96,13,5,26,11,2
d3,65,0,21,32,28,90,47,24,67,44,99,82,74,91,93,64,17,18,60,13,33,34,75,88,35,23,61,41,15,12,54,89,84,9,86,97,81,78,71,94,36,39,3,5,26,7,31,92,50,22,87,72,40,43,10,49,55,20,73,30,63,95,29,11,59,48,38,6,51,98,80,57,37,62,96,76,85,19,70,25,45,66,58,14,27,56,77,8,69,46,4,1,53,79,52,16,83,2,42,68
d61,40,36,64,16,49,9,66,0,33,97,73,90,74,80,31,32,44,13,11,46,23,98,30,20,29,50,93,71,77,56,85,75,87,67,2,45,89,41,39,86,61,7,47,14,65,51,59,55,69,81,12,26,34,76,24,35,99,5,57,48,52,78,8,6,72,43,53,38,4,22,94,58,60,88,28,91,92,68,79,70,27,10,62,63,3,83,25,15,95,1,84,42,17,96,19,54,37,82,21,18
d92,5,23,41,69,67,4,80,56,51,74,57,22,97,25,60,78,7,6,99,30,98,47,58,13,76,20,93,3,79,64,8,70,11,61,54,36,90,16,15,68,49,87,31,43,32,1,18,42,66,96,59,71,65,92,53,34,45,10,75,63,86,0,48,62,26,12,77,73,35,72,85,88,24,38,55,89,52,2,21,81,44,29,46,82,33,9,39,83,37,50,19,28,91,84,27,95,17,94,40,14
d28,9,84,91,30,72,5,31,22,89,23,35,26,32,42,13,46,97,88,17,51,80,60,43,1,94,4,75,45,99,77,25,79,69,37,0,73,63,48,98,38,3,55,2,20,24,58,8,71,50,92,16,29,64,68,93,76,56,59,96,81,65,74,53,49,33,86,83,34,18,14,52,41,28,19,61,21,85,36,47,10,90,70,15,44,6,12,39,54,27,87,67,78,82,7,11,62,40,95,66,57
d71,77,26,1,38,16,6,48,18,14,85,52,10,22,59,39,33,28,79,35,66,60,93,61,75,62,94,83,50,86,84,41,99,3,72,81,98,51,65,68,30,91,88,37,82,31,76,71,25,58,78,29,54,44,64,42,45,53,47,11,5,32,92,34,15,96,70,74,40,97,8,36,24,90,9,69,87,49,0,17,7,89,57,23,2,56,21,55,80,4,46,12,95,20,67,43,63,13,27,73,19
d21,26,68,79,4,94,32,40,61,95,59,5,48,57,19,93,34,39,52,56,1,7,91,13,6,35,51,25,75,85,83,43,24,71,17,50,14,86,73,0,55,30,98,80,58,49,87,38,76,63,45,15,47,67,9,20,53,21,99,12,16,78,65,2,62,90,46,72,36,81,33,44,28,31,11,23,37,74,27,70,89,42,54,41,22,82,77,84,10,88,60,66,29,97,3,96,18,69,92,64,8
d56,21,46,35,62,65,83,27,42,86,88,50,84,19,4,40,49,0,13,93,56,14,34,70,22,61,18,25,31,68,99,33,1,53,43,78,97,17,85,29,87,39,51,5,30,57,37,20,48,52,76,32,28,72,60,90,11,23,8,94,3,75,6,55,95,45,66,77,54,98,41,36,89,47,92,2,7,10,38,79,80,63,15,67,16,74,64,69,71,82,81,91,12,26,59,44,58,96,9,73,24
d50,90,13,77,0,59,21,47,33,22,65,52,98,49,95,71,80,87,8,55,28,81,88,79,97,48,70,5,25,27,69,89,76,50,96,6,39,24,46,84,10,19,44,20,43,67,74,16,30,35,64,11,78,91,3,14,32,82,92,23,9,36,63,94,37,38,61,56,2,66,1,7,57,62,58,60,53,54,99,86,29,17,85,75,34,72,15,73,26,45,51,83,41,40,31,18,93,12,68,4,42
d63,83,17,89,58,51,26,65,39,43,97,73,41,90,88,98,71,47,52,19,15,36,79,84,27,78,9,68,3,57,1,14,55,34,7,32,91,64,60,5,95,53,44,75,49,35,18,56,48,38,67,61,45,29,93,12,80,50,86,81,20,8,70,46,22,23,96,76,42,74,85,13,77,2,72,99,21,66,33,30,4,82,62,92,54,87,69,11,25,16,40,37,0,63,59,94,24,6,31,28,10
d9,76,97,37,25,31,14,23,54,41,61,0,78,38,1,28,40,17,34,88,53,70,15,95,66,92,82,8,21,69,57,45,74,71,94,49,98,2,33,36,13,26,72,42,83,79,84,52,18,96,64,30,87,6,11,56,10,43,44,81,55,63,32,65,20,27,46,50,24,62,75,68,85,80,12,29,39,60,7,91,16,93,90,51,22,73,86,4,58,48,47,9,19,35,5,67,89,59,3,99,77
d38,91,76,12,67,94,52,63,70,72,87,6,58,83,3,84,97,60,71,5,20,13,81,37,34,88,61,45,59,55,85,92,25,66,9,90,16,53,29,39,56,21,31,30,8,49,47,96,0,89,4,64,32,15,36,33,24,26,38,35,46,93,50,1,17,41,74,95,19,44,23,62,10,14,68,22,43,48,80,57,65,18,42,86,98,27,51,40,99,77,54,11,7,82,69,2,78,75,79,73,28
d43,44,25,52,74,1,31,55,51,10,82,69,75,86,64,35,24,99,71,59,89,20,90,68,38,27,88,14,26,29,43,47,41,13,6,7,60,61,78,9,77,45,15,28,23,93,32,83,76,67,56,65,80,87,0,94,62,84,57,85,11,97,66,58,22,19,34,95,12,81,40,30,37,33,92,63,8,21,17,72,98,96,36,91,50,3,4,70,49,46,48,5,42,79,2,16,53,39,73,54,18
d84,15,44,10,86,38,19,54,26,4,34,56,5,99,27,48,46,35,96,77,58,31,98,49,94,76,78,50,65,80,79,91,64,32,84,82,87,66,45,68,59,81,60,42,57,62,73,2,83,13,53,69,12,51,71,9,18,52,22,16,85,55,72,47,90,61,17,7,93,28,41,33,8,97,25,70,43,29,95,24,11,3,30,20,14,89,21,23,39,75,63,6,36,40,74,1,88,37,67,92,0
d80,5,8,31,41,15,57,1,61,37,62,7,64,10,47,76,17,22,12,38,80,74,46,69,50,44,65,6,32,79,29,63,91,96,34,23,3,19,40,60,66,85,58,97,51,43,28,49,99,94,0,92,89,33,13,55,35,84,21,67,45,78,18,68,16,39,36,83,71,30,72,11,77,90,73,75,25,93,26,52,42,87,24,59,27,2,20,70,98,4,95,9,88,48,14,56,86,54,82,53,81
d36,41,3,13,23,80,94,54,18,21,79,85,40,39,76,45,52,37,74,43,1,10,64,63,29,17,12,84,4,66,96,90,86,9,0,25,16,65,58,82,98,5,32,78,44,95,93,14,50,62,27,99,33,73,42,68,61,22,49,20,72,46,48,71,28,35,97,31,87,19,59,89,75,51,69,34,8,57,81,67,92,77,15,53,36,2,38,60,11,30,7,88,24,91,55,83,70,6,56,47,26
d91,82,10,88,28,35,34,89,98,15,79,33,63,31,26,58,17,8,60,27,30,75,25,12,6,61,48,38,96,86,19,87,73,29,67,43,36,78,68,47,76,1,45,69,4,32,41,54,44,55,20,42,11,53,99,7,85,24,77,62,83,92,80,18,16,22,0,37,2,59,93,74,3,64,51,56,40,21,97,14,50,23,39,9,72,71,84,90,66,13,52,95,65,94,5,91,57,46,70,49,81
d94,28,84,5,27,26,31,18,15,54,30,56,71,98,16,66,94,0,25,81,96,23,34,35,14,77,45,2,79,52,6,32,85,33,87,4,39,41,12,83,9,92,7,42,20,51,63,58,82,61,95,73,65,44,69,50,55,72,13,91,59,21,64,80,40,49,99,1,74,47,19,29,75,8,89,86,67,11,24,62,37,3,48,46,68,17,10,70,97,60,78,22,43,93,38,88,53,36,57,90,76
d26,99,2,58,71,82,70,13,36,34,12,30,50,15,91,24,33,1,60,4,81,40,78,7,95,5,6,89,18,90,80,54,32,77,72,42,52,87,38,66,85,69,27,51,16,14,11,94,62,53,37,28,25,35,65,76,31,41,8,96,84,26,88,43,39,46,45,92,21,61,44,56,19,49,93,29,98,79,86,55,63,47,48,74,9,10,3,0,67,68,73,17,22,59,20,75,23,83,97,64,57
d10,5,2,65,33,62,58,7,85,93,61,34,75,81,27,94,63,90,20,9,96,41,76,10,40,12,11,4,42,48,68,98,84,86,53,97,56,51,39,99,6,89,15,52,82,87,60,8,13,72,88,83,19,49,38,92,26,80,3,30,35,69,25,14,29,74,50,47,18,67,77,66,64,95,17,44,23,57,79,59,0,70,71,16,54,73,32,91,22,78,24,31,28,55,1,46,43,36,21,37,45
d30,21,85,13,58,68,53,67,36,87,29,69,14,76,97,16,43,79,82,75,78,15,65,57,5,11,33,12,49,56,20,90,64,70,71,62,27,19,91,95,99,77,92,37,86,6,39,59,50,98,4,40,48,34,88,1,24,63,44,73,52,3,60,61,10,25,96,51,54,7,72,84,32,26,2,80,17,23,89,9,66,47,8,41,38,35,46,83,18,94,22,0,45,42,81,31,30,28,55,74,93
d47,28,39,25,88,62,94,22,72,77,33,76,64,73,9,63,57,61,67,18,51,53,11,89,87,29,50,7,52,98,4,0,58,69,36,38,37,42,96,6,92,13,2,78,32,31,86,47,97,21,40,81,95,49,44,27,14,80,99,59,16,17,74,15,54,91,8,83,85,30,24,75,43,5,79,55,46,84,3,45,34,65,60,26,70,1,23,20,41,71,56,35,12,48,82,10,19,66,68,93,90
d70,62,45,86,46,31,7,18,4,37,61,88,74,68,30,58,43,75,97,89,6,16,41,3,81,59,40,64,65,98,44,92,57,0,36,5,79,82,73,25,78,54,93,47,99,20,2,87,51,67,69,34,11,76,38,14,84,53,91,33,49,85,35,19,17,21,66,63,26,9,90,95,77,12,1,52,23,80,27,39,83,8,60,13,94,50,70,55,56,48,10,24,72,96,29,22,15,42,32,28,71
d95,57,70,79,21,82,37,18,98,51,19,5,52,59,26,36,39,92,89,14,83,91,17,99,55,58,44,31,34,63,33,12,65,46,10,80,72,49,15,7,61,85,86,4,62,22,60,71,3,1,28,29,87,50,95,30,11,81,67,48,78,84,74,96,66,94,40,69,38,20,41,45,77,27,8,43,88,25,64,9,13,73,42,24,2,97,47,35,75,32,6,76,23,68,56,90,53,54,16,93,0
d17,41,2,92,16,78,89,50,31,67,10,93,64,27,86,12,84,63,48,7,20,21,77,37,80,33,96,11,51,43,82,13,69,40,39,79,88,85,25,4,38,83,90,22,87,55,14,53,35,65,46,62,29,60,32,74,57,54,98,70,42,71,75,0,30,97,68,76,45,99,5,3,1,26,66,34,49,61,24,18,17,94,8,9,19,23,36,58,44,81,28,91,73,72,56,52,95,6,15,59,47
