,r64,r51,r30,r58,r39,r48,r94,r72,r33,r16,r98,r7,r73,r44,r93,r10,r68,r75,r70,r3,r100,r84,r69,r85,r67,r12,r5,r52,r43,r6,r8,r88,r87,r4,r34,r55,r82,r18,r90,r32,r53,r11,r78,r29,r80,r46,r42,r81,r21,r66,r79,r20,r24,r17,r59,r96,r22,r56,r61,r28,r2,r60,r27,r95,r97,r1,r76,r54,r31,r77,r71,r92,r15,r26,r83,r23,r35,r41,r25,r37,r38,r63,r49,r89,r74,r57,r9,r19,r62,r14,r36,r99,r50,r91,r13,r47,r40,r86,r65,r45
d40,41,98,53,74,46,52,77,62,58,4,3,22,38,55,12,34,64,92,63,65,76,32,0,54,1,51,37,50,35,67,21,94,47,79,19,15,48,72,42,88,60,17,73,29,18,83,96,59,82,5,56,36,25,86,61,93,71,31,70,49,84,81,91,11,66,85,68,33,23,39,7,40,90,27,13,28,80,99,9,10,44,26,24,8,2,75,78,97,14,87,89,69,57,95,43,6,30,16,20,45
d80,92,46,39,79,51,58,45,71,16,33,57,23,1,94,65,2,15,25,12,10,34,78,55,64,97,21,41,74,50,38,60,81,24,14,9,66,32,3,91,6,20,18,17,99,53,67,95,86,30,5,42,47,56,31,72,37,8,13,80,93,59,27,29,54,26,77,90,35,52,62,89,76,88,70,49,11,0,36,40,69,44,87,73,85,4,28,48,19,22,82,83,61,84,68,96,7,63,75,43,98
d62,81,86,15,27,21,53,12,94,77,67,22,10,57,98,95,28,93,29,78,43,6,66,48,68,91,62,44,55,0,99,30,7,4,63,42,73,16,89,52,25,36,64,14,60,58,33,70,79,56,54,61,41,31,92,83,1,51,19,3,39,13,8,82,50,74,34,75,9,76,65,49,37,87,69,11,5,35,32,47,90,80,17,88,40,85,97,2,96,72,38,84,20,18,45,71,59,24,26,23,46
d95,4,61,31,35,95,84,57,80,7,79,52,19,10,13,1,38,42,9,62,93,14,94,25,44,75,60,81,64,63,12,49,3,47,24,18,67,27,91,51,53,85,17,41,96,34,86,70,11,65,46,30,33,74,36,15,76,21,8,26,97,5,90,99,71,92,55,56,16,50,88,54,23,6,73,29,45,28,48,20,98,87,59,83,32,39,77,43,78,66,58,69,68,82,89,22,0,37,72,40,2
d73,22,37,40,53,10,92,38,51,75,35,24,82,90,63,2,72,43,26,86,18,31,25,13,28,84,3,73,30,70,68,19,97,32,59,4,11,89,57,1,7,62,6,58,91,12,20,93,94,47,14,83,48,16,39,96,41,98,42,17,80,49,76,36,78,81,29,55,66,52,0,33,23,15,88,67,44,64,27,71,61,56,50,99,54,34,21,74,8,5,79,9,87,69,95,85,45,46,77,60,65
d58,53,75,26,84,61,27,11,46,36,52,21,87,34,77,42,17,72,40,89,66,69,63,85,98,74,13,78,16,6,68,14,4,54,55,18,65,59,15,32,5,71,1,29,3,8,33,60,91,56,51,47,38,82,43,25,93,22,57,28,99,9,31,19,58,20,62,80,70,50,12,64,7,37,83,96,24,0,48,79,10,95,94,2,67,23,86,97,88,39,35,76,44,92,30,90,49,41,73,45,81
d13,25,42,49,30,77,98,76,59,16,86,62,20,33,17,35,55,52,6,31,68,2,27,50,65,14,46,45,91,79,87,97,73,63,74,40,21,15,7,28,10,94,51,37,66,3,26,4,18,96,81,64,78,41,95,23,8,82,54,93,80,9,29,53,39,83,56,11,0,1,85,72,47,57,19,84,24,90,89,44,43,88,32,60,34,70,12,99,67,61,48,13,71,5,75,92,58,38,36,22,69
d99,23,78,77,68,84,0,55,76,92,19,59,8,50,88,42,82,60,22,97,47,43,25,48,36,33,45,35,30,46,5,85,58,11,18,89,70,86,80,95,99,90,4,49,96,21,83,7,15,14,62,74,61,2,54,13,32,9,69,12,51,10,98,44,56,73,79,24,72,57,28,31,63,71,81,40,93,26,87,6,67,37,20,41,52,34,39,53,27,1,75,16,91,17,29,65,66,38,3,64,94
d39,21,83,82,52,90,69,60,68,6,86,79,51,48,97,53,42,23,31,3,37,22,49,35,71,29,30,85,77,93,27,1,76,16,57,94,41,63,88,15,10,98,81,64,34,72,28,46,39,70,33,24,17,19,80,75,78,62,11,18,56,89,73,25,59,20,8,58,4,43,2,9,32,95,7,40,61,47,13,44,84,38,5,36,91,14,12,66,45,67,0,54,26,92,87,96,99,74,55,65,50
d54,13,78,69,46,64,38,96,54,35,58,52,14,36,49,92,33,53,56,89,2,20,70,5,76,11,60,63,88,30,22,74,83,65,17,75,71,77,15,23,42,59,61,81,3,66,57,51,98,40,9,85,32,1,31,68,73,37,18,50,26,41,47,80,0,97,82,4,7,10,25,16,12,67,39,48,91,28,24,90,27,86,99,34,8,95,29,45,43,79,93,62,21,55,94,44,19,84,87,6,72
d82,71,47,21,96,24,62,52,88,44,38,14,4,43,41,34,98,84,86,54,93,32,18,55,91,20,2,22,15,90,97,58,40,17,57,76,92,12,87,36,59,9,85,99,74,46,83,26,42,33,72,1,70,65,27,3,31,11,68,81,66,0,5,94,82,39,19,60,80,8,56,10,49,61,77,25,30,28,35,51,6,37,67,79,95,50,64,48,29,89,7,13,53,45,23,78,75,73,16,63,69
d1,15,88,63,46,38,98,73,20,87,42,52,93,33,39,83,56,84,69,21,18,97,8,86,68,78,32,25,62,31,6,92,41,54,96,94,30,29,40,26,22,89,12,36,3,34,91,59,99,76,57,7,35,5,53,1,72,28,67,77,44,10,58,9,64,17,61,74,4,48,27,80,24,37,75,51,14,79,49,66,81,43,65,23,45,0,2,16,13,90,82,95,70,55,60,85,19,11,71,47,50
d100,95,10,3,25,24,33,53,67,40,19,62,28,51,73,96,80,21,47,2,8,48,6,55,14,45,52,75,0,20,56,94,30,82,35,79,92,42,64,18,97,29,60,59,31,84,11,12,36,76,7,90,23,83,46,98,43,32,91,26,54,77,41,1,89,13,81,68,72,71,86,57,34,44,74,93,69,65,70,17,88,22,15,49,50,39,37,16,63,87,58,4,5,99,78,9,66,38,61,27,85
d3,25,98,14,4,93,68,85,28,90,29,32,34,35,3,15,46,73,44,88,92,76,49,27,7,33,69,17,43,42,91,6,57,30,5,51,86,41,65,54,45,56,95,36,2,48,61,82,22,13,97,18,0,52,1,83,24,77,19,31,50,47,63,99,62,38,89,23,20,10,39,80,71,94,84,75,66,87,60,26,58,8,16,64,11,59,81,78,67,9,70,12,74,53,96,55,37,21,72,40,79
d79,95,23,72,79,14,26,39,38,8,21,16,66,58,22,40,31,85,63,81,89,42,48,34,64,83,59,52,18,51,92,24,2,88,77,3,49,30,35,20,13,53,41,67,50,15,46,36,65,73,33,17,97,84,69,44,61,29,32,78,6,47,5,54,70,11,87,25,27,99,68,82,86,37,19,94,80,57,10,98,75,62,91,28,43,74,0,7,56,96,71,55,1,93,90,45,9,76,12,60,4
d23,80,72,47,97,7,6,9,91,68,67,88,40,8,2,23,49,86,12,63,84,18,92,45,3,4,10,69,32,74,15,44,16,79,59,54,76,21,36,19,37,83,25,89,50,94,65,75,95,70,78,28,41,42,85,0,99,51,13,38,98,30,55,52,64,29,17,48,66,58,14,34,22,81,62,57,35,93,56,61,82,53,90,1,43,46,71,5,96,31,87,11,33,39,20,27,26,73,24,77,60
d49,95,70,60,12,50,36,17,35,38,69,99,42,52,30,22,51,82,58,93,47,16,21,37,23,6,98,86,84,71,11,97,61,63,56,67,89,96,57,88,44,26,94,27,90,25,45,4,55,91,0,66,2,31,68,49,14,83,46,28,74,34,87,77,79,1,62,75,85,39,43,41,65,18,19,13,33,10,15,72,64,24,8,40,5,54,73,81,53,3,7,92,76,20,78,59,48,29,9,80,32
d28,64,51,15,82,89,46,88,96,21,48,53,83,22,40,77,97,11,16,10,33,90,94,35,34,1,62,39,86,17,38,61,32,73,87,42,56,30,45,79,4,19,14,41,58,93,49,3,92,31,26,52,71,63,24,72,27,59,29,36,60,78,70,55,9,98,13,68,65,57,54,20,6,67,25,12,2,44,85,81,47,0,28,99,76,84,37,69,66,95,80,18,50,8,5,7,75,43,91,74,23
d75,52,56,38,65,15,89,79,46,44,75,9,53,18,85,67,88,24,26,39,32,17,19,51,97,29,95,77,93,58,4,98,33,61,42,57,71,59,55,49,91,81,23,34,86,82,20,3,6,54,87,25,14,30,92,27,1,84,73,37,66,31,12,78,76,99,74,0,94,90,96,64,16,69,70,10,45,28,2,43,21,47,63,7,80,40,60,35,22,36,50,5,11,72,68,41,13,48,62,8,83
d92,23,43,87,75,5,81,44,14,70,18,92,79,65,46,4,10,91,69,71,28,37,39,40,80,60,59,38,32,53,24,41,54,63,51,66,94,64,26,22,83,62,88,85,67,42,8,99,98,36,21,56,27,96,48,61,50,73,68,9,84,2,0,3,25,15,30,16,49,47,78,52,17,57,6,11,77,89,7,20,19,58,45,72,90,34,1,31,12,93,13,55,74,97,82,86,76,29,95,35,33
d67,72,51,26,84,7,64,82,77,99,29,44,63,1,14,41,8,3,81,17,62,27,76,75,88,93,18,85,25,6,48,36,35,52,53,68,45,91,58,2,80,86,92,11,87,24,21,37,89,83,60,0,55,33,95,69,5,57,47,56,79,32,12,16,90,38,78,59,22,40,71,66,74,94,19,50,39,54,23,98,43,65,49,15,10,30,46,9,61,28,96,20,13,73,4,97,67,70,42,31,34
d41,49,35,30,51,38,23,67,84,40,66,10,82,94,74,75,0,43,42,88,2,15,44,3,33,54,93,56,59,92,19,29,73,13,12,86,55,79,17,98,52,89,36,1,37,58,14,99,11,85,80,48,46,77,69,21,34,83,27,47,97,22,90,39,16,71,25,70,61,53,31,65,96,57,72,76,18,4,41,7,8,9,28,64,81,62,63,87,91,50,68,5,6,24,45,32,78,60,95,20,26
d43,6,70,81,76,13,39,31,83,38,90,77,3,8,40,75,12,41,88,57,50,59,20,79,71,55,33,15,7,17,51,92,84,99,63,21,96,61,95,72,85,43,16,5,78,97,32,69,28,26,53,42,14,19,30,93,11,66,29,54,34,94,73,23,86,4,98,0,24,46,49,89,44,18,64,47,22,74,27,25,2,56,91,60,1,82,36,67,48,9,65,35,68,10,80,45,87,52,62,58,37
d78,88,62,43,11,56,78,79,28,6,68,66,10,84,4,94,7,54,47,8,24,53,98,30,60,37,9,40,0,17,33,67,3,32,52,55,99,86,26,34,81,90,20,95,27,38,44,2,75,96,48,35,58,74,51,97,59,1,25,76,87,65,63,73,31,71,69,14,41,93,89,16,13,50,49,72,39,18,80,45,21,19,12,83,57,46,5,70,82,36,42,23,77,85,61,91,64,92,15,29,22
d42,15,74,4,87,62,56,34,31,51,28,7,0,67,3,44,20,9,22,50,68,97,10,80,76,39,32,42,18,89,13,47,84,21,99,41,59,73,94,26,25,24,19,82,14,8,54,33,29,72,49,11,86,66,27,57,71,88,77,40,23,69,48,1,75,37,2,45,36,6,61,98,78,43,16,38,93,46,52,81,83,96,65,63,58,79,17,90,85,92,70,35,95,53,12,91,5,60,55,64,30
d86,47,42,38,94,48,46,1,77,73,88,30,20,59,58,82,53,6,23,95,31,81,56,74,92,66,34,89,99,57,32,51,41,19,29,9,61,49,44,68,5,18,67,39,60,7,13,28,15,76,84,63,52,65,54,69,64,78,85,50,90,98,80,24,33,86,37,10,40,21,27,17,83,8,2,11,62,75,72,93,25,12,79,71,4,70,0,55,36,45,43,3,87,26,96,16,22,97,14,35,91
