,r17,r13,r8,r9,r14,r2,r1,r4,r7,r5,r20,r3,r6,r10,r11,r18,r19,r16,r15,r12
d2,19,5,3,18,12,4,7,13,8,9,6,16,0,14,11,17,10,2,1,15
d12,6,19,7,14,18,16,9,3,12,1,10,5,17,0,4,8,15,2,11,13
d10,2,1,17,4,18,19,0,7,16,9,5,8,15,10,11,12,14,6,3,13
d16,7,13,8,1,10,4,17,12,5,11,3,2,16,6,0,14,18,19,15,9
d11,11,4,5,2,14,17,10,6,8,15,3,18,16,9,12,13,19,0,1,7
d14,9,12,6,3,19,2,18,16,5,7,14,13,11,10,8,1,0,4,15,17
d15,1,12,3,7,13,0,9,5,18,17,19,16,11,15,2,6,10,8,14,4
d1,9,16,5,10,0,17,1,14,11,15,13,8,3,12,2,4,6,18,19,7
d17,9,11,3,2,16,10,19,5,13,18,7,8,1,15,0,12,6,17,14,4
d5,6,10,15,4,13,8,9,5,16,18,3,11,19,7,12,17,14,2,0,1
d18,13,6,16,0,2,1,18,17,15,9,11,8,12,5,10,14,7,19,4,3
d13,2,18,4,1,5,11,3,14,8,16,15,7,12,10,6,17,13,0,19,9
d7,18,8,11,15,10,17,12,1,19,2,14,5,6,0,13,4,7,3,9,16
d20,16,11,19,18,8,15,13,4,1,10,7,2,9,12,6,14,17,5,0,3
d3,12,9,1,13,11,15,5,19,3,17,16,7,18,8,0,14,10,6,2,4
d4,5,12,8,19,16,6,9,4,13,18,15,17,3,11,14,7,10,2,1,0
d19,10,8,18,6,3,0,9,15,12,19,2,11,14,17,16,4,1,5,7,13
d8,5,3,1,2,19,7,10,13,14,12,18,4,8,17,15,16,6,9,11,0
d6,4,16,15,18,8,7,11,19,17,12,2,3,0,13,1,9,5,14,6,10
d9,6,5,19,4,17,9,11,1,18,13,14,0,2,7,8,10,12,15,3,16
