,d1,d14,d11,d7,d19,d16,d18,d15,d8,d13,d20,d17,d6,d5,d10,d3,d2,d4,d9,d12
r1,6,5,9,17,3,1,19,2,0,10,13,11,14,8,12,7,4,16,18,15
r12,0,19,11,15,13,1,10,18,16,17,2,12,7,6,14,8,5,4,9,3
r15,7,19,14,5,6,4,13,10,15,16,9,17,8,1,2,12,3,11,18,0
r3,15,19,18,4,0,6,14,10,9,12,17,5,2,3,16,7,1,13,11,8
r16,7,4,2,10,12,18,9,13,0,5,3,15,1,16,14,19,17,11,8,6
r20,3,15,10,14,8,18,16,6,7,17,11,12,0,1,5,13,9,2,4,19
r7,14,4,2,0,18,3,1,6,10,15,8,16,13,5,7,9,11,12,19,17
r2,2,6,0,16,1,4,15,11,9,18,8,3,17,5,10,12,13,14,19,7
r19,19,17,4,1,7,10,2,12,13,8,14,16,15,11,6,18,9,0,3,5
r10,10,4,14,5,7,16,19,13,15,17,9,18,2,0,12,1,3,8,6,11
r9,17,1,18,4,16,5,0,8,9,14,12,13,11,3,15,2,6,10,7,19
r5,16,1,15,7,8,4,13,2,6,11,3,5,18,0,10,19,12,17,14,9
r4,4,8,18,7,6,13,12,0,2,14,3,15,10,11,17,1,19,5,9,16
r8,0,13,16,2,4,14,12,5,19,15,9,8,10,18,3,7,11,17,1,6
r18,5,17,3,2,15,13,8,9,1,0,12,6,16,10,19,7,11,14,4,18
r17,4,6,3,7,16,18,13,5,0,1,15,12,2,10,19,9,8,11,17,14
r13,14,5,0,16,1,18,11,6,13,17,19,12,4,3,15,2,7,8,10,9
r6,15,18,16,17,9,11,14,10,0,4,1,7,3,6,5,2,13,12,19,8
r14,6,14,2,18,0,16,11,19,3,4,7,17,12,1,13,15,5,10,8,9
r11,10,19,13,8,11,7,14,1,2,3,0,5,9,15,18,16,6,4,12,17
