,r18,r15,r8,r9,r3,r11,r1,r12,r6,r2,r4,r13,r14,r10,r20,r19,r17,r5,r7,r16
d8,1,15,5,17,6,13,9,19,2,12,4,18,0,14,3,7,11,16,10,8
d16,16,5,7,18,17,8,3,4,13,9,15,12,10,6,11,1,14,19,2,0
d18,16,19,10,15,11,1,8,18,17,2,13,6,14,12,7,0,4,5,9,3
d6,3,2,16,10,14,8,0,18,7,19,4,1,11,9,5,15,17,6,12,13
d12,13,1,6,11,4,2,5,14,12,7,9,3,0,18,15,10,8,17,19,16
d14,9,14,10,19,13,3,4,1,17,16,7,0,2,15,11,6,12,18,5,8
d15,14,4,17,13,15,6,16,8,10,12,1,7,19,3,9,18,2,5,0,11
d20,10,5,9,8,14,11,2,7,6,15,1,3,16,0,17,12,18,19,13,4
d1,2,10,8,16,19,5,1,3,13,4,0,7,9,15,6,18,17,12,11,14
d10,6,7,8,18,17,4,9,16,14,3,13,5,0,12,1,19,15,2,11,10
d2,14,7,16,13,12,3,10,0,5,19,15,2,9,18,17,6,4,1,11,8
d7,16,0,7,18,3,12,5,1,6,4,2,8,17,9,11,13,14,19,10,15
d17,1,9,17,15,8,2,14,13,16,10,5,12,19,11,6,3,18,0,7,4
d11,7,12,18,9,14,2,11,5,15,10,16,4,6,0,17,3,1,13,8,19
d4,1,10,14,5,9,2,16,13,7,8,0,18,4,11,15,3,12,6,19,17
d19,11,17,1,6,8,7,16,14,3,12,9,0,10,15,19,2,4,18,5,13
d13,7,14,3,17,19,5,9,18,2,0,10,6,15,16,8,1,4,11,13,12
d5,6,7,12,13,2,1,14,10,0,16,3,15,5,8,17,11,18,19,9,4
d9,12,16,5,0,4,10,13,9,15,7,18,2,19,14,17,8,3,11,1,6
d3,5,9,19,11,14,16,18,2,13,0,10,7,6,15,3,4,1,12,17,8
