,r18,r4,r6,r5,r17,r8,r3,r14,r13,r19,r2,r20,r9,r12,r10,r7,r15,r11,r16,r1
d16,4,5,15,8,17,2,16,0,11,14,1,6,12,19,7,9,3,13,10,18
d10,15,7,17,4,12,19,5,2,3,10,16,1,18,13,11,8,6,0,14,9
d9,6,2,19,15,8,0,11,4,3,1,13,7,18,12,10,9,5,17,14,16
d13,8,6,1,5,12,15,19,2,10,13,0,17,4,7,11,3,14,18,16,9
d7,4,15,2,1,19,16,5,10,13,8,11,18,7,0,14,17,9,3,12,6
d8,1,6,8,9,18,16,12,14,13,4,10,15,2,0,5,19,7,17,3,11
d20,3,11,10,0,14,4,12,16,8,17,6,1,7,19,5,18,2,13,15,9
d11,16,12,6,18,9,19,15,17,11,10,13,1,5,14,0,7,4,8,2,3
d4,18,1,11,15,9,4,12,0,3,2,8,5,19,16,17,6,10,14,13,7
d1,15,9,17,1,19,3,13,8,6,0,2,5,4,12,16,7,10,11,18,14
d6,11,14,2,3,8,19,6,16,9,17,12,15,0,18,13,10,5,4,7,1
d5,12,16,14,4,19,15,7,5,9,1,10,11,3,18,6,17,0,13,8,2
d19,0,6,3,13,18,11,14,1,9,8,5,19,12,16,7,17,4,2,15,10
d15,17,4,5,2,8,16,14,10,12,18,19,9,1,6,15,3,11,7,0,13
d3,6,18,14,16,19,7,0,13,8,9,3,11,5,17,15,10,4,12,1,2
d12,10,15,2,3,6,8,0,5,16,9,18,11,13,14,19,4,7,17,12,1
d18,9,1,5,18,16,7,6,17,19,0,8,2,3,14,11,4,10,12,15,13
d2,15,19,13,14,12,9,10,11,8,3,0,5,16,17,18,6,4,1,7,2
d17,11,4,6,7,3,16,14,13,10,17,0,8,19,18,15,2,1,9,5,12
d14,15,0,4,8,16,12,6,7,17,1,5,3,19,2,9,13,14,18,11,10
