,d87,d23,d15,d60,d25,d99,d8,d3,d33,d11,d32,d56,d70,d45,d75,d9,d79,d92,d55,d61,d78,d89,d82,d86,d18,d48,d4,d73,d40,d5,d57,d35,d7,d98,d63,d97,d100,d34,d85,d1,d14,d59,d29,d52,d58,d36,d84,d6,d46,d51,d42,d64,d2,d74,d67,d83,d77,d43,d91,d81,d50,d76,d54,d41,d65,d37,d26,d31,d47,d24,d17,d21,d20,d49,d30,d44,d19,d93,d27,d72,d38,d94,d12,d88,d13,d28,d62,d39,d96,d22,d10,d95,d90,d80,d69,d68,d66,d53,d71,d16
r1,46,77,29,31,49,80,6,48,13,8,65,0,94,32,27,85,35,20,12,91,25,61,63,21,56,33,52,55,16,74,7,19,38,5,54,30,82,47,40,44,58,18,73,50,22,98,86,84,43,60,62,15,28,10,67,96,75,37,83,53,14,66,3,93,79,1,89,2,17,78,26,57,4,41,81,59,99,34,70,64,72,95,23,97,69,87,88,51,92,24,76,36,39,45,71,68,90,42,11,9
r85,39,0,46,74,77,34,92,84,1,85,61,21,83,45,95,47,54,13,64,48,36,81,94,76,59,32,30,15,98,79,67,97,33,35,58,20,93,82,6,73,28,29,5,23,25,99,71,68,53,12,14,78,72,10,3,43,49,8,7,31,66,9,90,16,70,52,38,89,24,56,42,65,88,2,55,80,60,75,96,62,11,19,50,86,22,41,27,63,37,26,17,87,57,40,69,51,4,91,44,18
r36,45,81,21,31,73,56,79,91,57,29,4,83,87,63,48,38,2,68,11,1,34,92,26,65,69,10,59,40,30,77,53,89,14,58,55,46,43,44,0,25,82,42,90,72,33,96,35,13,7,66,23,95,76,97,9,19,98,71,8,60,28,32,22,51,54,94,50,47,80,74,12,52,5,86,70,88,24,62,64,85,3,15,17,36,41,27,75,49,93,16,18,20,37,39,78,67,99,61,6,84
r89,60,59,51,18,34,77,78,49,45,75,70,85,56,79,21,7,9,54,39,64,40,13,81,92,15,38,57,97,50,98,3,1,46,22,41,73,5,20,14,26,76,32,58,27,91,33,44,6,0,68,94,35,2,47,90,36,55,95,82,12,89,83,42,10,69,30,24,53,65,31,72,61,86,80,87,62,8,19,63,67,25,84,93,11,4,17,28,43,29,71,66,52,88,74,96,23,48,37,99,16
r27,71,14,18,33,88,89,0,69,60,6,25,3,10,36,53,54,15,47,78,59,26,85,73,65,16,96,98,17,24,77,55,91,52,2,83,20,74,51,95,86,75,80,63,57,81,21,29,50,90,37,87,97,92,41,23,64,40,8,1,35,94,76,58,11,39,93,70,9,13,22,31,44,42,12,79,46,49,99,61,66,38,62,7,5,68,84,45,27,82,72,19,34,48,32,67,30,4,43,28,56
r81,46,89,34,32,2,94,96,30,53,39,29,66,27,63,3,0,80,75,38,68,72,57,4,14,9,67,93,64,37,95,11,85,16,78,44,48,23,28,90,49,59,99,10,76,31,25,35,62,58,50,70,69,77,13,51,12,40,21,7,1,81,86,65,91,54,18,45,15,47,92,97,20,26,79,60,24,22,73,55,74,5,56,19,71,61,6,42,87,82,33,17,83,52,88,84,41,8,98,43,36
r78,98,79,3,95,4,90,84,56,71,48,40,85,47,60,11,78,63,54,92,35,25,5,19,6,62,1,87,57,38,13,8,46,32,36,30,91,20,44,16,45,49,93,28,9,52,33,74,15,51,80,37,0,89,34,43,18,75,81,73,58,31,77,66,88,64,50,99,29,2,26,76,7,27,97,86,21,67,83,53,12,23,17,61,94,14,10,72,68,69,65,39,59,82,55,41,22,70,24,42,96
r72,54,96,42,48,20,77,24,28,90,97,63,50,60,81,16,0,32,68,87,29,9,43,26,56,36,10,39,1,40,74,25,98,49,41,78,2,12,79,6,89,19,15,73,55,7,57,23,18,17,94,72,27,33,22,80,61,4,93,11,21,5,69,58,34,13,3,86,47,52,67,65,82,14,71,51,91,95,99,45,84,76,35,44,37,75,88,46,8,38,85,62,59,66,83,53,30,92,64,31,70
r63,36,6,82,80,32,77,24,91,78,92,57,84,65,28,2,49,23,94,93,96,70,45,15,61,27,41,97,11,13,16,86,72,87,0,40,38,98,12,90,21,8,73,44,18,22,83,7,1,3,88,60,20,14,53,74,43,52,42,67,58,39,31,64,4,69,10,62,68,9,34,46,17,54,26,99,76,66,63,55,79,25,48,5,30,71,56,75,95,51,19,85,50,81,37,47,35,59,33,29,89
r75,65,23,49,21,48,89,62,28,27,42,30,45,95,5,24,39,99,83,40,82,60,7,54,67,9,64,29,85,18,84,13,75,25,34,88,26,78,86,46,53,97,47,38,52,15,94,20,81,71,55,12,58,43,17,0,31,44,72,70,22,90,3,74,11,80,36,79,77,41,91,66,37,19,2,10,6,98,69,68,50,32,8,51,57,35,33,76,16,59,96,61,92,87,56,73,93,14,63,1,4
