,d46,d92,d73,d10,d21,d36,d34,d44,d4,d61,d54,d31,d91,d79,d45,d39,d12,d49,d20,d15,d65,d81,d98,d62,d55,d1,d11,d99,d27,d100,d72,d86,d82,d47,d53,d77,d41,d16,d17,d32,d88,d24,d52,d6,d23,d37,d68,d96,d83,d78,d59,d97,d87,d84,d76,d13,d26,d56,d60,d57,d85,d93,d94,d25,d48,d43,d42,d51,d40,d18,d30,d19,d5,d33,d8,d74,d71,d90,d28,d70,d38,d67,d9,d50,d58,d63,d89,d7,d95,d14,d2,d64,d29,d22,d75,d69,d35,d66,d80,d3
r88,13,95,11,91,71,49,9,84,76,73,7,8,87,2,36,94,31,26,10,86,23,1,63,18,35,75,52,77,40,21,14,28,78,98,42,68,33,79,66,32,88,59,97,80,5,16,24,85,15,38,74,34,20,3,99,43,57,6,65,46,54,41,0,50,39,72,30,53,70,64,48,17,67,82,56,55,4,60,45,29,83,69,90,89,51,62,27,22,47,96,44,19,25,93,12,37,92,61,81,58
r18,76,25,71,29,74,93,69,18,28,34,92,75,15,99,0,51,94,3,64,59,44,16,61,55,47,98,77,45,43,54,21,13,68,46,60,31,17,30,84,12,49,48,86,2,24,14,23,57,39,82,96,22,35,56,11,50,79,87,32,89,83,65,10,7,53,9,4,67,20,26,80,88,85,81,63,73,72,95,78,36,42,40,41,58,8,90,52,38,66,6,1,91,33,37,27,5,70,62,97,19
r46,20,59,56,93,80,1,52,7,74,16,33,99,13,37,12,54,27,57,75,47,58,34,71,19,83,35,63,81,39,62,65,92,90,72,18,41,2,5,17,91,30,68,28,43,44,9,21,67,84,14,15,94,11,32,24,97,45,40,87,8,78,85,79,42,73,98,23,36,4,6,70,29,95,46,77,0,51,89,22,25,55,31,69,61,96,48,82,88,60,49,64,76,53,26,66,86,38,3,50,10
r90,46,15,66,29,14,6,26,32,79,56,95,88,91,97,19,33,94,28,90,43,74,73,9,65,48,24,39,27,11,68,85,0,96,47,2,54,71,13,16,4,7,53,98,92,30,38,84,51,25,3,58,41,17,36,35,93,60,62,69,82,44,76,31,87,1,49,21,83,42,18,5,57,34,86,77,10,67,89,75,22,52,37,8,78,23,81,20,55,64,99,40,45,59,80,63,72,12,50,70,61
r11,36,74,1,88,61,29,4,28,51,91,59,90,43,96,16,92,76,85,67,45,35,31,89,84,24,48,79,39,55,66,56,32,72,97,54,60,82,62,69,87,80,23,18,77,14,22,99,68,94,83,64,37,25,21,27,40,73,5,20,33,3,65,46,57,7,19,26,42,63,2,13,47,52,86,44,10,53,58,93,30,9,34,17,11,78,41,38,12,70,15,8,71,95,50,98,6,81,75,0,49
r85,39,54,62,95,47,17,80,0,20,79,23,66,19,61,38,29,99,87,13,26,5,11,92,28,64,44,41,50,32,18,65,96,93,14,15,2,77,48,24,88,9,51,33,52,83,72,59,57,69,63,82,16,89,6,56,49,97,55,4,70,34,86,10,40,42,35,36,53,76,1,27,84,8,71,58,31,30,25,67,81,37,74,12,46,22,68,78,94,60,45,21,90,3,7,91,73,85,75,98,43
r72,4,7,41,53,9,83,95,1,21,81,80,17,37,77,67,33,66,11,19,65,70,46,35,12,82,51,0,60,47,85,87,64,34,90,42,52,8,30,43,15,86,91,56,79,18,78,48,28,49,20,75,72,58,25,99,97,3,2,73,62,32,29,89,68,71,45,24,61,22,57,16,55,92,26,96,93,76,36,69,54,5,39,88,84,74,59,98,63,14,13,44,10,31,40,6,38,23,27,50,94
r23,92,70,26,82,44,95,98,24,94,5,99,13,46,41,23,37,65,40,14,67,85,53,29,28,34,86,19,68,6,42,36,15,10,51,61,52,7,60,45,78,1,32,54,49,39,71,89,30,9,84,77,31,55,64,72,17,8,0,80,90,57,59,88,63,93,79,50,66,33,96,43,91,69,22,62,12,11,20,87,75,83,74,21,25,38,18,2,27,76,81,47,35,58,16,97,56,48,4,3,73
r79,20,0,55,46,56,94,45,2,68,36,79,81,12,19,99,21,60,29,76,23,92,33,4,93,44,39,71,43,53,59,22,5,14,38,30,98,66,65,74,64,87,95,70,18,69,6,89,63,3,88,35,8,11,25,91,67,32,13,26,78,96,24,90,77,97,41,80,85,49,73,47,83,10,61,27,58,57,51,9,72,7,42,50,62,28,16,48,40,37,84,86,34,82,15,52,31,54,17,1,75
r71,4,77,26,67,15,74,78,57,65,52,31,23,81,19,42,5,56,60,14,62,1,51,48,44,6,86,29,41,70,93,20,8,32,10,47,79,87,58,46,95,12,0,22,96,98,36,38,28,75,97,35,18,90,72,34,13,61,55,49,17,16,11,54,40,73,27,91,71,37,3,2,64,88,59,43,66,9,7,92,24,69,68,21,53,33,63,25,83,80,39,99,50,45,30,76,82,94,89,84,85
r68,68,94,54,0,88,75,67,2,42,23,86,69,13,65,92,8,60,85,15,74,55,81,17,29,83,36,48,80,52,58,79,70,51,7,77,43,78,44,62,9,61,20,4,33,98,28,89,32,99,53,91,76,24,97,14,64,38,40,45,39,96,59,22,6,87,5,3,63,57,90,26,30,41,46,35,73,71,50,18,1,49,82,21,93,27,56,72,31,95,25,12,19,10,34,16,37,11,47,66,84
r33,32,73,28,16,68,40,43,0,36,46,10,42,20,34,89,82,97,63,15,47,31,13,74,19,93,72,83,11,95,3,91,29,96,41,17,7,60,80,99,54,77,76,50,18,37,62,30,55,87,45,26,22,79,56,23,92,98,88,6,27,53,86,24,44,5,51,70,71,38,52,85,25,33,65,49,94,48,57,66,39,61,8,75,1,35,4,67,78,59,69,2,81,84,64,58,90,21,14,12,9
r35,29,4,89,57,73,62,6,58,65,23,83,56,74,36,61,66,75,71,85,8,92,80,34,52,37,79,11,42,87,0,12,25,78,48,53,51,88,70,50,21,27,64,95,94,47,17,72,69,2,76,60,19,68,55,33,13,24,91,15,67,81,46,14,30,44,93,41,40,84,39,28,96,7,97,5,35,90,99,10,3,82,77,20,26,22,38,1,54,16,86,18,59,43,31,49,9,32,45,63,98
r58,67,96,88,24,27,48,73,66,74,75,68,60,71,92,9,32,63,61,23,12,87,69,83,44,51,22,34,98,77,42,80,33,17,57,78,62,43,28,70,5,53,97,31,99,38,91,47,45,30,56,7,79,25,55,10,4,64,2,52,19,81,39,82,72,90,85,35,21,8,65,18,40,6,11,29,26,0,13,3,1,37,76,54,41,16,36,15,49,59,20,84,94,58,89,95,93,86,46,14,50
r92,30,95,83,98,63,16,61,58,29,75,0,36,85,27,3,24,62,6,44,35,86,14,84,74,42,18,9,15,17,34,28,10,22,7,45,33,64,66,40,1,57,56,97,51,38,20,76,87,25,69,92,12,53,55,77,26,60,4,78,48,5,11,72,88,46,89,96,68,65,37,67,90,94,79,71,99,13,41,2,23,8,93,43,47,80,50,59,32,49,91,19,73,70,81,82,39,54,31,21,52
r76,25,67,13,81,66,68,91,78,29,80,35,57,31,52,87,72,95,96,49,56,7,70,64,92,21,59,19,45,97,1,46,85,6,27,71,83,14,17,54,60,43,99,90,24,5,39,18,3,62,8,20,48,15,63,40,50,75,16,23,32,77,58,33,38,26,89,53,55,69,73,79,65,47,76,11,82,37,88,0,98,12,34,51,74,94,9,84,61,36,4,42,41,44,93,86,10,22,28,2,30
r41,20,80,27,91,22,97,66,4,11,55,90,70,23,61,9,21,51,29,71,8,56,83,69,39,38,14,93,0,62,33,28,92,89,26,45,36,57,73,85,47,54,49,32,10,86,65,82,44,17,67,84,53,3,43,24,76,78,19,64,95,40,6,16,34,2,12,94,50,42,37,77,87,30,72,5,60,74,35,88,31,98,41,46,13,25,15,81,1,63,99,59,18,79,58,48,75,96,68,7,52
r27,49,87,63,26,85,79,23,69,38,48,1,19,18,43,9,70,71,24,97,51,61,7,67,75,57,98,29,41,88,96,31,81,11,59,65,36,76,22,58,2,34,0,37,40,33,32,25,15,16,12,28,84,72,3,27,47,52,74,13,44,64,45,80,92,73,35,20,66,62,93,95,68,6,39,56,60,54,83,50,42,10,17,14,8,89,91,90,86,46,94,53,21,82,5,99,55,30,78,77,4
r78,39,80,40,99,57,76,44,70,93,50,23,38,10,97,66,86,33,7,12,29,75,89,30,36,27,54,34,5,68,21,79,17,72,60,59,81,55,92,78,83,48,49,18,1,8,98,73,31,77,14,4,61,26,53,88,35,19,2,56,6,11,51,84,22,37,24,0,82,9,47,20,15,94,45,58,46,67,96,41,95,13,74,90,63,69,87,25,16,91,62,71,3,64,42,32,28,65,52,43,85
r80,81,19,32,49,95,39,15,30,31,84,99,51,65,2,85,21,61,4,91,44,16,68,12,34,78,83,38,54,76,77,73,50,40,18,79,7,56,60,11,58,47,89,90,9,80,75,17,3,97,82,25,88,55,6,33,28,64,27,13,0,72,67,98,43,71,23,1,66,29,14,46,62,92,93,20,10,41,69,22,8,53,5,86,45,26,59,24,42,94,57,35,63,37,36,96,70,74,52,87,48
r17,86,37,9,10,89,67,83,17,72,64,71,0,31,30,15,54,25,98,57,26,7,92,96,4,49,13,46,41,87,47,24,80,88,36,73,8,77,81,34,53,97,40,16,45,51,55,66,82,76,79,27,65,95,33,84,35,39,12,61,91,52,28,38,19,11,42,5,2,3,74,85,58,6,1,44,63,70,75,68,94,99,93,18,62,69,50,32,21,90,43,14,59,22,48,56,60,29,20,78,23
r43,83,72,71,22,53,98,97,96,92,19,94,85,79,50,77,6,48,56,42,30,99,49,15,89,68,18,9,59,13,38,31,23,1,51,81,75,47,40,4,37,74,12,8,7,58,55,33,36,14,84,80,5,60,93,44,46,86,3,20,69,78,0,90,63,2,24,88,67,52,73,28,39,11,29,17,61,43,65,70,32,76,34,82,95,45,57,87,10,62,91,21,66,64,26,25,16,41,35,54,27
r98,9,97,1,36,69,6,16,23,35,81,52,74,27,94,50,31,85,57,59,63,44,66,12,80,98,48,30,7,79,21,29,60,67,10,43,45,15,11,61,39,0,22,82,84,89,32,88,77,18,53,92,41,56,73,86,65,5,95,49,99,17,33,34,91,62,2,93,24,42,47,26,25,46,4,20,72,13,71,96,68,38,40,8,75,76,14,37,19,64,54,83,28,3,90,55,58,70,78,87,51
r5,99,71,41,44,80,70,61,2,22,37,85,46,84,38,36,64,27,86,94,58,53,90,15,12,47,16,72,78,63,96,54,18,26,50,95,24,59,97,89,65,67,8,14,35,20,92,83,66,29,9,42,43,55,40,5,23,62,52,17,0,34,3,45,11,57,21,75,49,10,33,1,73,88,60,51,6,56,77,74,69,39,28,19,13,31,25,76,87,4,98,93,91,7,32,82,68,48,81,30,79
