,d37,d34,d76,d70,d25,d20,d88,d14,d92,d63,d83,d75,d36,d43,d31,d57,d50,d33,d1,d98,d60,d40,d51,d47,d77,d3,d18,d95,d93,d54,d9,d69,d7,d80,d2,d91,d56,d67,d84,d94,d99,d23,d86,d79,d24,d13,d73,d35,d44,d19,d85,d6,d72,d52,d46,d17,d100,d61,d32,d4,d62,d15,d65,d8,d22,d39,d28,d78,d90,d10,d68,d71,d38,d87,d81,d45,d53,d30,d82,d48,d5,d27,d12,d96,d26,d42,d16,d49,d59,d66,d58,d89,d21,d41,d97,d55,d29,d74,d64,d11
r26,81,14,53,49,71,73,40,17,67,41,16,0,95,15,11,45,43,46,76,74,23,91,4,2,27,92,60,21,24,22,55,35,8,9,10,44,90,38,82,50,18,33,5,56,61,48,32,99,28,77,34,6,37,29,79,3,25,97,88,69,85,89,42,19,12,20,51,62,87,65,47,31,54,13,63,26,83,75,94,78,72,93,84,39,96,59,7,86,64,52,66,70,1,30,80,36,57,58,68,98
r25,92,17,96,39,24,50,90,5,51,83,13,97,33,93,84,49,47,66,74,98,10,23,62,89,72,94,87,29,80,1,28,45,34,36,63,0,42,75,38,27,68,86,12,30,53,58,73,82,48,18,60,40,65,70,88,59,44,91,69,26,55,78,32,16,57,37,71,85,21,77,76,15,19,22,81,54,43,64,2,20,61,95,99,9,4,25,31,8,41,3,79,56,7,35,52,46,6,14,11,67
r24,65,52,90,46,88,7,40,35,97,11,71,68,58,78,42,29,60,14,74,16,44,30,1,9,66,99,59,54,17,20,82,43,39,80,89,98,0,51,85,10,93,31,50,92,94,81,21,76,57,87,28,3,49,53,18,64,13,38,25,12,32,61,47,67,63,91,41,36,55,48,15,5,2,79,84,69,75,86,70,37,27,73,19,8,24,62,72,26,33,34,95,6,77,56,96,83,23,22,45,4
r28,13,53,90,80,14,79,30,58,11,74,45,94,2,0,28,21,10,69,54,50,61,89,66,87,27,51,95,39,71,43,82,22,29,97,8,23,34,84,48,55,52,65,4,3,40,81,38,46,42,77,96,88,26,19,98,72,78,44,57,64,68,18,15,1,63,35,99,70,67,47,93,85,5,86,20,41,7,9,75,62,16,56,25,83,73,37,17,92,33,49,36,6,91,31,76,59,60,32,12,24
r64,32,58,1,78,98,26,11,28,46,41,67,63,77,2,70,38,15,84,13,37,0,74,12,51,80,92,23,56,85,9,24,82,35,49,39,93,22,33,66,75,87,14,71,31,50,62,19,61,47,94,97,27,64,88,81,68,21,6,5,65,16,17,44,99,90,48,69,60,59,55,86,76,18,3,20,73,91,4,29,7,36,53,30,25,10,95,43,8,57,40,54,79,83,89,96,45,34,72,52,42
r81,10,70,94,38,99,86,59,74,68,22,61,24,6,21,78,63,28,77,76,43,26,16,7,71,42,12,60,83,53,80,30,48,96,73,8,23,98,15,39,3,32,58,90,45,91,37,18,82,75,69,87,27,17,62,88,85,52,67,1,2,66,35,65,81,5,19,89,56,54,34,55,0,20,40,44,92,11,25,4,29,72,46,50,93,64,36,13,14,9,31,51,95,57,84,97,49,47,33,79,41
r68,68,59,42,33,95,76,66,78,29,82,47,1,92,28,16,4,43,34,91,0,35,90,88,84,6,53,63,61,30,70,93,97,79,72,41,21,32,85,83,98,80,71,48,58,94,5,24,69,38,22,13,27,25,23,77,46,20,36,37,10,3,2,49,75,44,51,26,31,67,12,14,39,57,73,50,9,40,62,65,55,7,99,64,52,54,19,45,15,89,86,81,74,11,60,87,17,8,56,18,96
r73,41,13,85,14,23,26,93,88,9,80,7,59,25,53,62,94,76,87,17,28,16,78,54,21,46,70,86,38,19,36,43,69,63,1,12,83,60,81,18,61,11,96,74,2,71,77,27,8,32,49,22,82,95,84,20,31,30,55,35,5,42,39,45,29,37,48,75,97,3,51,72,91,99,44,58,0,10,67,33,24,56,34,57,79,50,47,40,66,6,15,68,64,4,73,98,52,89,65,90,92
r14,22,32,10,73,56,93,38,67,3,75,63,16,37,79,78,33,96,50,64,98,18,6,46,24,69,88,27,77,17,68,48,70,58,20,82,12,49,9,65,31,60,45,11,62,99,91,59,51,28,89,81,80,85,57,8,90,40,61,66,76,84,1,13,54,39,41,86,47,53,26,97,55,5,30,2,42,43,87,7,44,74,14,92,19,29,4,52,25,0,94,21,34,71,83,72,35,15,36,23,95
r13,19,75,24,51,83,16,21,50,34,87,44,60,65,82,95,46,59,52,49,91,63,78,92,48,12,74,23,89,5,96,27,30,42,71,72,77,35,6,43,81,38,33,41,7,37,25,0,97,62,53,69,26,14,29,54,88,47,10,57,22,40,31,79,55,17,86,20,85,4,76,68,45,70,18,28,84,11,64,8,90,94,3,39,93,9,67,56,15,58,98,1,2,73,36,61,66,32,80,13,99
