,d63,d17,d20,d51,d34,d88,d26,d73,d91,d14,d4,d25,d40,d23,d36,d29,d43,d18,d62,d83,d10,d54,d84,d27,d13,d53,d81,d6,d75,d65,d74,d85,d2,d31,d38,d61,d92,d98,d71,d46,d60,d69,d21,d87,d12,d66,d100,d86,d50,d16,d56,d15,d19,d77,d68,d90,d11,d35,d48,d94,d28,d72,d95,d96,d8,d82,d49,d41,d70,d7,d58,d89,d57,d5,d93,d44,d3,d22,d80,d99,d97,d9,d24,d52,d45,d67,d59,d39,d32,d30,d1,d47,d79,d33,d76,d42,d64,d55,d37,d78
r44,2,47,45,13,8,77,64,17,73,61,46,22,29,57,81,53,18,30,72,82,70,20,39,65,38,84,54,16,31,80,87,62,86,33,0,19,69,10,35,76,58,15,91,90,85,93,60,50,3,14,4,66,40,1,49,67,51,25,36,26,59,5,74,7,37,28,21,44,68,63,52,12,92,56,94,79,11,71,23,88,95,32,34,97,43,98,9,83,48,6,96,42,41,55,75,99,27,24,89,78
r25,72,32,22,28,82,95,81,62,43,60,86,83,91,36,45,73,48,58,84,78,16,93,76,35,33,38,18,71,29,89,21,14,23,92,20,99,5,10,47,8,13,11,85,88,30,7,61,2,19,39,57,53,96,9,98,94,24,67,34,77,79,63,75,31,87,26,51,52,46,40,1,25,74,44,68,80,66,70,50,4,17,64,37,90,65,59,3,41,56,54,0,42,15,97,27,6,49,55,12,69
r49,91,58,81,90,77,4,82,71,67,73,40,56,45,51,12,10,69,54,3,17,25,9,96,97,24,8,31,93,70,60,11,64,35,50,32,1,30,2,66,61,7,88,89,62,78,55,83,20,43,0,49,94,59,21,68,72,26,37,80,13,28,87,33,65,18,85,19,27,14,5,38,75,48,39,99,23,36,46,44,53,98,6,76,74,92,41,15,79,63,34,57,22,86,29,95,84,42,52,16,47
r39,34,7,89,59,49,9,88,35,92,10,14,68,86,2,94,25,77,80,76,33,29,61,20,5,0,17,56,72,24,45,73,47,95,97,63,99,19,64,36,70,23,83,44,66,21,93,27,1,87,91,53,37,54,65,11,58,4,51,16,46,39,40,31,78,98,6,57,60,28,41,8,81,13,48,3,30,38,22,52,55,69,79,71,74,90,18,84,50,62,67,15,26,82,85,43,12,96,42,32,75
r84,21,58,39,18,63,42,23,15,29,84,36,55,10,2,83,96,69,61,73,40,85,6,57,90,7,14,1,19,11,26,89,72,98,22,70,67,71,62,16,76,75,87,24,92,78,5,12,95,9,43,13,94,80,49,82,77,44,50,81,38,31,65,68,86,47,53,25,46,99,3,17,0,60,48,59,51,27,56,79,35,45,54,66,64,8,4,52,28,20,88,34,97,41,93,37,32,30,33,91,74
r15,43,78,28,85,3,7,50,72,29,15,41,1,10,65,75,58,64,44,20,86,23,33,91,25,47,76,68,11,19,45,24,83,70,57,98,99,51,81,56,35,95,60,9,46,14,6,17,69,39,55,74,4,59,49,62,18,54,34,0,82,53,96,80,92,32,36,73,5,93,12,27,90,79,66,38,16,22,61,13,31,40,84,48,87,88,21,71,67,2,26,52,30,89,97,94,37,77,42,8,63
r13,26,30,2,54,58,29,24,68,21,76,94,95,50,55,71,80,13,48,25,40,53,79,7,65,17,36,14,66,11,23,86,84,20,3,96,5,22,88,99,10,83,0,47,70,41,72,45,46,8,60,98,59,16,77,97,56,61,6,52,85,4,1,42,19,93,27,39,33,12,91,81,9,75,34,35,15,87,28,51,67,82,64,73,89,49,90,38,37,63,44,32,62,74,31,57,18,92,43,78,69
r70,6,37,87,14,95,46,35,1,54,71,97,81,83,76,59,96,48,50,88,4,78,67,92,63,65,9,29,22,28,2,82,23,47,19,79,20,75,55,34,24,86,45,58,12,17,85,3,30,16,26,99,40,42,90,10,38,21,57,62,0,43,66,74,72,27,56,64,49,52,91,8,44,39,31,68,70,32,80,93,36,89,77,41,18,7,11,94,15,33,53,73,25,84,61,69,51,98,60,13,5
r29,22,2,11,32,90,1,27,24,67,10,87,82,66,64,16,17,60,44,85,6,45,94,68,3,9,51,80,57,91,69,61,15,96,37,58,19,65,13,71,83,8,73,48,36,97,40,25,52,30,74,53,56,77,47,14,26,28,50,62,39,5,63,93,18,54,29,55,81,0,33,38,95,49,70,35,46,31,41,4,78,79,88,84,59,7,99,72,20,42,23,34,76,92,98,21,89,75,86,12,43
r36,10,16,61,85,74,98,20,23,71,73,28,86,63,38,34,39,36,31,18,60,55,45,40,59,66,37,81,5,58,35,76,42,54,82,25,69,94,67,47,49,70,97,46,90,12,88,14,6,0,96,87,7,11,41,95,32,22,17,51,65,75,9,52,93,33,13,21,2,91,30,43,27,68,89,72,29,64,62,50,77,84,24,19,48,78,56,3,26,79,92,53,99,8,1,4,57,15,83,44,80
