,d7,d20,d11,d10,d2,d1,d9,d3,d15,d18,d5,d19,d14,d16,d8,d13,d17,d12,d4,d6
r6,12,4,16,19,3,2,9,10,8,13,0,6,15,17,18,14,11,5,7,1
r16,13,14,4,5,18,15,8,2,19,12,11,1,16,7,0,3,6,10,9,17
r8,0,9,8,11,10,17,12,19,6,2,14,4,1,3,18,16,7,15,13,5
r12,16,2,8,13,14,6,1,11,4,10,18,0,7,9,15,19,3,17,12,5
r14,5,3,1,17,18,6,7,4,9,2,14,12,10,13,8,11,15,19,16,0
r15,6,8,9,11,13,7,1,16,10,4,15,18,12,2,3,0,5,19,17,14
r2,11,7,15,9,1,3,5,2,4,0,19,17,8,13,14,18,12,10,16,6
r1,13,16,12,2,18,10,15,1,11,19,5,17,8,7,3,4,9,0,6,14
r18,2,16,19,13,17,15,6,7,14,0,10,3,4,18,8,5,9,1,11,12
r3,8,12,11,5,19,17,1,2,7,3,16,0,13,18,6,15,14,9,4,10
r7,4,17,11,18,8,14,2,6,0,1,12,13,9,15,16,19,10,3,5,7
r11,0,6,16,3,14,12,7,2,18,17,19,11,1,4,13,5,9,15,8,10
r10,15,12,14,5,16,6,10,2,3,13,11,0,18,4,7,19,1,17,8,9
r17,16,8,3,12,10,19,1,0,14,18,7,9,4,15,5,6,11,2,17,13
r9,9,6,0,16,14,1,7,15,13,3,5,4,18,19,17,10,11,12,2,8
r20,1,2,18,9,12,8,4,11,16,13,3,0,15,14,5,10,19,17,6,7
r13,10,18,12,13,7,19,15,0,6,8,3,16,1,11,9,2,4,14,17,5
r5,6,1,12,2,19,17,16,14,5,0,15,4,3,8,11,13,10,7,18,9
r19,4,1,2,19,9,15,0,16,5,6,13,10,3,18,17,7,12,8,14,11
r4,10,19,15,6,7,17,3,12,18,11,2,9,1,16,13,8,0,4,5,14
