,d6,d17,d8,d13,d7,d5,d2,d11,d20,d12,d15,d10,d19,d18,d14,d16,d1,d4,d3,d9
r13,13,17,8,1,7,10,12,16,2,6,0,9,11,4,3,14,18,15,19,5
r20,5,0,9,6,1,18,10,19,4,16,11,8,17,15,7,13,14,3,2,12
r17,8,10,17,4,11,14,19,0,12,3,9,7,6,15,16,1,13,5,2,18
r8,19,7,10,3,17,11,13,4,9,6,1,16,2,0,8,5,15,14,12,18
r6,4,1,10,18,3,11,7,15,5,17,12,19,2,14,6,16,9,0,8,13
r11,4,17,5,10,11,18,12,8,0,16,1,7,13,6,14,19,15,2,9,3
r18,17,3,4,19,6,8,0,7,16,15,18,14,9,10,2,5,12,1,13,11
r12,9,4,10,2,1,16,13,5,12,6,14,0,7,3,15,19,18,17,11,8
r16,16,15,12,10,8,9,11,19,1,13,5,14,7,17,3,18,2,6,0,4
r7,19,8,16,12,0,3,7,1,6,4,11,18,2,5,13,15,17,9,10,14
r14,10,16,6,17,15,5,8,14,11,2,4,0,13,1,9,12,18,3,7,19
r1,5,4,19,6,11,7,10,13,12,15,1,9,8,17,0,2,14,18,16,3
r15,3,19,18,6,14,7,2,10,12,1,11,16,0,9,15,13,8,4,17,5
r10,12,3,14,10,6,13,2,19,8,5,4,17,16,0,15,18,1,9,11,7
r5,2,0,12,13,14,3,4,11,15,19,16,8,17,18,1,6,7,10,9,5
r2,8,10,13,17,16,11,7,4,6,18,2,3,12,9,0,19,1,14,5,15
r4,13,15,16,11,5,4,0,9,7,6,14,17,2,19,12,18,1,3,8,10
r9,0,13,18,15,6,9,5,19,14,11,10,8,16,4,1,3,12,2,7,17
r19,6,14,17,15,16,3,9,4,13,11,19,8,0,5,2,10,12,7,1,18
r3,3,7,1,9,2,18,13,17,0,8,5,15,6,11,16,10,14,12,19,4
