,r13,r11,r7,r10,r17,r12,r2,r18,r15,r6,r14,r16,r19,r8,r1,r9,r20,r5,r4,r3
d1,15,11,9,0,12,2,3,16,6,17,8,13,10,4,19,14,5,1,7,18
d11,12,16,19,8,6,3,0,4,17,9,13,11,5,10,14,1,18,7,2,15
d2,17,1,16,9,12,14,2,3,8,10,5,0,6,4,11,13,15,18,7,19
d13,9,5,17,14,16,18,4,11,3,10,8,1,7,13,15,6,2,19,12,0
d3,3,6,4,9,8,7,15,19,18,1,2,13,17,14,10,5,11,12,16,0
d7,11,18,6,19,15,2,17,10,12,3,5,16,0,4,13,7,14,8,9,1
d4,3,8,18,1,4,17,0,19,12,15,11,9,7,5,10,6,16,14,2,13
d14,19,3,11,17,0,13,12,8,14,10,4,2,6,15,5,1,9,18,16,7
d12,12,16,17,8,0,18,11,15,4,6,2,3,5,13,10,9,14,19,7,1
d10,7,11,14,2,12,8,6,17,0,4,15,19,10,3,16,5,18,13,1,9
d19,9,10,2,7,17,11,12,14,5,4,0,16,3,1,18,13,6,8,19,15
d5,12,5,17,19,4,0,9,8,18,14,10,2,16,7,1,15,11,3,13,6
d15,5,0,6,4,11,9,3,7,18,19,17,16,12,13,14,10,2,8,1,15
d17,17,0,4,16,9,15,13,14,8,11,7,2,19,10,12,5,3,1,6,18
d16,17,10,19,5,15,16,12,13,11,14,6,8,1,4,0,2,18,7,3,9
d9,19,14,2,4,7,13,0,6,5,17,3,12,15,8,1,9,10,11,16,18
d6,14,11,9,2,10,7,0,12,1,19,16,18,6,8,15,5,13,3,4,17
d20,1,3,12,4,10,7,16,2,14,19,13,18,5,15,11,17,0,8,6,9
d8,18,10,15,5,4,17,6,1,2,0,19,9,8,13,14,11,7,16,12,3
d18,19,4,16,0,17,12,1,11,9,2,15,10,13,8,5,6,7,18,14,3
